paper_id,source_record_id,reading_tier,case_id,condition_id,time_or_stage,spatial_location,parameter_group,parameter_name,reported_value,reported_unit,normalized_value,normalized_unit,value_status,definition,source_location,source_type,extraction_status,verification_status,notes,parameter_record_id,context_id,parameter_role,parameter_context,reference_frame,state_qualifier,event_id,interval_id,history_id,ratio_id,dimensionless_definition_id,process_relation_id,source_locator_id,sign_convention,missing_reason,schema_version
B011,B-H2-06,tier1,ALL,ALL,,,study_context,study_type,numerical,,,,reported,"Three-dimensional compressible LES of hydrogen and methane jets; nonreacting, single circular nozzle.","PDF p.1, Abstract",text,complete,verified,,PAR-B011-0001,CTX-B011-ALL,classification,,,,,,,,,,LOC-B011-0001,,,1.1
B011,B-H2-06,tier1,ALL,ALL,,,study_context,application_context,"NPR benchmark: pressure roles, underexpanded shock structure, Mach disk dimensions, shock-cell spacing, gas and ambient-pressure effects.",,,,reported,Pilot-role context,"PDF p.1, Abstract",text,complete,verified,,PAR-B011-0002,CTX-B011-ALL,descriptive_state,,,,,,,,,,LOC-B011-0001,,,1.1
B011,B-H2-06,tier1,ALL,ALL,,,injector_nozzle,nozzle_diameter,1.5,mm,0.0015,m,reported,Circular nozzle diameter D,"PDF p.6, numerical setup",text,complete,verified,,PAR-B011-0003,CTX-B011-ALL,model_input,,,,,,,,,,LOC-B011-0002,,,1.1
B011,B-H2-06,tier1,B011-C01,B011-C01,,,jet_global,NPR_reported,10,,,,reported,P0/P∞: upstream/nozzle total pressure over ambient static pressure,"PDF p.3, NPR definition",text,complete,verified,,PAR-B011-0004,CTX-B011-B011-C01,operating_condition,pressure_ratio,,,,,,RATIO-B011-001,,,LOC-B011-0003,,,1.1
B011,B-H2-06,tier1,B011-C01,B011-C01,,,ambient_conditions,ambient_pressure,98.37,kPa,98370.0,Pa,reported,Ambient static pressure P∞,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0005,CTX-B011-B011-C01,boundary_condition,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C01,B011-C01,,,study_context,working_gas,H2,,,,reported,Jet gas species,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0006,CTX-B011-B011-C01,unknown,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C02,B011-C02,,,jet_global,NPR_reported,10,,,,reported,P0/P∞: upstream/nozzle total pressure over ambient static pressure,"PDF p.3, NPR definition",text,complete,verified,,PAR-B011-0007,CTX-B011-B011-C02,operating_condition,pressure_ratio,,,,,,RATIO-B011-002,,,LOC-B011-0003,,,1.1
B011,B-H2-06,tier1,B011-C02,B011-C02,,,ambient_conditions,ambient_pressure,491.85,kPa,491850.0,Pa,reported,Ambient static pressure P∞,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0008,CTX-B011-B011-C02,boundary_condition,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C02,B011-C02,,,study_context,working_gas,H2,,,,reported,Jet gas species,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0009,CTX-B011-B011-C02,unknown,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C03,B011-C03,,,jet_global,NPR_reported,10,,,,reported,P0/P∞: upstream/nozzle total pressure over ambient static pressure,"PDF p.3, NPR definition",text,complete,verified,,PAR-B011-0010,CTX-B011-B011-C03,operating_condition,pressure_ratio,,,,,,RATIO-B011-003,,,LOC-B011-0003,,,1.1
B011,B-H2-06,tier1,B011-C03,B011-C03,,,ambient_conditions,ambient_pressure,983.7,kPa,983700.0,Pa,reported,Ambient static pressure P∞,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0011,CTX-B011-B011-C03,boundary_condition,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C03,B011-C03,,,study_context,working_gas,H2,,,,reported,Jet gas species,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0012,CTX-B011-B011-C03,unknown,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C04,B011-C04,,,jet_global,NPR_reported,8.5,,,,reported,P0/P∞: upstream/nozzle total pressure over ambient static pressure,"PDF p.3, NPR definition",text,complete,verified,,PAR-B011-0013,CTX-B011-B011-C04,operating_condition,pressure_ratio,,,,,,RATIO-B011-004,,,LOC-B011-0003,,,1.1
B011,B-H2-06,tier1,B011-C04,B011-C04,,,ambient_conditions,ambient_pressure,98.37,kPa,98370.0,Pa,reported,Ambient static pressure P∞,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0014,CTX-B011-B011-C04,boundary_condition,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C04,B011-C04,,,study_context,working_gas,H2,,,,reported,Jet gas species,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0015,CTX-B011-B011-C04,unknown,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C05,B011-C05,,,jet_global,NPR_reported,8.5,,,,reported,P0/P∞: upstream/nozzle total pressure over ambient static pressure,"PDF p.3, NPR definition",text,complete,verified,,PAR-B011-0016,CTX-B011-B011-C05,operating_condition,pressure_ratio,,,,,,RATIO-B011-005,,,LOC-B011-0003,,,1.1
B011,B-H2-06,tier1,B011-C05,B011-C05,,,ambient_conditions,ambient_pressure,98.37,kPa,98370.0,Pa,reported,Ambient static pressure P∞,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0017,CTX-B011-B011-C05,boundary_condition,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C05,B011-C05,,,study_context,working_gas,CH4,,,,reported,Jet gas species,"PDF p.6, case conditions",text,complete,verified,,PAR-B011-0018,CTX-B011-B011-C05,unknown,,,,,,,,,,LOC-B011-0004,,,1.1
B011,B-H2-06,tier1,B011-C01,B011-C01,quasi-steady,,shock_structure,mach_disk_distance,3.09,mm,0.00309,m,reported,Quasi-steady axial distance from nozzle exit,"PDF p.7, validation",text,complete,verified,,PAR-B011-0019,CTX-B011-B011-C01,simulated_output,mach_disk,,quasi_steady,,,,,,,LOC-B011-0005,,,1.1
B011,B-H2-06,tier1,B011-C01,B011-C01,quasi-steady,,shock_structure,mach_disk_diameter,1.34,mm,0.00134,m,reported,Quasi-steady Mach-disk width,"PDF p.7, validation",text,complete,verified,,PAR-B011-0020,CTX-B011-B011-C01,simulated_output,mach_disk,,quasi_steady,,,,,,,LOC-B011-0005,,,1.1
B011,B-H2-06,tier1,B011-C01,B011-C01,,,jet_global,shock_cell_spacing,4.04,mm,0.00404,m,reported,Second shock-cell length,"PDF p.16, results",text,complete,verified,,PAR-B011-0021,CTX-B011-B011-C01,simulated_output,,,,,,,,,,LOC-B011-0006,,,1.1
C014,C-SD-07,tier1,ALL,ALL,,,study_context,study_type,experimental,,,,reported,Shock-tube experiment on single water or ethylene-glycol droplets in air or CO2; high-speed shadowgraphy.,"PDF p.1, Abstract",text,complete,verified,,PAR-C014-0001,CTX-C014-ALL,classification,,,,,,,,,,LOC-C014-0001,,,1.1
C014,C-SD-07,tier1,ALL,ALL,,,study_context,application_context,Mach-number versus Weber-number benchmark for shock-induced droplet breakup.,,,,reported,Pilot-role context,"PDF p.1, Abstract",text,complete,verified,,PAR-C014-0002,CTX-C014-ALL,descriptive_state,,,,,,,,,,LOC-C014-0001,,,1.1
C014,C-SD-07,tier1,C014-C01,C014-C01,,,dimensionless_numbers,We_reported,1060,,,,reported,ρg ug²d0/σ; post-shock gas density and velocity,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0003,CTX-C014-C014-C01,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-001,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C01,C014-C01,,,dimensionless_numbers,Oh_reported,0.042,,,,reported,μd/√(ρd d0 σ),"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0004,CTX-C014-C014-C01,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-002,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C01,C014-C01,,,dimensionless_numbers,Re_reported,24000,,,,reported,ρg ug d0/μg; post-shock gas properties,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0005,CTX-C014-C014-C01,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-003,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C01,C014-C01,,,dimensionless_numbers,Mach,0.3,,,,reported,M∞: uniform post-shock freestream gas velocity/speed of sound,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0006,CTX-C014-C014-C01,operating_condition,post_shock_freestream,NV,,,,,,DIM-C014-004,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C01,C014-C01,,,dimensionless_numbers,density_ratio,710,,,,reported,ρd/ρg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0007,CTX-C014-C014-C01,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C01,C014-C01,,,dimensionless_numbers,viscosity_ratio,796,,,,reported,μd/μg,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0008,CTX-C014-C014-C01,reported_correlation,,,,,,,,,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C02,C014-C02,,,dimensionless_numbers,We_reported,1056,,,,reported,ρg ug²d0/σ; post-shock gas density and velocity,"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0009,CTX-C014-C014-C02,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-005,,LOC-C014-0002,,,1.1
C014,C-SD-07,tier1,C014-C02,C014-C02,,,dimensionless_numbers,Oh_reported,0.044,,,,reported,μd/√(ρd d0 σ),"PDF p.5, Table 1",table,complete,verified,,PAR-C014-0010,CTX-C014-C014-C02,operating_condition,shock_droplet_loading,,,,,,,DIM-C014-006,,LOC-C014-0002,,,1.1
