item_id,item_type,chapter,section_ids,scientific_question,what_reader_should_observe,cross_panel_or_row_pattern,mechanistic_interpretation,boundary,transition_to_next_topic,manuscript_edit_required,notes
FIG-01,figure,CH01,S03,What is the full physical chain reviewed?,Eight linked stages from injector dynamics to ignition,Each stage passes a state to the next; open connectors mark unmeasured interfaces,Causality depends on whether transferred states persist across competing clocks,Four major couplings remain unresolved,From review scope to injector boundary conditions,yes,Author synthesis; research-gap detail moved to FIG-09
TAB-01,table,CH01,S02,Which definitions permit valid cross-study comparison?,"Pressure roles, frames, reference states, endpoints, and sign conventions",Identical symbols often encode different physical quantities,Definition completeness precedes numerical pooling,No new normalization or inferred missing values,From scope to state-specific jet evolution,yes,Placement retained after comparability problem
FIG-02,figure,CH02,S05-S06,What does transient injector/shock adjustment look like?,"Mach-disk development, steady/unsteady topology, and velocity-field evolution","The panels observe complementary stages of one adjustment, not one common nominal-pressure series",Injector area and local pressure history control downstream topology,"Different nozzles, pressure definitions, and event origins prevent pooling",From transient formation to quantitative topology comparison,yes,Three exact literature panels
TAB-02,table,CH02,S06,Why cannot the underexpanded-jet cases be pooled directly?,"Pressure definition, nozzle scale, ambient state, transient stage, and available metric differ",B009 supports within-study NPR trend; B021 topology contrast; B029 event alignment,The valid comparison coordinate changes with the observable,Only definition-complete within-study values support numerical trends,From topology metrics to local liquid loading,yes,Moved after transient/semi-steady distinction
FIG-03,figure,CH03,S08,Why does visible wave topology not equal droplet load?,"Eulerian field sampled along a moving trajectory produces p[xd,t], rho[xd,t], and urel(t)",Sampled load maps to tau_load; liquid response maps to tau_response,"Response depends on amplitude, direction, and duration along the trajectory",Actual HPDI pilot trajectories remain unmeasured,From forcing description to liquid response scales,yes,Core author synthesis retained
FIG-04,figure,CH04,S10-S12,What visually distinguishes major compressible breakup mechanisms?,"RTP penetration, SIE stripping, recurrent ligaments, and strong-wave fragmentation","Acceleration-, shear-, and capillary-mediated structures differ visibly",Morphology is state-conditioned and stage-dependent,Strong-wave panel is an analogue only,From governing groups to internal and interfacial mechanisms,yes,Panel/mechanism alignment corrected
FIG-04A,figure,CH04,S11,How can thermodynamic state redirect internal wave motion?,Diverging versus converging refracted-wave histories,Changing sound-speed ratio reverses the internal-wave trajectory and focusing behavior,Thermodynamic state sets the early pressure/circulation initial condition,2-D transcritical calculation; no direct late-breakup prediction,From internal-wave initial condition to aerodynamic deformation,yes,New figure justified by frozen-corpus source
TAB-03,table,CH04,S10,Why can response not be organized by We or Mach alone?,"Mach frame, d0, Re/Oh, load duration, and endpoints vary",We co-varies with size/Re/M; Mach frames and endpoints differ,"Breakup is a state-conditioned response, not a universal We-only map",Cross-domain strong-wave rows remain analogues,From parameter comparison to mechanism-specific response,yes,Moved after first Mach/We/d0 comparisons
FIG-05,figure,CH05,S14-S16,What do distinct collective configurations look like?,"Isolated, tandem, parallel, and cloud responses are configuration comparisons","Wake shielding, channel closure, and attenuation are different mechanisms",Neighbor topology changes local slip and wave momentum exchange,No direct dense reacting HPDI validation,From pair/cloud mechanisms to transfer limits,yes,Explicitly non-temporal
TAB-04,table,CH05,S16,Which condition space belongs to each collective mechanism?,"Orientation, S/D or L/D, We, cloud descriptors, and load differ",Pair spacing is not convertible to volume fraction or number density,Collective response requires configuration-specific descriptors,Dense spray joint statistics remain unresolved,From canonical configurations to dense-spray requirements,yes,Placement retained after transfer problem
