gap_id,paper_id,parameter_or_field,current_schema_issue,why_it_matters,example_source_location,proposed_change,priority,status,notes
G001,B011;B013;B029,NPR pressure roles,"A scalar NPR does not encode numerator/denominator pressure roles, pressure type, spatial state, and transient history.","Unsafe comparison of storage, injector-internal, sonic-inlet and stagnation pressures.",B011 pp.2–3; B013 Table 1 p.5; B029 pp.3–7,"Represent NPR as a contextual record with numerator/denominator role, absolute/gauge flag, location and time basis.",critical,proposed,No formal schema file modified in Phase 6 Pilot.
G002,B013,Mach-disk state,"Distance and time fields do not formally distinguish formation, growth, maximum excursion, instantaneous and stabilized states.",One value can silently mix different physical stages.,B013 pp.11–12,Add mach_disk_state and observation_time/state qualifiers.,critical,proposed,No formal schema file modified in Phase 6 Pilot.
G003,B029,time-dependent injector pressure/NPR,Current scalar fields cannot store p_inj(t) or a pressure-history identifier.,Starting-jet dynamics depend on the build history even at the same final pressure.,B029 Table 3 p.7,Add time-series/reference object support and pressure_history_id.,critical,proposed,No formal schema file modified in Phase 6 Pilot.
G004,C014;C016,Mach context,"Generic Mach lacks explicit incident-shock, post-shock freestream, local gas and droplet-relative contexts.",C014 M∞ and C016 M_s are not comparable scalars.,C014 p.5; C016 p.8,Require mach_context and reference frame for every Mach record.,high,proposed,No formal schema file modified in Phase 6 Pilot.
G005,C014;C016;C031;D017,We reference scales,Reference velocity/density/length are optional and weakly linked to We.,Equal numeric We can represent different loading definitions.,C014 Eq.1 p.3; C016 p.8; C031 Eq.22 p.7; D017 p.1,"Make We velocity, density, length and surface-tension references mandatory linked fields.",critical,proposed,No formal schema file modified in Phase 6 Pilot.
G006,C016,mechanism stage/support,No structured way to store Stage I/II with support type and uncertainty.,Direct wave imaging and author instability interpretation must remain separated.,C016 p.29,Add mechanism_stage and mechanism_support_type vocabulary.,high,proposed,No formal schema file modified in Phase 6 Pilot.
G007,D003,loading duration taxonomy,"Single loading_duration conflates front passage, pressure pulse, shocked-state exposure, expansion-wave termination and total forcing.",Droplet response depends on which interval is meant.,D003 pp.5–9,Split loading intervals and require start/end event definitions.,critical,proposed,No formal schema file modified in Phase 6 Pilot.
G008,C031,phase-change model inputs,Model coefficients and physical/material properties share the same broad phase-change group.,Calibrated inputs must not be mistaken for measured fluid properties.,C031 pp.5–8,Add parameter_role = measured_input/model_input/calibrated_coefficient/output.,high,proposed,No formal schema file modified in Phase 6 Pilot.
G009,C031,mass-flux sign convention,No dedicated sign-convention field for evaporation/condensation mass flux.,Positive/negative interpretation can reverse between papers.,C031 Fig.16 p.19,Require mass_flux_sign_convention.,medium,proposed,No formal schema file modified in Phase 6 Pilot.
G010,C031;D017,breakup-phase-change coupling,Breakup and phase-change records lack a coupling/sequence relation.,Concurrent feedback cannot be reconstructed from independent scalar rows.,D017 pp.8–10; C031 pp.9–20,Add process_relation and linked-process identifiers.,high,proposed,No formal schema file modified in Phase 6 Pilot.
G011,D017,variable-acceleration validity,Model validity context does not encode steady versus variable post-front acceleration.,Canonical shock models overpredict extinction rate in the detonation comparison.,D017 pp.9–10,Add forcing_history_type and model_applicability_note.,high,proposed,No formal schema file modified in Phase 6 Pilot.
G012,A020;A022;A016,multi-event chronology,Injection/ignition events are stored as isolated values without event relationships.,"ΔSOI, SOI-to-overlap, pilot ignition, main ignition and EOI need explicit direction and reference event.",A020 pp.4–7; A022 pp.4–5,"Add event_id, reference_event_id and signed interval semantics.",high,proposed,No formal schema file modified in Phase 6 Pilot.
G013,A022,jet geometry and relative momentum,No dedicated interaction-angle/overlap field; relative momentum has no safe NR rationale field.,Geometry is causal context and should not be hidden in notes.,"A022 pp.3–4,12","Add interaction_angle, overlap_start_distance and momentum_ratio_definition fields.",medium,proposed,No formal schema file modified in Phase 6 Pilot.
G014,A016,transport-to-ignition evidence chain,Scalar parameters cannot directly express vortex → heat/radical transport → ignition consequence with evidence type.,Simulation-resolved and interpreted links must be auditable.,A016 pp.9–13,Add linked mechanism-chain records with support_type per edge.,high,proposed,No formal schema file modified in Phase 6 Pilot.
G015,D009,characteristic-scale ratio,"No native fields for evaporation distance L_E, detonation height L_D and their defined ratio.",RDE stability criterion cannot be reconstructed safely.,D009 Eq.6–10 p.3,Add named characteristic scales and ratio numerator/denominator references.,high,proposed,No formal schema file modified in Phase 6 Pilot.
G016,ALL,source-location structure,"Free-text source_location does not separately encode PDF page, printed page, section, figure, table and equation.",Citation audits and automated validation remain fragile.,All 12 Pilot papers,Add structured locator components while retaining a human-readable locator.,high,proposed,No formal schema file modified in Phase 6 Pilot.
G017,ALL,missing-value rationale,NR/NA/NV codes lack a required rationale/source-check field.,"Future users may not know whether a value was absent, inapplicable or unverified.",Pilot parameter records,Require missing_value_reason and checked_scope.,low,proposed,No formal schema file modified in Phase 6 Pilot.
