gap_id,gap_type,review_mainline_role,mechanism_segment,gap_statement,current_evidence_state,what_is_known,what_is_missing,why_it_matters,affected_global_claim_ids,affected_paper_ids,direct_evidence_available,priority,confidence,potential_research_question,notes
KG-001,direct_evidence_gap,M03;M11,M03;M11,Direct spatially and temporally resolved evidence linking underexpanded gas-jet shock structure to actual pilot-spray droplet loading in HPDI is absent.,"Component relations are supported in underexpanded-jet and canonical shock-droplet studies, but the transfer edge is indirect.",NPR and transient pressure history organize shock structure; finite loading organizes droplet response.,Co-located gas pressure/velocity/shock diagnostics and pilot-droplet response under HPDI-relevant timing and geometry.,This is the central unclosed arrow between gas-jet physics and pilot-droplet breakup.,GC-0012;GC-0013;GC-0014;GC-0016;GC-0020;GC-0022;GC-0028;GC-0031;GC-0035;GC-0036;GC-0037;GC-0052;GC-0053,A007;A011;A028;B001;B004;B008;B009;B016;B019;B020;B021;B027;C001;C007;C011;C016;C017;C018;C024;C027;C029;C031;C033;C034;C035;C036;D001;D002;D003;D004;D005;D018;D019,no,high,high,"How do transient Mach-disk and shock-cell motions map onto the local pressure, velocity, and loading history experienced by pilot droplets in HPDI?","Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-002,scale_transfer_gap,M04;M05;M11,M04;M05;M11,"Transfer from isolated or ordered canonical droplets to dense, polydisperse, reacting HPDI pilot sprays is not validated.",Canonical deformation and breakup mechanisms are strong; application directness is low.,"Loading duration, Mach/We context, instability competition, and spacing alter breakup.","Dense-spray experiments or validated simulations with realistic HPDI pilot size distributions, spacing, turbulence, and reacting ambient state.","Single-droplet mechanisms may change through shielding, collective shock attenuation, and phase change.",GC-0016;GC-0017;GC-0018;GC-0019;GC-0020;GC-0021;GC-0022;GC-0023;GC-0024;GC-0025;GC-0026;GC-0027;GC-0028;GC-0029;GC-0030;GC-0034;GC-0035;GC-0039;GC-0042;GC-0051,A007;A011;B009;B021;C001;C002;C003;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C022;C023;C024;C025;C026;C028;C029;C030;C031;C032;C033;C034;C035;C036;D003;D016;D017;D018;D019,limited,high,high,"Which canonical shock-droplet mechanisms survive in dense HPDI pilot sprays, and how do spacing and polydispersity change them?","Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-003,mechanism_gap,M07;M08;M09;M11,M07;M08;M09;M11,The continuous chain shock-induced breakup -> evaporation -> mixture formation -> HPDI ignition is supported mainly by cross-domain stitching rather than a direct experiment.,"Breakup/evaporation coupling and mixture-controlled ignition each have evidence, but their causal connection is not directly measured.",Small-droplet breakup and evaporation can overlap; injection timing and premixing control ignition mode.,"A single condition-matched study resolving shock loading, fragment/evaporation evolution, mixture field, and ignition response.","Without the link, claimed ignition benefits of shock-enhanced atomization remain a hypothesis.",GC-0001;GC-0002;GC-0003;GC-0004;GC-0005;GC-0008;GC-0009;GC-0010;GC-0011;GC-0012;GC-0014;GC-0024;GC-0025;GC-0026;GC-0027;GC-0029;GC-0031;GC-0032;GC-0033;GC-0038,A001;A002;A003;A005;A006;A007;A008;A009;A010;A011;A012;A013;A014;A016;A017;A018;A019;A020;A021;A022;A023;A024;A025;A026;A027;A029;A030;B001;B003;B004;B006;B009;B010;B011;B015;B016;B019;B020;B021;B022;B024;B027;B028;C006;C007;C016;C024;C026;C027;C028;C030;C031;C032;D006;D007;D008;D009;D010;D011;D012;D013;D014;D015;D017,no,high,high,Does shock-induced pilot breakup measurably accelerate evaporation and change ignition timing or location under HPDI conditions?,"Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-004,definition_standardization_gap,M01;M02;M03,M01;M02;M03,"NPR comparisons remain vulnerable to incompatible numerator roles, pressure reference types, and transient versus quasi-steady time bases.","Schema 1.1 records ratio roles and histories, but many source claims remain only partially comparison-ready.",Mach-disk position scales with contextual NPR when definitions and states are controlled.,"Uniform reporting of storage/nozzle-inlet/stagnation pressure, ambient pressure, gauge/absolute basis, and time history.",Definition mismatch can create false scaling agreement or disagreement.,GC-0003;GC-0006;GC-0007;GC-0008;GC-0009;GC-0010;GC-0011;GC-0012;GC-0013;GC-0014;GC-0015;GC-0016;GC-0020;GC-0022;GC-0028;GC-0031;GC-0035;GC-0036;GC-0037;GC-0050,A001;A002;A003;A011;A028;B001;B003;B004;B006;B007;B008;B009;B010;B011;B013;B014;B015;B016;B017;B018;B019;B020;B021;B022;B024;B025;B027;B028;B029;B030;C001;C007;C011;C016;C017;C018;C027;C029;C033;C034;C035;C036;D001;D002;D003;D004;D005;D018;D019,limited,high,high,Which contextual NPR definition best collapses transient HPDI-relevant shock structure across injector types?,"Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-005,definition_standardization_gap,M04;M05,M04;M05,"Weber and Mach definitions, reference frames, and loading intervals are not standardized across shock-droplet studies.",Several claims explicitly show comparable We does not ensure comparable morphology.,"Mach context, droplet size, We components, and forcing history jointly organize response.",Condition sets reporting every We/Re/Oh/Mach component and typed loading duration.,Uncontrolled definitions obscure regime boundaries and cross-paper contradictions.,GC-0016;GC-0017;GC-0018;GC-0019;GC-0020;GC-0021;GC-0022;GC-0023;GC-0024;GC-0025;GC-0026;GC-0027;GC-0028;GC-0029;GC-0030;GC-0034;GC-0035;GC-0039;GC-0042;GC-0051,C001;C002;C003;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C022;C023;C024;C025;C026;C028;C029;C030;C031;C032;C033;C034;C035;C036;D003;D016;D017;D018;D019,limited,high,high,"Can breakup-regime maps be reconstructed using definition-complete We, Mach context, and loading-duration descriptors?","Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-006,parameter_gap,M06,M06,"Fragment-size, velocity, spacing, and cloud-transport statistics are sparse under finite shock loading.","Selected studies report fragment PDFs, mist images, or cloud extent, but coverage is not systematic.",Breakup creates evolving multimodal fragments and spacing that affect transport.,"Time-resolved, uncertainty-qualified fragment distributions and velocities across We, Mach, size, and droplet population.","Transport and evaporation models require product distributions, not only regime labels.",GC-0009;GC-0019;GC-0022;GC-0023;GC-0028;GC-0029;GC-0030;GC-0036;GC-0037,B003;B006;B009;B015;B024;B028;C001;C002;C003;C006;C007;C012;C013;C022;C023;C024;C025;C028;C033;C034;C035;C036;D001;D002;D004;D005,limited,medium,high,How do fragment size and velocity distributions evolve after finite shock loading across canonical breakup regimes?,"Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-007,condition_coverage_gap,M07,M07,"Phase change can suppress or promote deformation depending on thermal and interfacial conditions, but the transition boundary is poorly constrained.","Model and experimental results cover separated droplet-size, Stefan-number, volatility, and temperature domains.","Vapor layers/Stefan flow can reduce shear, while heating can lower surface tension and promote breakup.",Matched-condition studies separating vapor-layer shear reduction from thermal property changes.,The sign of breakup-evaporation coupling cannot be generalized without this boundary.,GC-0024;GC-0025;GC-0026;GC-0027;GC-0029;GC-0031;GC-0032;GC-0033;GC-0053,A007;A011;C006;C024;C026;C027;C028;C030;C031;C032;D006;D007;D008;D009;D010;D011;D012;D013;D014;D015;D017,limited,medium,high,Where is the transition between phase-change-suppressed and thermally promoted breakup in We-Stefan-density-ratio space?,"Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-008,application_gap,M10,M10,RDE/detonation evidence strongly demonstrates characteristic-scale sensitivity but remains weakly transferable to HPDI engines.,Droplet size and evaporation scales control wave stability in strong-wave applications.,"Incomplete evaporation produces unburned pockets, wave deficits, multiplicity changes, or extinction.",A validated nondimensional mapping between RDE characteristic scales and engine injection/ignition scales.,"Strong-wave analogues should inform, not substitute for, HPDI evidence.",GC-0024;GC-0032;GC-0033;GC-0034;GC-0035,C024;D006;D007;D008;D009;D010;D011;D012;D013;D014;D015;D016;D017;D018;D019,yes_within_RDE,medium,high,Which dimensionless scale ratios allow RDE droplet-response findings to serve as bounded analogues for HPDI?,"Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-009,methodological_gap,M08;M09,M08;M09,"Realistic multispecies, high-speed diagnostics and validated high-fidelity models remain insufficient under engine pressure, swirl, wall, and turbulence conditions.","Timing/overlap effects are well represented, but local radicals, mixture fields, and transient shocks are rarely measured together.",Pilot-product entrainment and premixing organize ignition and heat release.,"Synchronized species, velocity, pressure/shock, droplet, and heat-release diagnostics with quantified model validation.",Current mechanism attribution often relies on correlations or model-resolved fields.,GC-0001;GC-0002;GC-0003;GC-0004;GC-0005;GC-0008;GC-0009;GC-0010;GC-0011;GC-0012;GC-0014;GC-0038;GC-0040;GC-0041;GC-0043;GC-0044;GC-0045;GC-0046;GC-0047;GC-0048,A001;A002;A003;A005;A006;A007;A008;A009;A010;A011;A012;A013;A014;A016;A017;A018;A019;A020;A021;A022;A023;A024;A025;A026;A027;A029;A030;B001;B003;B004;B006;B009;B010;B011;B015;B016;B019;B020;B021;B022;B024;B027;B028;C024;C031,limited,medium,high,Can synchronized multispecies and flow diagnostics validate pilot-product entrainment and shock-mediated mixing under realistic engines?,"Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
KG-010,condition_coverage_gap,M04;M05;M06,M04;M05;M06,The missing Tier 1 source C004 limits broad review-level coverage of Newtonian and viscoelastic aerobreakup taxonomy.,The remaining 114-paper corpus contains strong Newtonian shock-droplet evidence but cannot verify C004 locally.,"Multiple primary and review sources support instability, regime, and fragment mechanisms.",The original local PDF for C004 / C-F-04; no abstract or secondary reconstruction is used.,Broad taxonomy claims should retain an explicit source-availability limitation.,GC-0009;GC-0016;GC-0017;GC-0018;GC-0019;GC-0020;GC-0021;GC-0022;GC-0023;GC-0024;GC-0025;GC-0026;GC-0027;GC-0028;GC-0029;GC-0030;GC-0034;GC-0035;GC-0036;GC-0037,B003;B006;B009;B015;B024;B028;C001;C002;C003;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C022;C023;C024;C025;C026;C028;C029;C030;C031;C032;C033;C034;C035;C036;D001;D002;D003;D004;D005;D016;D017;D018;D019,no,low,high,What additional definition and material-rheology boundaries does C004 provide once the original PDF is available?,"Derived from Phase 10 coverage, condition-compatibility, contradiction, and mechanism consolidation."
