event_id,paper_id,case_id,condition_id,event_type,event_label,event_domain,reported_time,reported_time_unit,normalized_time,normalized_time_unit,reference_event_id,signed_offset,offset_unit,event_status,source_locator_id,verification_status,notes
EVT-A020-001,A020,A020-C01,A020-C01,hydrogen_SOI,hydrogen_SOI reference,injection,,,,,,,,reference_only,LOC-A020-0006,verified,
EVT-A020-002,A020,A020-C01,A020-C01,diesel_SOI,diesel_SOI after reference,injection,0.07,ms,,,EVT-A020-001,0.07,ms,relative_only,LOC-A020-0006,verified,Positive offset means the target SOI occurs after the reference SOI.
EVT-A020-003,A020,A020-C02,A020-C02,diesel_SOI,diesel_SOI reference,injection,,,,,,,,reference_only,LOC-A020-0006,verified,
EVT-A020-004,A020,A020-C02,A020-C02,hydrogen_SOI,hydrogen_SOI after reference,injection,0.93,ms,,,EVT-A020-003,0.93,ms,relative_only,LOC-A020-0006,verified,Positive offset means the target SOI occurs after the reference SOI.
EVT-A020-005,A020,A020-C03,A020-C03,diesel_SOI,diesel_SOI reference,injection,,,,,,,,reference_only,LOC-A020-0006,verified,
EVT-A020-006,A020,A020-C03,A020-C03,hydrogen_SOI,hydrogen_SOI after reference,injection,1.93,ms,,,EVT-A020-005,1.93,ms,relative_only,LOC-A020-0006,verified,Positive offset means the target SOI occurs after the reference SOI.
EVT-A020-007,A020,A020-C04,A020-C04,diesel_SOI,diesel_SOI reference,injection,,,,,,,,reference_only,LOC-A020-0006,verified,
EVT-A020-008,A020,A020-C04,A020-C04,hydrogen_SOI,hydrogen_SOI after reference,injection,2.93,ms,,,EVT-A020-007,2.93,ms,relative_only,LOC-A020-0006,verified,Positive offset means the target SOI occurs after the reference SOI.
EVT-A020-009,A020,A020-C05,A020-C05,hydrogen_SOI,hydrogen_SOI reference,injection,,,,,,,,reference_only,LOC-A020-0006,verified,
EVT-A020-010,A020,A020-C05,A020-C05,diesel_SOI,diesel_SOI after reference,injection,1.07,ms,,,EVT-A020-009,1.07,ms,relative_only,LOC-A020-0006,verified,Positive offset means the target SOI occurs after the reference SOI.
EVT-A020-011,A020,A020-C06,A020-C06,hydrogen_SOI,hydrogen_SOI reference,injection,,,,,,,,reference_only,LOC-A020-0006,verified,
EVT-A020-012,A020,A020-C06,A020-C06,diesel_SOI,diesel_SOI after reference,injection,2.07,ms,,,EVT-A020-011,2.07,ms,relative_only,LOC-A020-0006,verified,Positive offset means the target SOI occurs after the reference SOI.
