bridge_id,upstream_parameter_or_group,upstream_definition,mechanism_node_id,downstream_response,physical_role,relation_direction,evidence_level,condition_domain,associated_global_claim_ids,comparison_constraints,normalization_requirements,main_limitations,notes
PB-001,p_inj(t),"time-resolved pressure at the explicitly stated injector/supply location and pressure type",MN-002,transient underexpanded-jet development,driving_boundary,increase_or_history_changes_response,strong,transient gas injection,GC-0007;GC-0036,"pressure role; absolute/gauge; spatial location; time reference; valve state","preserve reported history and link event/time-history IDs",Sparse direct injector-internal histories across papers,"Do not replace with nominal rail pressure."
PB-002,NPR(t),"time-resolved numerator pressure divided by ambient/back/chamber pressure with both roles typed",MN-004,Mach-disk and shock-cell transient,contextual_ratio,conditional_positive,moderate,underexpanded gas jets,GC-0006;GC-0007;GC-0009,"numerator role/type/location/time basis; denominator role/type/location/time basis; transient state","use ratio_definitions; do not combine incompatible NPRs",Not all papers report definition-complete time histories,"Generic pressure ratio is not comparison-ready."
PB-003,ambient pressure,"static ambient/chamber/back pressure with absolute/gauge basis",MN-003,jet timing penetration and lateral growth,boundary_state,conditional,moderate,gas jets and vessels,GC-0006;GC-0010,"fixed NPR versus fixed injection pressure; ambient density and temperature","SI absolute pressure only after pressure type is verified",Coupled changes can obscure direction,"Also forms the NPR denominator in many but not all studies."
PB-004,nozzle geometry,"exit diameter, shape, L/D, hole count, spacing, and orientation",MN-003,shock topology shear-layer growth and jet interaction,geometric_boundary,nonlinear,strong,single and multi-jet injection,GC-0006;GC-0009;GC-0011;GC-0013,"compare homologous geometry and diameter basis","normalize distance/spacing by the documented exit scale",No common factorial geometry dataset,"Mach-disk x/D requires the same D definition."
PB-005,gas thermodynamic properties,"species, equation of state, sound speed, density, temperature, and compressibility state",MN-003,shock cells potential core and mixing,material_boundary,conditional,moderate,high-pressure gas jets,GC-0008;GC-0010;GC-0013,"matched NPR does not match density, speed of sound, or real-gas exit state","retain species and thermodynamic model; normalize only verified states",Species and turbulence effects remain coupled,"Needed before mapping gas fields to droplet loading."
PB-006,Mach-disk distance / D,"axial Mach-disk location divided by a documented nozzle diameter",MN-005,near-field shock location,shock_geometry_response,positive_with_context,strong,underexpanded gas jets,GC-0006;GC-0007;GC-0015,"formation/instantaneous/overshoot/stabilized state; compatible NPR and nozzle geometry","SI distance and explicit D basis; event-align transient values",Does not itself provide droplet loading,"More comparison-ready than diameter or curvature."
PB-007,shock-cell spacing,"distance between explicitly defined shock-cell features",MN-006,spatial modulation of local gas state,shock_geometry_response,conditional,limited,underexpanded jets,GC-0008;GC-0012;GC-0015,"feature definition; cell index; near/far field; gas/nozzle/NPR","normalize by documented nozzle scale only",Sparse and less constrained than Mach-disk position,"Not interchangeable with potential-core length."
PB-008,local pressure jump,"pre/post-wave or local extrema defined at a specified location and time",MN-008,droplet normal loading and internal wave response,loading_magnitude,increase_changes_response,moderate,shock-droplet and spray-shock analogues,GC-0020;GC-0028;GC-0031;GC-0035,"wave origin; pressure type; pre/post states; location; reacting versus inert","use consistent state pair and SI pressure",Not measured at HPDI pilot droplets,"A necessary B-to-C bridge variable."
PB-009,local velocity jump,"post-wave/local gas velocity minus droplet or preshock reference in a stated frame",MN-008,aerodynamic shear drag and We,loading_magnitude,increase_changes_response,strong,shock-droplet loading,GC-0017;GC-0035,"laboratory versus droplet-fixed frame; post-shock versus local relative velocity","normalize only after frame and state are verified",Jet-field velocity histories are not co-located with pilot droplets,"Do not substitute spray-tip velocity for nozzle/local gas velocity."
PB-010,loading duration,"typed interval: shock-front passage, shocked-state exposure, expansion-limited loading, or total forcing",MN-009,deformation instability and breakup opportunity,forcing_history,longer_or_shorter_changes_response,moderate,finite shock loading,GC-0016;GC-0017;GC-0035,"interval type; start/end events; local versus global exposure","link interval and event IDs; convert units without changing definition",Definitions are heterogeneous,"Generic loading time is not comparison-ready."
PB-011,M_s,"incident shock propagation speed divided by preshock sound speed",MN-010,shock strength and post-shock loading context,wave_descriptor,conditional,strong,canonical shock-droplet,GC-0017;GC-0020;GC-0034;GC-0035,"incident shock only; do not equate to post-shock freestream or detonation Mach","retain parameter_context and reference frame",Same M_s can produce different reacting post-wave histories,"Definition-complete but not sufficient alone."
PB-012,M_rel,"local gas-droplet relative speed divided by a stated local sound speed",MN-010,compressibility and aerodynamic response context,relative_flow_descriptor,conditional,moderate,local droplet flow,GC-0017;GC-0018;GC-0031,"gas state; sound-speed state; droplet velocity; frame","derive only if all components are verified and mark derived",Rarely reported directly,"Prefer over generic Mach for local loading when available."
PB-013,We,"rho_ref U_ref^2 L_ref / sigma with every reference component linked",MN-010,deformation and breakup regime tendency,aerodynamic_to_capillary_ratio,conditional,strong,aerobreakup,GC-0017;GC-0021;GC-0030;GC-0034;GC-0039,"velocity; density; length; surface tension; Mach context; loading history","use dimensionless_definition_id and exact components",Comparable We alone does not ensure comparable response,"Definition-complete We is core; generic We is not."
PB-014,Re,"rho_ref U_ref L_ref / mu_ref with gas/liquid viscosity role explicit",MN-010,viscous influence on flow and breakup,aerodynamic_to_viscous_ratio,conditional,moderate,aerobreakup,GC-0017;GC-0029;GC-0030,"velocity; density; length; viscosity phase; state and frame","use linked component records",Coverage and definition completeness are uneven,"Supporting rather than single organizing variable."
PB-015,Oh,"mu_l / sqrt(rho_l L_ref sigma) or source-reported equivalent",MN-010,liquid viscous-capillary response,liquid_property_ratio,conditional,moderate,aerobreakup,GC-0021;GC-0025;GC-0029;GC-0030,"liquid viscosity/density; length; surface tension; temperature","use linked liquid-property state",Often omitted or incomplete,"Required for cross-liquid regime comparison."
PB-016,density ratio,"explicit gas-to-liquid or liquid-to-gas density ratio at documented states",MN-010,deformation phase change and instability,material_ratio,conditional,moderate,shock and phase-changing droplets,GC-0025;GC-0028,"ratio orientation; gas/liquid states; post-shock versus ambient","normalize orientation without losing reported definition",Not consistently reported,"Especially important when phase change changes near-interface gas state."
