"section_id","paragraph_id","argument_summary","claim_mode","SP_ids","GC_ids","MP_ids","KG_ids","paper_ids","source_locator_ids","citation_keys","boundary_ids","writing_caution_ids","evidence_status","application_directness","verification_status","notes"
"S01","S01-R01","Phase 13R section-level trace: High-pressure injection, pilot sprays, and ignition coupling","multi_source_synthesis","SP-002;SP-006","","MP-028;MP-029;MP-032;MP-033","KG-001;KG-002;KG-003","A007;A011;B009;B021;C007;C016;C024","","[[CITE:A007]];[[CITE:A011]];[[CITE:B009]];[[CITE:B021]];[[CITE:C007]];[[CITE:C016]];[[CITE:C024]]","BC-026;BC-027","","frozen_synthesis","cross_domain_only;direct_HPDI","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S02","S02-R01","Phase 13R section-level trace: Scope and physical comparison framework","multi_source_synthesis","SP-003","","","KG-004;KG-005","","","","","","frozen_synthesis","canonical_fundamental","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S03","S03-R01","Phase 13R section-level trace: From injector dynamics to ignition","multi_source_synthesis","SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008","","","KG-001;KG-002;KG-003","","","","","","frozen_synthesis","canonical_fundamental;cross_domain_only;direct_HPDI;engine_relevant;strong_wave_application_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S04","S04-R01","Phase 13R section-level trace: Injection and ambient conditions governing underexpansion","conditioned_generalization","SP-001","GC-0009;GC-0010;GC-0011;GC-0013","MP-002","KG-004","A028;B006;B008;B009;B011;B015;B021;B022;B028","LOC-B006-0002;LOC-B008-0002;LOC-B008-0003;LOC-B009-0007;LOC-B011-0007;LOC-B015-0001;LOC-B021-0008;LOC-B022-0001;LOC-B028-0009","[[CITE:A028]];[[CITE:B006]];[[CITE:B008]];[[CITE:B009]];[[CITE:B011]];[[CITE:B015]];[[CITE:B021]];[[CITE:B022]];[[CITE:B028]]","BC-004;BC-005","WC-002","frozen_synthesis","engine_relevant;vessel_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S05","S05-R01","Phase 13R section-level trace: Injector opening and transient jet formation","conditioned_generalization","SP-001","GC-0007;GC-0050","MP-001;MP-005","KG-004","B007;B009;B013;B014;B017;B018;B021;B029","LOC-B007-0002;LOC-B014-0001;LOC-B018-0002;LOC-B021-0006","[[CITE:B007]];[[CITE:B009]];[[CITE:B013]];[[CITE:B014]];[[CITE:B017]];[[CITE:B018]];[[CITE:B021]];[[CITE:B029]]","BC-002","","frozen_synthesis","engine_relevant;vessel_analogue","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S06","S06-R01","Phase 13R section-level trace: Mach-disk and shock-cell evolution","conditioned_generalization;review_secondary_context","SP-001","GC-0006;GC-0008;GC-0012;GC-0015","MP-003;MP-004","KG-004","B001;B003;B004;B009;B010;B011;B019;B020;B021","LOC-B001-0001;LOC-B003-0002;LOC-B004-0008;LOC-B009-0007;LOC-B010-0001;LOC-B019-0003;LOC-B020-0001;LOC-B021-0004","[[CITE:B001]];[[CITE:B003]];[[CITE:B004]];[[CITE:B009]];[[CITE:B010]];[[CITE:B011]];[[CITE:B019]];[[CITE:B020]];[[CITE:B021]]","BC-001;BC-003;BC-006","WC-002","frozen_synthesis","canonical_fundamental;engine_relevant","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S07","S07-R01","Phase 13R section-level trace: Wave and vortex structures as sources of local forcing","conditioned_generalization","SP-002","GC-0014;GC-0036;GC-0037","MP-006;MP-007","KG-001","B027;D001;D002;D004;D005","LOC-B027-0001;LOC-D001-0002;LOC-D004-0001","[[CITE:B027]];[[CITE:D001]];[[CITE:D002]];[[CITE:D004]];[[CITE:D005]]","BC-006;BC-021;BC-022","","frozen_synthesis","canonical_fundamental;cross_domain_only;engine_relevant","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S08","S08-R01","Phase 13R section-level trace: From transient shock structures to pilot-spray forcing","evidence_gap_statement","SP-002","GC-0052","MP-033","KG-001;KG-004","B009;B021;C007;C016;D001","LOC-B009-0007;LOC-B021-0004;LOC-C007-0006","[[CITE:B009]];[[CITE:B021]];[[CITE:C007]];[[CITE:C016]];[[CITE:D001]]","BC-026","WC-001","frozen_synthesis","cross_domain_only","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S09","S09-R01","Phase 13R section-level trace: Loading magnitude, duration, and liquid response scales","conditioned_generalization;project_hypothesis","SP-003","GC-0016","MP-009;MP-011","KG-005","D003","LOC-D003-0006;LOC-D003-0007","[[CITE:D003]]","BC-007","WC-003","frozen_synthesis","canonical_fundamental;not_validated","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
"S10","S10-R01","Phase 13R section-level trace: Governing parameters of compressible droplet response","conditioned_generalization","SP-003","GC-0017;GC-0018;GC-0030;GC-0039","MP-010;MP-011;MP-012","KG-005","C002;C007;C008;C014;C016;C025","LOC-C002-0001;LOC-C007-0005;LOC-C008-0001;LOC-C014-0003;LOC-C014-0004;LOC-C016-0004;LOC-C025-0006","[[CITE:C002]];[[CITE:C007]];[[CITE:C008]];[[CITE:C014]];[[CITE:C016]];[[CITE:C025]]","BC-008;BC-009;BC-014","WC-003","frozen_synthesis","canonical_fundamental","post_prose_trace","Created after Phase 13R prose reconstruction; citations reflect the section text, while structured IDs and locators are aggregated from the frozen Phase 13 ledger."
