paper_id,pdf_page,printed_page,section,notes
A008,1,,ABSTRACT,Printed page not independently verified.
A008,2,,ABSTRACT,Printed page not independently verified.
A008,3,,ABSTRACT,Printed page not independently verified.
A008,4,,ABSTRACT,Printed page not independently verified.
A008,5,,ABSTRACT,Printed page not independently verified.
A008,6,,RESULTS AND DISCUSSION,Printed page not independently verified.
A008,7,,RESULTS AND DISCUSSION,Printed page not independently verified.
A008,8,,RESULTS AND DISCUSSION,Printed page not independently verified.
A008,9,,RESULTS AND DISCUSSION,Printed page not independently verified.
A008,10,,REFERENCES,Printed page not independently verified.
A008,11,,REFERENCES,Printed page not independently verified.
A008,12,,REFERENCES,Printed page not independently verified.
