paper_id,source_record_id,library,pilot_batch,pilot_role,pdf_status,reading_status,text_status,note_status,extraction_status,evidence_card_status,notes
B011,B-H2-06,B,P1,"NPR benchmark: pressure roles, underexpanded shock structure, Mach disk dimensions, shock-cell spacing, gas and ambient-pressure effects.",readable_matched,complete,processed,complete,complete,created,Local PDF only; final human verification pending.
C014,C-SD-07,C,P1,Mach-number versus Weber-number benchmark for shock-induced droplet breakup.,readable_matched,complete,processed,complete,complete,created,Local PDF only; final human verification pending.
C016,C-SD-09,C,P1,Core benchmark for the early wave-dominated stage and later aerodynamic breakup stage.,readable_matched,complete,processed,complete,complete,created,Local PDF only; final human verification pending.
D003,D-IC-03,D,P1,Core loading-duration test for a jet-induced shock followed closely by an expansion wave.,readable_matched,complete,processed,complete,partial,created,Local PDF only; final human verification pending.
B013,B-H2-08,B,P2,"Very-high-pressure starting-transient benchmark separating Mach-disk formation, trajectory, and stabilization.",readable_matched,complete,processed,complete,partial,created,Local PDF only; final human verification pending.
B029,B-E-09,B,P2,Time-dependent injector pressure-building and dynamic-Mach-disk benchmark.,readable_matched,complete,processed,complete,partial,created,Local PDF only; final human verification pending.
C031,C-PC-05,C,P2,"3D hydrocarbon shock-droplet benchmark for real-fluid phase change, deformation, instability and mass flux.",readable_matched,complete,processed,complete,partial,created,Local PDF only; final human verification pending.
D017,D-DW-02,D,P2,Micron-droplet detonation benchmark for concurrent breakup/evaporation and canonical-model transfer limits.,readable_matched,complete,processed,complete,partial,created,Local PDF only; final human verification pending.
A020,A-H2-03,A,P3,Multi-event injection sequence and ignition chronology benchmark.,readable_matched,complete,processed,complete,complete,created,Local PDF only; final human verification pending.
A022,A-H2-05,A,P3,Interaction-angle/jet-geometry and relative-momentum schema benchmark.,readable_matched,complete,processed,complete,partial,created,Local PDF only; final human verification pending.
A016,A-NG-16,A,P3,LES evidence-chain test from jet interaction through vortex/heat/radical transport to ignition and combustion.,readable_matched,complete,processed,complete,complete,created,Local PDF only; final human verification pending.
D009,D-RDE-04,D,P3,RDE characteristic-scale ratio and propagation-stability benchmark.,readable_matched,complete,processed,complete,complete,created,Local PDF only; final human verification pending.
