segment_id,upstream_state,downstream_state,mechanism_summary,evidence_strength,evidence_directness,main_global_claim_ids,main_synthesis_proposition_ids,key_parameters,key_conditions,cross_scale_status,main_limitation,knowledge_gap_ids,future_figure_priority,notes
M01,high-pressure injection,underexpanded-jet formation,"Pressure build-up, valve opening, ambient/nozzle state, and chronology establish a developing underexpanded jet before quasi-steady behavior.",moderate,mixed,GC-0007;GC-0009;GC-0036;GC-0050,SP-001,"p_inj(t); NPR(t); ambient pressure/density/temperature; nozzle geometry; gas properties","pressure definition; valve state; real-gas state; transient event alignment",partially_validated,"Direct HPDI-resolved formation evidence is less complete than vessel/free-jet evidence.",KG-004,high,"Phase 10 segment retained."
M02,underexpanded jet,Mach disk / shock-cell structure,"Compatible contextual NPR and boundary state organize Mach-disk formation/location and shock-cell topology, with transient motion distinct from settled structure.",strong,direct,GC-0006;GC-0007;GC-0008;GC-0011;GC-0012,SP-001,"definition-complete NPR; Mach-disk x/D; shock-cell spacing; nozzle geometry; gas species","formation/overshoot/stabilized state; near/far field; pressure role/type",within_domain,Quantitative diameter/cell correlations are less constrained than Mach-disk position.,KG-004,high,"Strongly closed within compatible gas-jet conditions."
M03,shock structure,local pressure / velocity loading,"Shock topology resolves local gas-state changes in gas-jet and analogue studies, but conversion to the loading history experienced by HPDI pilot droplets is not directly measured.",limited,indirect,GC-0012;GC-0013;GC-0014;GC-0036;GC-0037;GC-0052,SP-002,"p(x,t); rho(x,t); u(x,t); pressure/velocity jump; local Mach; loading duration","wave origin; spatial location; transient timing; reference frame; hot dense ambient",not_validated,"Direct support ends at gas-state or canonical loading components; the B/C-to-A edge is inference.",KG-001;KG-004,high,"Closure requires co-located high-speed pressure/velocity/shock and pilot-droplet diagnostics."
M04,local loading,droplet deformation,"Definition-complete loading magnitude, duration, Mach/We context, size, and material state govern deformation; internal waves and collective interactions provide additional pathways.",strong,direct,GC-0016;GC-0017;GC-0020;GC-0022;GC-0027,SP-003;SP-004,"M_s; M_rel; We; Re; Oh; d0; density ratio; loading duration; S/D","reference definitions; isolated/ordered/cloud geometry; liquid and phase state",canonical_only,"Dense polydisperse reacting HPDI spray validation is absent.",KG-002;KG-005,high,"Strongly closed for canonical droplets."
M05,deformation / instability,secondary breakup,"Sheets, rims, waves, RT/KH/shear/capillary competition, and recurrent ligament processes produce condition-dependent breakup modes.",strong,direct,GC-0019;GC-0021;GC-0022;GC-0034;GC-0039,SP-003;SP-004,"definition-complete We; Mach context; loading duration; Oh; d0; breakup time/mode","forcing history; taxonomy; liquid properties; arrangement",canonical_only,"Universal critical-We boundaries are not supported and C004 is missing.",KG-002;KG-005;KG-010,high,"Strongly closed with definition boundaries."
M06,breakup,fragment transport / dispersion,"Breakup yields time-evolving fragment distributions; fragment state and collective attenuation then govern transport and cloud response.",moderate,mixed,GC-0019;GC-0023;GC-0028;GC-0029;GC-0036;GC-0037,SP-004;SP-008,"fragment PDF/D10/D32; velocity; spacing; volume fraction; cloud length","sampling time; detection threshold; wave origin; population density",analogue_only,"Fragment-size, velocity, and spacing statistics are sparse.",KG-006;KG-010,medium,"Direct mechanism but incomplete product-state quantification."
M07,breakup / thermal loading,evaporation / phase change,"Breakup and evaporation can overlap, while vapor-layer shear reduction and thermally reduced surface tension can drive opposite deformation effects.",moderate,mixed,GC-0024;GC-0025;GC-0026;GC-0027;GC-0031,SP-005,"d0; fragment size; evaporation time/length; gas temperature; volatility; Stefan/density ratios","liquid; thermal state; observation interval; post-wave history",within_selected_domains,"The suppression-to-promotion transition boundary is not condition-matched.",KG-007,high,"Direction is conditional rather than contradictory."
M08,transport / evaporation,mixture formation,"Transport and evaporation generally redistribute fuel, but direct HPDI evidence isolates chronology/geometry effects rather than the contribution from shock-generated fragments.",limited,indirect,GC-0001;GC-0002;GC-0004;GC-0009;GC-0024;GC-0053,SP-006;SP-008,"fragment transport; evaporation time/length; injection timing; overlap; geometry","hot dense ambient; walls; swirl/turbulence; volatility; mixture diagnostic definition",not_validated,"General atomization/evaporation physics is not direct HPDI mixture-field evidence.",KG-003;KG-009,high,"Central downstream gap."
M09,mixture formation,ignition / combustion,"Injection chronology, overlap, pilot-product entrainment, and mixture stratification directly govern ignition and heat-release mode, but the upstream shock-mediated causal path is open.",moderate,direct,GC-0001;GC-0002;GC-0003;GC-0038;GC-0040;GC-0041;GC-0053,SP-006,"DeltaSOI; ignition delay; injection duration; overlap; ambient temperature/oxygen; energy share","event definitions; fuel pair; geometry; load and operating point",direct_HPDI_for_timing_only,"Shock-caused mixture change to ignition/combustion is not directly measured.",KG-003;KG-009,high,"Direct A-library pathway and separate inference are not conflated."
M10,droplet response,detonation / RDE wave behavior,"Droplet loading, breakup, and evaporation scales affect wave response, while reacting post-wave history changes droplet dynamics relative to inert shocks.",moderate,mixed,GC-0024;GC-0032;GC-0033;GC-0034;GC-0035,SP-007,"detonation Mach; post-wave state; d0; evaporation length; L_E/L_D; breakup time","fuel/chemistry; geometry; wave multiplicity; pre-vaporized fraction; scale definition",within_RDE_domain,"Mostly numerical/application-scale and not directly transferable to HPDI.",KG-008,medium,"Two-way link within strong-wave applications."
M11,canonical shock-droplet physics,HPDI application transfer,"Canonical loading-to-breakup mechanisms and collective corrections form a mechanistic basis, but no experiment closes shock structure to pilot loading to breakup to ignition in HPDI.",indirect_only,cross_scale_inference,GC-0052;GC-0053;GC-0022;GC-0028,SP-002;SP-004;SP-006;SP-007,"definition-complete NPR/Mach/We; loading duration; d0 distribution; S/D/cloud descriptors; evaporation/ignition scales","geometry; polydispersity; dense-spray collective effects; thermal/reaction state; synchronized chronology",not_validated,"Application transfer remains indirect-only by Phase 10 evidence.",KG-001;KG-002;KG-003,high,"No Phase 11 upgrade to direct support."
