paper_id,pdf_page,printed_page,section,notes
D007,1,,1. Introduction,Printed page not independently verified.
D007,2,,1. Introduction,Printed page not independently verified.
D007,3,,1. Introduction,Printed page not independently verified.
D007,4,,1. Introduction,Printed page not independently verified.
D007,5,,1. Introduction,Printed page not independently verified.
D007,6,,1. Introduction,Printed page not independently verified.
D007,7,,1. Introduction,Printed page not independently verified.
D007,8,,1. Introduction,Printed page not independently verified.
D007,9,,1. Introduction,Printed page not independently verified.
D007,10,,1. Introduction,Printed page not independently verified.
D007,11,,1. Introduction,Printed page not independently verified.
D007,12,,1. Introduction,Printed page not independently verified.
D007,13,,1. Introduction,Printed page not independently verified.
D007,14,,1. Introduction,Printed page not independently verified.
D007,15,,1. Introduction,Printed page not independently verified.
D007,16,,1. Introduction,Printed page not independently verified.
D007,17,,1. Introduction,Printed page not independently verified.
D007,18,,References,Printed page not independently verified.
D007,19,,References,Printed page not independently verified.
D007,20,,References,Printed page not independently verified.
D007,21,,References,Printed page not independently verified.
D007,22,,References,Printed page not independently verified.
D007,23,,References,Printed page not independently verified.
