parameter_or_group,mechanism_role,mainline_segment,cross_paper_comparability,definition_consistency,data_density,application_relevance,priority,recommended_use,main_limitation,notes
p_inj(t),injector transient boundary,M01;M02,conditional,requires_strict_definition_matching,medium,high,core,"event-aligned transient plots and mechanism timing","pressure location/type and valve state vary","Use history rather than nominal rail pressure."
NPR(t) definition-complete,contextual underexpansion driver,M01;M02;M03,conditional,requires_strict_definition_matching,medium,high,core,"condition-matched transient shock scaling","numerator/denominator roles and time bases vary","Use ratio_definitions."
Mach-disk distance / D,shock location,M02;M03,good,conditional,medium,high,core,"cross-paper shock-location table/plot","state qualifier and D basis must match","More mature than diameter/curvature."
M_s incident-shock context,wave strength,M03;M04;M05;M10,good,requires_strict_definition_matching,medium,high,core,"canonical loading map","cannot be equated to post-shock or detonation Mach","Retain preshock sound-speed definition."
M_rel local relative Mach,local compressible loading,M03;M04;M05,conditional,requires_strict_definition_matching,low,high,core,"local loading descriptor when components are verified","rarely reported directly","Prefer to generic Mach."
pressure jump,normal and internal-wave loading,M03;M04,conditional,requires_strict_definition_matching,low,high,core,"B-to-C bridge variable","wave origin/location/state pair vary","Needs co-located HPDI measurement."
velocity jump / local relative velocity,aerodynamic loading,M03;M04;M05,conditional,requires_strict_definition_matching,low,high,core,"We/Re construction and loading map","frame and local state often absent","Do not use spray-tip velocity as substitute."
loading duration typed,finite forcing history,M03;M04;M05,conditional,requires_strict_definition_matching,low,high,core,"duration-response comparison","interval definitions differ","Use intervals/events."
We definition-complete,aerodynamic-capillary state,M04;M05,good,requires_strict_definition_matching,medium,high,core,"breakup/deformation comparison with Mach and duration","many records incomplete-reported","Never compare without component references."
droplet diameter / distribution,length and response scale,M04;M05;M06;M07;M10,good,conditional,high,high,core,"size-resolved mechanism maps","single d0 does not represent polydisperse spray","Retain statistic type."
DeltaSOI signed,injection chronology,M08;M09,good,requires_strict_definition_matching,medium,high,core,"HPDI timing/mixture/ignition comparison","fuel order and sign convention vary","Link explicit SOI events."
L_E/L_D typed,RDE characteristic-scale coupling,M10,conditional,requires_strict_definition_matching,low,medium,core,"within-RDE scale map and bounded analogue","not a validated HPDI scale","Keep both length definitions."
shock-cell spacing,gas-state modulation,M02;M03,limited,requires_strict_definition_matching,low,medium,high,"mechanism-context table","feature and cell-index definitions sparse","Do not merge with potential-core length."
Re definition-complete,viscous aerodynamic state,M04;M05,conditional,requires_strict_definition_matching,medium,medium,high,"supporting breakup comparison","viscosity phase/state and references vary","Use with We/Mach/Oh."
Oh definition-complete,liquid viscous-capillary state,M04;M05;M07,conditional,requires_strict_definition_matching,medium,medium,high,"cross-liquid comparison","often incomplete or absent","Temperature-dependent properties matter."
density ratio,material and phase-change state,M04;M05;M07,conditional,requires_strict_definition_matching,low,medium,high,"instability and phase-change boundary map","ratio orientation and states vary","State gas/liquid orientation."
S/D or typed cloud descriptor,collective interaction,M03;M04;M05;M06,conditional,requires_strict_definition_matching,low,high,high,"collective-effect map","arrangements and volume-fraction descriptors are not interchangeable","Dense sprays need distribution descriptors."
breakup time definition-matched,response rate,M05;M06;M10,conditional,requires_strict_definition_matching,low,high,high,"event-specific breakup comparison","onset, shedding, and completion differ","Link event type."
fragment-size distribution,product state,M06;M07;M08,limited,requires_strict_definition_matching,low,high,high,"transport/evaporation input and figure priority","time, weighting, and detection threshold vary","Prefer PDFs plus velocity."
evaporation time / length typed,phase-change scale,M07;M08;M10,conditional,requires_strict_definition_matching,low,high,high,"condition-matched phase-change/RDE comparison","time and length are not interchangeable","Retain completion criterion."
ignition delay definition-matched,reaction timing,M09,good,requires_strict_definition_matching,medium,high,high,"HPDI chronology-to-ignition table","reference and ignition events vary","Convert units only after event matching."
Mach-disk diameter,shock geometry,M02,limited,conditional,low,medium,supporting,"secondary shock-structure descriptor","less constrained than position","No universal correlation."
nozzle geometry,upstream boundary,M01;M02;M03,conditional,requires_strict_definition_matching,medium,high,supporting,"stratification and compatibility columns","multi-parameter geometry not reducible to diameter alone","Include L/D, shape, count, spacing."
ambient thermodynamic state,boundary and gas property,M01;M02;M03;M08;M09,conditional,requires_strict_definition_matching,medium,high,supporting,"condition-matching filters","pressure, density, temperature, sound speed are coupled","Avoid one-variable labels."
breakup mode,taxonomic response,M05;M06,conditional,requires_strict_definition_matching,medium,medium,supporting,"mechanism-category map","taxonomy and observation window vary; C004 missing","Do not treat label as quantitative product state."
generic NPR without pressure role,ambiguous pressure ratio,M01;M02;M03,poor,inconsistent,high,high,not_recommended_for_direct_comparison,"context only","can mix storage, stagnation, injector-internal, and chamber bases","Replace with definition-complete NPR where possible."
generic Mach without context,ambiguous compressibility label,M03;M04;M05;M10,poor,inconsistent,high,high,not_recommended_for_direct_comparison,"context only","incident, post-shock, local relative, jet-exit, and detonation Mach differ","Require context and frame."
We without component references,ambiguous breakup loading,M04;M05,poor,inconsistent,high,high,not_recommended_for_direct_comparison,"context only","velocity, density, length, surface tension, and state may differ","Use dimensionless_definitions."
generic breakup time,ambiguous response interval,M05;M06;M10,poor,inconsistent,medium,high,not_recommended_for_direct_comparison,"context only","onset, first shedding, completion, and scaled times differ","Require event and scaling definition."
