analysis_id,scientific_question,candidate_x_parameter,candidate_y_parameter,conditioning_variables,normalization,required_definition_matching,eligible_paper_ids,eligible_case_count,data_density,method_mix,application_mix,expected_plot_type,feasibility,main_limitation,recommended_action,figure_candidate_id,notes
QSA-01,Can definition-complete NPR explain normalized Mach-disk position across compatible underexpanded-jet conditions?,contextual NPR,x_MD/D,nozzle geometry; gas species; ambient state; formation/instantaneous/overshoot/stabilized state,x_MD divided by documented exit diameter,"numerator/denominator roles, pressure type/location/time basis, D basis, and transient state",B003;B009;B021;B025;B030,NV—requires case-level production audit,medium,experimental;numerical,canonical/vessel gas jet,condition-faceted scatter or correlation bands,moderate,definition-complete overlap and transient qualifiers reduce the usable subset,Proceed only after case-level eligibility audit; otherwise use TAB-02.,FIG-02,Never include generic NPR rows.
QSA-02,"Can event-aligned injector pressure history be related to Mach-disk formation, motion, and stabilization time?",p_inj(t) or NPR(t),Mach-disk state/time or x_MD(t)/D,valve opening; nozzle; ambient; gas; diagnostic time zero,event-aligned time; optional x/D only when D basis verified,"pressure role/type/location, valve event, time reference, and Mach-disk state",B013;B014;B017;B018;B021;B029,NV—time histories require curve/data availability audit,low,experimental;numerical,transient vessel/free jet,aligned normalized timelines or small multiples,low,few machine-readable matched histories and heterogeneous event alignment,Prefer conceptual/event schematic unless source data support a conditioned subset.,FIG-02,Do not digitize in Phase 12.
QSA-03,How do incident/local Mach context and definition-complete We relate to deformation or breakup response?,M_s or M_rel with definition-complete We,deformation metric or breakup mode/event,d0; Oh; liquid; loading duration; response stage,source-defined deformation/time scaling retained; categorical response if incompatible,Mach frame/state; We velocity/density/length/surface tension; event and loading history,C014;C016;C023;C025;D016;D017;D018;D019,NV—requires compatible response-metric audit,medium,experimental;numerical,canonical shock/detonation droplet,conditioned regime map or faceted response plot,moderate,response definitions and reacting/inert histories differ,Use categorical/conditioned map unless a definition-matched numeric subset is adequate.,FIG-04,Do not collapse detonation and inert cases by leading Mach alone.
QSA-04,Does typed loading duration relative to a defined response time organize breakup timing or state?,typed loading duration or tau_loading/tau_response,definition-matched deformation/breakup event,Mach/We; d0; liquid; interval type,candidate ratio only when both time definitions are explicit,loading start/end events and response-time event/scale,C007;C016;D003;D019,NV—likely sparse,low,review;numerical;experimental context,canonical and strong-wave,hypothesis test or qualitative duration-domain map,low,candidate metric is not literature-established and interval definitions are heterogeneous,Retain as a testable research metric; do not present a pooled correlation.,FIG-03,SMC-001 project hypothesis only.
QSA-05,How does droplet size condition breakup and evaporation response under matched wave and thermal states?,d0 or typed fragment-size metric,"breakup event/mode, evaporation time/length, or survival",Mach/We; liquid; gas temperature; post-wave history; detection threshold,SI size plus source-typed response; within-domain characteristic scaling only,initial versus fragment size; statistic; response event; liquid and gas history,C024;C026;C027;D009;D014;D017;D018,NV—requires separation by application and response,medium,experimental;numerical,canonical droplet; detonation/RDE,condition-faceted trend or size-domain table,moderate,cross-domain pooling would mix thermal histories and response meanings,"Proceed as separate conditioned panels or TAB-05/TAB-07, not one universal curve.",FIG-06,No universal size threshold.
QSA-06,"How do spacing and cloud descriptors affect shielding, channel closure, or shock attenuation?",S/D or typed volume-fraction/cloud descriptor,breakup delay/intensity or transmitted pressure/impulse,tandem/parallel/cloud arrangement; d0; We; shock strength; fragmentation model,retain descriptor type; no conversion of volume fraction to S/D,"arrangement, spacing basis, cloud statistic, response definition",C001;C033;C034;C035;C036,NV—configuration-specific,low,experimental;numerical,ordered droplets and dilute cloud,separate configuration panels or categorical mechanism map,low,descriptors and mechanisms are non-equivalent across configurations,Use FIG-05/TAB-04 qualitative synthesis unless each configuration has sufficient matched cases.,FIG-05,No universal critical spacing.
QSA-07,How does signed pilot/main injection chronology relate to mixture or ignition response?,signed ΔSOI or typed dwell/overlap,"ignition delay, ignition location, mixture metric, or combustion-mode response",fuel order; geometry; ambient T/O2; load; event definitions,preserve sign and event identities; convert crank angle/time only with speed and matching events,"both SOI events, sign convention, ignition definition, operating point",A006;A007;A009;A011;A018;A020;A022;A026,NV—case-level chronology audit required,medium,experimental;validated model context,HPDI/H2DDI engine and vessel,condition-faceted timing-response plot,moderate,"different fuel sequences, geometries, and ignition metrics prevent unconditional pooling",Build conditioned quantitative panels only; use TAB-06 for heterogeneous cases.,FIG-07,Direct timing evidence must not be attributed to shock.
QSA-08,Does a typed evaporation-to-detonation/reaction/refill length ratio organize RDE behavior?,L_E/L_D or source-typed characteristic-scale ratio,"wave speed deficit, multiplicity, stability, extinction, or unburned pocket metric",fuel; chemistry; geometry; pre-vaporized fraction; wave number; scale definitions,retain source ratio and both length definitions,evaporation length criterion and named detonation/reaction/refill scale,D006;D007;D008;D009;D010;D011;D012;D013;D015,NV—model-specific scale audit required,low,mostly numerical,RDE/detonation only,within-study or definition-matched scale-response panels,low,typed ratios differ and are not validated for HPDI,Use within-domain conditioned synthesis; do not pool or remap to HPDI.,FIG-08,Analogue-only outside RDE/detonation.
QSA-09,Can generic reported NPR values be pooled against shock metrics?,generic NPR,any Mach-disk or jet metric,none sufficient,none valid,missing pressure roles/types/time basis makes matching impossible,,0 eligible by definition,apparently high but unusable,mixed,mixed,none,not_recommended,generic NPR conflates non-equivalent ratios,Exclude; use QSA-01 or qualitative context.,,Definition standard is not relaxed for plot density.
QSA-10,Can generic Mach and We values be pooled into a universal breakup map?,generic Mach or We without components,breakup regime,insufficient,none valid,Mach frame and all We components are missing or incompatible,,0 eligible by definition,apparently high but unusable,mixed,inert shock; detonation; continuous flow,none,not_recommended,identical numbers do not represent identical physical states,Exclude; use QSA-03 conditioned mapping.,,Avoid false regime boundaries.
QSA-11,"Can generic breakup time be compared across onset, shedding, and completion definitions?",generic breakup time,Mach/We/d0,insufficient,none valid,breakup event and scaling definition are absent,,0 eligible by definition,medium but incompatible,mixed,canonical; detonation,none,not_recommended,response intervals are physically non-equivalent,Exclude; retain event-specific times only.,,Do not backfill event definitions.
QSA-12,Can RDE L_E/L_D be quantitatively mapped to HPDI injection or ignition scales?,RDE L_E/L_D,HPDI ignition or combustion response,no validated mapping,not established,"would require validated chemistry, residence, geometry, and characteristic-scale correspondence",,0 direct cross-domain cases,none,cross-domain stitching,RDE to HPDI,none; qualitative transfer matrix instead,not_recommended,application-scale mapping is unvalidated,Use FIG-08/TAB-07 analogue boundary only.,FIG-08,Do not create a cross-domain scatter plot.
