mechanism_relation_id,paper_id,case_id,source_node,relation_type,target_node,support_type,candidate_claim_id,source_locator_id,verification_status,notes
MECH-A016-001,A016,ALL,vortex_entrainment,promotes,heat_and_OH_transport,author_interpretation,PILOT-A016-C01,LOC-A016-0009,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-A016-002,A016,ALL,interaction_angle_2deg,correlates_with,best_tested_combustion_response,direct_observation,PILOT-A016-C02,LOC-A016-0010,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-A020-001,A020,ALL,pilot_product_interaction,author_attributes_to,hydrogen_ignition,author_interpretation,PILOT-A020-C01,LOC-A020-0008,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-A020-002,A020,ALL,ignition_after_hydrogen_EOI,correlates_with,slower_propagation_and_lean_unburned_zones,direct_observation,PILOT-A020-C02,LOC-A020-0009,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-A022-001,A022,ALL,greater_jet_overlap,correlates_with,shorter_ignition_transition,direct_observation,PILOT-A022-C01,LOC-A022-0008,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-A022-002,A022,ALL,incomplete_relative_momentum_inputs,precedes,NR_numeric_ratio,project_inference,PILOT-A022-C02,LOC-A022-0004,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-B011-001,B011,ALL,ambient_pressure_at_fixed_NPR,modifies,starting_transient_timing,direct_observation,PILOT-B011-C01,LOC-B011-0007,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-B011-002,B011,ALL,gas_species,modifies,tip_vortex_mixing,author_interpretation,PILOT-B011-C02,LOC-B011-0007,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-B013-001,B013,ALL,Mach_disk_formation,precedes,stabilized_position,direct_observation,PILOT-B013-C01,LOC-B013-0006,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-B013-002,B013,ALL,storage_based_NPR,other,sonic_inlet_pressure_context,project_inference,PILOT-B013-C02,LOC-B013-0002,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-B029-001,B029,ALL,injector_pressure_history,modifies,Mach_disk_evolution,direct_observation,PILOT-B029-C01,LOC-B029-0008,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-B029-002,B029,ALL,steady_NPR_scalar,other,time_resolved_pressure_history,project_inference,PILOT-B029-C02,LOC-B029-0009,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-C014-001,C014,ALL,post_shock_Mach_at_similar_We,modifies,breakup_morphology_and_timing,direct_observation,PILOT-C014-C01,LOC-C014-0003,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-C014-002,C014,ALL,post_shock_freestream_Mach,other,We_reference_velocity_and_density,direct_observation,PILOT-C014-C02,LOC-C014-0004,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-C016-001,C016,ALL,early_wave_dynamics,precedes,airflow_driven_breakup,author_interpretation,PILOT-C016-C01,LOC-C016-0005,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-C016-002,C016,ALL,droplet_size_and_We,correlates_with,RTP_or_SIE_regime,direct_observation,PILOT-C016-C02,LOC-C016-0004,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-C031-001,C031,ALL,evaporative_vapor_layer,suppresses,KH_wave_growth,author_interpretation,PILOT-C031-C01,LOC-C031-0008,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-C031-002,C031,ALL,incident_shock_Mach,modifies,net_phase_change_direction,direct_observation,PILOT-C031-C02,LOC-C031-0009,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-D003-001,D003,ALL,expansion_wave,suppresses,effective_shocked_state_duration,model_based,PILOT-D003-C01,LOC-D003-0006,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-D003-002,D003,ALL,droplet_size_relative_to_forcing,modifies,droplet_response,direct_observation,PILOT-D003-C02,LOC-D003-0007,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-D009-001,D009,ALL,evaporation_length,other,detonation_characteristic_length_ratio,direct_observation,PILOT-D009-C01,LOC-D009-0008,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-D009-002,D009,ALL,increasing_scale_ratio,correlates_with,shock_flame_decoupling,direct_observation,PILOT-D009-C02,LOC-D009-0009,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-D017-001,D017,ALL,breakup,couples_with,evaporation,model_based,PILOT-D017-C01,LOC-D017-0007,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
MECH-D017-002,D017,ALL,variable_acceleration,modifies,canonical_breakup_model_transferability,author_interpretation,PILOT-D017-C02,LOC-D017-0008,verified,Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
