paper_id,pdf_page,printed_page,section,notes
C026,1,,1. Introduction,Printed page not independently verified.
C026,2,,1. Introduction,Printed page not independently verified.
C026,3,,1. Introduction,Printed page not independently verified.
C026,4,,2.2. Methodology,Printed page not independently verified.
C026,5,,3. Results,Printed page not independently verified.
C026,6,,3. Results,Printed page not independently verified.
C026,7,,3. Results,Printed page not independently verified.
C026,8,,3. Results,Printed page not independently verified.
C026,9,,3. Results,Printed page not independently verified.
C026,10,,3. Results,Printed page not independently verified.
C026,11,,3. Results,Printed page not independently verified.
C026,12,,3. Results,Printed page not independently verified.
C026,13,,3. Results,Printed page not independently verified.
C026,14,,3. Results,Printed page not independently verified.
C026,15,,3. Results,Printed page not independently verified.
C026,16,,3. Results,Printed page not independently verified.
C026,17,,5. Conclusions,Printed page not independently verified.
C026,18,,5. Conclusions,Printed page not independently verified.
C026,19,,Appendix,Printed page not independently verified.
C026,20,,Appendix,Printed page not independently verified.
C026,21,,References,Printed page not independently verified.
