knowledge_gap_id,first_introduction_section,main_discussion_section,final_synthesis_section,related_SP_ids,related_MP_ids,related_figure_ids,related_table_ids,gap_role,writing_emphasis,research_need,notes
KG-001,S07,S08,S30,SP-002,MP-006;MP-007;MP-008;MP-009;MP-033,FIG-03;FIG-09,TAB-08,central bridge gap,Make MP-033 visible at the shock-to-loading transition.,Co-located time-resolved shock/gas-state and pilot-droplet diagnostics.,high priority; frozen Phase 10 ID retained.
KG-002,S10,S16,S30,SP-004,MP-012;MP-014;MP-019;MP-032,FIG-05;FIG-09,TAB-04;TAB-08,scale-transfer gap,Use as the boundary on all single-droplet-to-spray statements.,Dense polydisperse reacting-spray experiments or validated simulation.,high priority; frozen Phase 10 ID retained.
KG-003,S18,S20;S25,S30,SP-005;SP-006,MP-020;MP-022;MP-024;MP-028;MP-029,FIG-06;FIG-07;FIG-09,TAB-06;TAB-08,continuous-chain gap,"Thread through phase change, mixture, and ignition rather than postponing to the end.",One condition-matched shock→fragment→species→ignition study.,high priority; frozen Phase 10 ID retained.
KG-004,S04,S05;S06;S08,S30,SP-001;SP-002,MP-001;MP-002;MP-003;MP-004;MP-005;MP-033,FIG-02;FIG-03;FIG-09,TAB-01;TAB-02;TAB-08,definition-standardization gap,Treat NPR compatibility as a scientific gate.,Uniform pressure roles/types/locations/time histories.,high priority; frozen Phase 10 ID retained.
KG-005,S09,S10;S12,S30,SP-003,MP-009;MP-010;MP-011;MP-012;MP-015;MP-016,FIG-03;FIG-04;FIG-09,TAB-01;TAB-03;TAB-08,definition-standardization gap,Bound every We/Mach/loading comparison.,Definition-complete condition sets and typed forcing intervals.,high priority; frozen Phase 10 ID retained.
KG-006,S15,S17,S30,SP-004;SP-008,MP-017;MP-018;MP-019;MP-022,FIG-05;FIG-06;FIG-09,TAB-04;TAB-05;TAB-08,product-state parameter gap,"Emphasize distributions, velocities, spacing, and sampling definitions.",Time-resolved uncertainty-qualified fragment population measurements.,medium priority; frozen Phase 10 ID retained.
KG-007,S18,S19,S30,SP-005,MP-020;MP-021;MP-022,FIG-06;FIG-09,TAB-05;TAB-08,condition-coverage gap,Frame opposing coupling directions through matched boundaries.,"Matched-condition sweep across size, Stefan state, volatility, and temperature.",medium priority; frozen Phase 10 ID retained.
KG-008,S26,S28,S30,SP-007,MP-030;MP-031;MP-034,FIG-08;FIG-09,TAB-07;TAB-08,application-transfer gap,Keep RDE as bounded analogue throughout.,Validated nondimensional mapping or matched cross-application study.,medium priority; frozen Phase 10 ID retained.
KG-009,S20,S21;S22;S25,S30,SP-006,MP-023;MP-024;MP-025;MP-026;MP-027;MP-028;MP-029,FIG-06;FIG-07;FIG-09,TAB-06;TAB-08,diagnostic-method gap,Tie mechanism attribution to synchronized species/flow/shock/heat-release evidence.,Realistic multispecies high-speed diagnostics and validated high-fidelity models.,medium priority; frozen Phase 10 ID retained.
KG-010,S12,S13;S17,S30,SP-003;SP-008,MP-015;MP-016;MP-017,FIG-04;FIG-09,TAB-03;TAB-08,source-availability limitation,Mention at broad taxonomy and product-state claims; do not make it a main mechanism narrative.,Obtain and verify the original C004/C-F-04 PDF.,low priority; frozen Phase 10 ID retained.
