trace_id,section_id,scientific_question,SP_id,GC_id,MP_id,evidence_anchor_paper_id,knowledge_gap_id,figure_id,table_id,writing_caution_id,traceability_status,notes
TRC-001,S01,Why does this literature require an evidence-weighted mechanism review rather than parallel topical summaries?,SP-002;SP-006,,MP-033;MP-032;MP-028;MP-029,,KG-001;KG-002;KG-003,FIG-01,,,complete_at_synthesis_level,"No invented GC relation; section is framing, transfer audit, or final synthesis."
TRC-002,S02,"What counts as comparable evidence across injection, shock, droplet, spray, and combustion domains?",SP-003,,,,KG-004;KG-005,,TAB-01,,background_or_framework,"No invented GC relation; section is framing, transfer audit, or final synthesis."
TRC-003,S03,How will the article progress from injection boundary to combustion while preserving open arrows?,SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008,,,,KG-001;KG-002;KG-003,FIG-01,,,background_or_framework,"No invented GC relation; section is framing, transfer audit, or final synthesis."
TRC-004,S04,"Which injector, nozzle, ambient, gas, and pressure definitions are required before underexpanded-jet comparisons are meaningful?",SP-001,GC-0009,MP-002,B006;B009;B015,KG-004,FIG-02,TAB-01;TAB-02,WC-002,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-005,S04,"Which injector, nozzle, ambient, gas, and pressure definitions are required before underexpanded-jet comparisons are meaningful?",SP-001,GC-0010,MP-002,B021;B028;B011,KG-004,FIG-02,TAB-01;TAB-02,WC-002,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-006,S04,"Which injector, nozzle, ambient, gas, and pressure definitions are required before underexpanded-jet comparisons are meaningful?",,GC-0011,MP-002,B022;B028,KG-004,FIG-02,TAB-01;TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-007,S04,"Which injector, nozzle, ambient, gas, and pressure definitions are required before underexpanded-jet comparisons are meaningful?",,GC-0013,MP-002,B008,KG-004,FIG-02,TAB-01;TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-008,S05,How do pressure build-up and valve opening distinguish developing from quasi-steady jet states?,SP-001,GC-0007,MP-001;MP-005,B014;B018;B021,KG-004,FIG-02,TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-009,S05,How do pressure build-up and valve opening distinguish developing from quasi-steady jet states?,,GC-0050,MP-001,B007,KG-004,FIG-02,TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-010,S06,"Which shock-structure trends are robust when NPR, state, geometry, and gas species are compatible?",SP-001,GC-0006,MP-003,B003;B009;B021,KG-004,FIG-02,TAB-02,WC-002,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-011,S06,"Which shock-structure trends are robust when NPR, state, geometry, and gas species are compatible?",,GC-0008,MP-004,B010,KG-004,FIG-02,TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-012,S06,"Which shock-structure trends are robust when NPR, state, geometry, and gas species are compatible?",,GC-0012,MP-004,B001;B019;B020,KG-004,FIG-02,TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-013,S06,"Which shock-structure trends are robust when NPR, state, geometry, and gas species are compatible?",,GC-0015,MP-003,B004,KG-004,FIG-02,TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-014,S07,"How can near-field shocks, spray-generated waves, and reflected shocks change local pressure, velocity, and spray response?",SP-002,GC-0014,MP-006;MP-007,B027,KG-001,FIG-03,TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
TRC-015,S07,"How can near-field shocks, spray-generated waves, and reflected shocks change local pressure, velocity, and spray response?",SP-002,GC-0036,MP-007,D001,KG-001,FIG-03,TAB-02,,complete,SP/MP fields are populated only when the frozen Phase 11 tables explicitly link that ID to the GC; blank fields are intentional.
