paper_id,source_record_id,library,pdf_status,processing_batch,processing_status,reading_status,text_status,note_status,extraction_status,evidence_card_status,blocking_issue,notes
A002,A-NG-02,A,downloaded,Phase9.1-LatePDF-T2,complete,complete,processed,complete,complete,partial,,Phase 9.1 late-PDF chapter-core backfill complete; final synthesis pending.
A005,A-NG-05,A,downloaded,Phase9.1-LatePDF-T2,complete,complete,processed,complete,complete,partial,,Phase 9.1 late-PDF chapter-core backfill complete; final synthesis pending.
A009,A-NG-09,A,downloaded,Phase9.1-LatePDF-T2,complete,complete,processed,complete,complete,partial,,Phase 9.1 late-PDF chapter-core backfill complete; final synthesis pending.
A011,A-NG-11,A,downloaded,Phase9.1-LatePDF-T2,complete,complete,processed,complete,complete,partial,,Phase 9.1 late-PDF chapter-core backfill complete; final synthesis pending.
A012,A-NG-12,A,downloaded,Phase9.1-LatePDF-T2,complete,complete,processed,complete,complete,partial,,Phase 9.1 late-PDF chapter-core backfill complete; final synthesis pending.
A013,A-NG-13,A,downloaded,T2-Batch-1,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
A014,A-NG-14,A,downloaded,T2-Batch-1,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
A018,A-H2-01,A,downloaded,T2-Batch-1,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
A021,A-H2-04,A,downloaded,T2-Batch-1,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
A024,A-H2-07,A,downloaded,T2-Batch-1,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
A025,A-H2-08,A,downloaded,T2-Batch-1,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B002,B-T-02,B,downloaded,T2-Batch-2,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B003,B-T-03,B,downloaded,T2-Batch-2,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B005,B-T-05,B,downloaded,T2-Batch-2,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B007,B-H2-02,B,downloaded,T2-Batch-2,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B008,B-H2-03,B,downloaded,Phase9.1-LatePDF-T2,complete,complete,processed,complete,complete,partial,,Phase 9.1 late-PDF chapter-core backfill complete; final synthesis pending.
B012,B-H2-07,B,downloaded,T2-Batch-2,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B016,B-NG-01,B,downloaded,T2-Batch-2,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B017,B-NG-02,B,downloaded,T2-Batch-3,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B019,B-NG-04,B,downloaded,T2-Batch-3,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B023,B-E-03,B,downloaded,T2-Batch-3,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B024,B-E-04,B,downloaded,T2-Batch-3,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
B030,B-E-10,B,downloaded,T2-Batch-3,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C001,C-F-01,C,downloaded,T2-Batch-4,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C002,C-F-02,C,downloaded,T2-Batch-4,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C006,C-F-06,C,downloaded,T2-Batch-4,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C010,C-SD-03,C,downloaded,T2-Batch-4,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C015,C-SD-08,C,downloaded,T2-Batch-4,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C017,C-SD-10,C,downloaded,T2-Batch-4,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C020,C-SD-13,C,downloaded,T2-Batch-4,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C022,C-ST-02,C,downloaded,T2-Batch-5,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C023,C-ST-03,C,downloaded,T2-Batch-5,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C026,C-ST-06,C,downloaded,T2-Batch-5,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C030,C-PC-04,C,downloaded,T2-Batch-5,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C033,C-MD-01,C,downloaded,T2-Batch-5,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C034,C-MD-02,C,downloaded,T2-Batch-5,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
C036,C-MD-04,C,downloaded,Phase9.1-LatePDF-T2,complete,complete,processed,complete,complete,partial,,Phase 9.1 late-PDF chapter-core backfill complete; final synthesis pending.
D002,D-IC-02,D,downloaded,T2-Batch-6,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
D005,D-IC-05,D,downloaded,T2-Batch-6,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
D007,D-RDE-02,D,downloaded,T2-Batch-6,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
D010,D-RDE-05,D,downloaded,T2-Batch-6,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
D011,D-RDE-06,D,downloaded,T2-Batch-6,complete,complete,processed,complete,complete,partial,,Full local text assessed; candidate evidence created; final synthesis pending.
