mechanism_relation_id,paper_id,case_id,source_node,relation_type,target_node,support_type,candidate_claim_id,source_locator_id,verification_status,notes
MECH-A003-001,A003,TARGET,shorter_pilot_to_gas_injection_interval,correlates_with,heat_release_and_combustion_stability,experimental_correlation,T3-A003-C01,LOC-A003-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-A010-001,A010,TARGET,natural_gas_pre_injection,promotes,premixing_and_soot_CO_reduction,model_based,T3-A010-C01,LOC-A010-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-A017-001,A017,TARGET,injector_flow_area_and_dispersion,modifies,mixture_formation_and_wall_impingement,experimental_correlation,T3-A017-C01,LOC-A017-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-A019-001,A019,TARGET,hydrogen_injection_timing,modifies,premixed_vs_mixing_controlled_combustion,experimental_correlation,T3-A019-C01,LOC-A019-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-A023-001,A023,TARGET,split_hydrogen_injection_timing_and_energy,modifies,hydrogen_stratification_and_combustion_mode,experimental_correlation,T3-A023-C01,LOC-A023-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-B010-001,B010,TARGET,gas_species_at_matched_NPR,modifies,downstream_shock_structure_and_mixing,simulation_resolved,T3-B010-C01,LOC-B010-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-B014-001,B014,TARGET,injector_valve_opening,precedes,self_similar_jet_development,direct_observation,T3-B014-C01,LOC-B014-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-B015-001,B015,TARGET,pressure_ratio_increase,correlates_with,penetration_volume_increase_and_entrainment_decrease,experimental_correlation,T3-B015-C01,LOC-B015-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-B020-001,B020,TARGET,near_nozzle_shock_structure,suppresses,ambient_air_entrainment,direct_observation,T3-B020-C01,LOC-B020-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
MECH-B022-001,B022,TARGET,non_axisymmetric_exit_shape,modifies,shock_topology_axis_switching_and_mixing,simulation_resolved,T3-B022-C01,LOC-B022-0002,verified,Tier 3 supporting relation; final cross-paper adjudication deferred to Phase 10.
