Source,Fuel / platform,Injection order / ΔSOI,Geometry / condition,Mixture response,Ignition response,Heat-release response,Scope
[[CITE:A001]],Diesel pilot / natural gas engine,Engine-program timing,Load and speed map; gas-pressure sweep,High-pressure mixing benefit strongest at high load,NR,Shorter combustion duration; weaker speed effect,Engine-specific operating map
[[CITE:A002]],Diesel pilot / natural gas HPDI engine,Engine-program timing,Gas rail 300-600 bar; load/speed sweep,Higher injection rate; improved late-cycle mixing,Ignition comparatively less pressure-sensitive,Shorter mixing-controlled burn; higher harshness / NOx,Pressure benefit and penalty depend on operating point
[[CITE:A005]],Diesel pilot / natural gas engine,Paired-hole configuration; case-specific timing,Nearby gas-hole pairs,Greater early entrainment; rich moderate-temperature residence,NR,Higher particulate matter despite entrainment gain,Geometry-specific soot interpretation
[[CITE:A007]],Diesel pilot / natural gas RCEM,Gas SOI - pilot SOI = -2.5 to +1.5 ms,Jet angle and overlap sweep,Spatial-temporal interaction sets premixing,Pilot/gas ignition trade-off,Ignition-relative-to-SOI organizes HRR,No shock attribution; RCEM boundary
[[CITE:A009]],Diesel pilot / natural gas RCM,Relative pilot/gas timing,Ambient pressure and temperature sweep,Timing controls natural-gas premixing,Lower-state pilot ignition more vulnerable to adjacent jet,Premixed / mixing-controlled response shifts,Free-jet configuration
[[CITE:A011]],Diesel pilot / natural gas optical engine,Relative pilot/gas timing,Injection-pressure and timing sweep,NG stratification and premixing vary with chronology,NG ignition weakly sensitive to pressure,Non-premixed to partially premixed to stratified premixed modes,Optical-engine geometry and line-of-sight imaging
[[CITE:A013]],Pilot-ignited direct-injected natural gas engine,Relative injection timing sweep,140-220 bar; gas fraction and timing varied,Timing domains represent NG stratification,Pilot and NG combustion phasing vary by regime,Six stratified-combustion regimes,Paper-specific RIT definition
[[CITE:A020]],n-heptane pilot / H2 CVCC,H2-first and pilot-first; 0.07-3.07 ms separation,Converging single-hole jets; temperature sweep,Finite interaction with reacting pilot products,Distinct pilot and H2 ignition events,Long-delay cases show slower propagation and variability,Quiescent chamber; paper-specific ignition thresholds
[[CITE:A022]],Diesel pilot / H2 CVCC,Pilot SOI 0.6 ms after H2 SOI,"12, 15, and 19 deg interaction geometries",Angle changes jet overlap and entrainment,Greater overlap shortens pilot-to-main transition in tested cases,Geometry-conditioned stabilization / AHRR,No universal angle scalar
[[CITE:A026]],Diesel pilot / H2 optical engine,H2 SOI 0-30 CA bTDC; pilot SOI 6 CA bTDC,H2 energy share 70-95%,Timing changes preignition dilution and premixing,Advanced H2 timing can delay pilot ignition,Pilot energy strengthens early H2 reaction; late phase similar,Electronic SOI; line-of-sight flame imaging
