source_panel_id,figure_id,paper_id,source_pdf,page_number,source_figure_number,source_panel_label,source_type,phenomenon,scientific_role,why_selected,condition_summary,source_locator_id,candidate_reuse_mode,license_status,priority,notes
FSP-02-01,FIG-02,B009,02_PDF_Raw/B/B-H2-04_2014_Hamzehloo_LES_Underexpanded_Hydrogen_MethaneJets.pdf,9,5–8,NR,simulation_contour,transient jet development and Mach-disk emergence,connect developing nozzle flow to successive external wave states,verified locator; direct transient sequence; condition definitions available,H2/CH4; converging nozzle D=1.5 mm; semi-steady comparison follows transient development,LOC-B009-0005,reuse_permission_required,all_rights_reserved,high,Use exact source only with permission; otherwise retain labelled placeholder and cite physical facts.
FSP-02-02,FIG-02,B021,02_PDF_Raw/B/B-E-01_2023_Anaclerio_Numerical_Underexpanded_HydrogenJets_ICE.pdf,11–12,18–19,NR,simulation_contour,unsteady one-jet Mach-disk evolution,show that instantaneous shock topology differs from the steady NPR state,verified unsteady section and figure locator,hydrogen; one-jet unsteady calculation; pressure and chamber state remain case-specific,LOC-B021-0006,reuse_permission_required,unknown,medium,License not confirmed in frozen project files.
FSP-02-03,FIG-02,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,9,8–12,NR,graph,injector pressure build-up and transient underexpanded-jet response,"align injector pressure history with Mach-disk formation, motion, and stabilization",most direct pressure-build-up/transient-wave pairing in frozen corpus,hydrogen injector transient; event alignment and pressure location must be retained,LOC-B029-0008,internal_preview_only,CC BY-NC-ND 4.0,high,ND and NC restrictions make journal reuse conditional; do not crop or adapt until venue and rights route are confirmed.
FSP-04-01,FIG-04,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,13,6,NR,shadowgraph,shock-induced droplet aerobreakup morphologies,anchor representative SIE and RTP response sequences,"direct high-speed observation; cases have incident Mach, We, Re, diameter, and author regime label",water; incident-shock Mach 1.12–1.45; d0=0.5–2.9 mm; author labels SIE/RTP,LOC-C016-0004,reuse_open_license,CC BY 4.0,critical,"Preserve image meaning, time labels, and scale information; attribution required."
FSP-04-02,FIG-04,C025,02_PDF_Raw/C/C-ST-05_2025_Ullman_ShockInduced_DropletBreakup_TimescalesStatistics.pdf,5,4–6,NR,simulation_contour,droplet displacement and deformation under shock loading,support the transition from early compression to deformation and sheet/rim evolution,verified source sequence with definition-rich case configuration,water; d0=100 µm; incident Mach 2 and 3 cases; We=822 and 3760 as reported,LOC-C025-0003,reuse_permission_required,unknown,high,Use only after permission or replace by fact-based mechanism redraw.
FSP-04-03,FIG-04,D018,02_PDF_Raw/D/D-DW-03_2026_Yang_RP3_Droplet_DeformationBreakup_Detonation.pdf,10,15–16,NR,experiment_image,complete breakup in detonation-driven loading,show ligament and fragment formation under a reacting strong wave,direct observation with liquid-specific breakup-time scaling,water and RP-3; detonation Mach about 6–7; high We; reacting strong-wave comparison only,LOC-D018-0008,reuse_permission_required,all_rights_reserved,medium,"Strong-wave analogue, not HPDI evidence."
FSP-05-01,FIG-05,C035,02_PDF_Raw/C/C-MD-03_2021_Wang_ShockInduced_TandemDroplet_Breakup.pdf,5,4,NR,shadowgraph,tandem-droplet wake shielding and spacing-dependent response,represent ordered streamwise collective effects,verified direct tandem observation with S/D and We ranges,water; d0≈2 mm; S/D=1.2–10.5; We=13–180,LOC-C035-0004,reuse_permission_required,publisher_license_unknown,critical,AIP publication; reuse permission not established.
FSP-05-02,FIG-05,C036,02_PDF_Raw/C/C-MD-04_2026_Guo_ShockInduced_ParallelDroplets_Aerobreakup.pdf,8–11,5–7,NR,experiment_image,parallel-droplet channel opening and closure,represent transverse arrangement and squeeze/channel-flow effects,verified phase-diagram figures; distinct mechanism from tandem shielding,parallel droplets; D=230–430 µm; L/D below 0.1 to above 2; We O(10)–O(100),LOC-C036-0003,reuse_permission_required,all_rights_reserved,critical,Do not generalize the phase boundary to dense sprays.
FSP-06-01,FIG-06,C024,02_PDF_Raw/C/C-ST-04_2023_DukeWalker_SmallDroplet_BreakupEvaporation_HighWeber.pdf,7,7–8,NR,shadowgraph,"small-droplet breakup, cloud persistence, and disappearance",anchor the fragment-survival/evaporation branch,direct observation linking high-We breakup to a finite disappearance interval,small droplets; high Weber loading; final discernible clouds disappear at 250–300 µs,LOC-C024-0005,reuse_permission_required,all_rights_reserved,high,Observation cannot by itself establish HPDI mixture improvement.
FSP-07-01,FIG-07,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,3,2,NR,schematic,pilot–hydrogen jet geometry and interaction angle,define spatial intersection geometry for the chronology schematic,direct application geometry; open license; exact locator,H2 dual-direct-injection configuration; pilot SOI 0.6 ms after H2 SOI in extracted timing record,LOC-A022-0006,redraw_from_scientific_facts,CC BY 4.0,high,Prefer an original geometry redraw even though reuse is licensed; cite A022.
FSP-07-02,FIG-07,A026,02_PDF_Raw/A/A-H2-09_2025_Heaton_HydrogenInjectionTiming_EnergyProportion_Flame.pdf,7–11,9–13,NR,other,hydrogen injection timing and flame/heat-release response,represent chronology-conditioned combustion response,direct engine-domain timing series with explicit electronic SOI events,hydrogen SOI varied 0–30 CA bTDC; pilot electronic SOI 6 CA bTDC; energy share remains case-specific,LOC-A026-0005,internal_preview_only,CC BY-NC,medium,Noncommercial restriction requires venue check before final reuse.
FSP-07-03,FIG-07,A007,02_PDF_Raw/A/A-NG-07_2018_Fink_DieselPilot_NGJet_SpatialTemporalInteraction.pdf,6,10,NR,graph,pilot/main timing and ignition delay,show direct timing-to-ignition evidence without attributing it to shock,typed gas-SOI minus pilot-SOI interval and explicit ignition definitions,RCEM; gas SOI minus pilot SOI from −2.5 to +1.5 ms; paper-specific HRR thresholds,LOC-A007-0005,reuse_permission_required,all_rights_reserved,high,Graph is a data expression; do not imitate visually without permission or independent replot data.
