global_claim_id,candidate_claim_id,paper_id,reading_tier,library,relation_to_claim,support_type,evidence_grade,evidence_directness,method_type,quantitative_level,condition_compatibility,source_locator_id,boundary_conditions,limitations,review_mainline_role,verification_status,notes
GC-0001,T1-A007-C02,A007,tier1,A,supports,experimental_correlation,moderate,direct,experimental,quantitative_or_parameterized,partial,LOC-A007-0006,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",HRR is model-derived and hot-product heat losses are neglected; curves were not digitized.,M08;M09,verified,Candidate contribution: primary_experimental; normalization=cluster.
GC-0001,T1-A030-C01,A030,tier1,A,secondary_support,author_interpretation,contextual,secondary,review,directional_qualitative,partial,LOC-A030-0005,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",Secondary synthesis; study conditions and definitions vary.,M08;M09,verified,Candidate contribution: review_synthesis; normalization=cluster.
GC-0001,T2-A009-C02,A009,tier2,A,supports,experimental_correlation,moderate,direct,experimental,directional_qualitative,partial,LOC-A009-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",RCM abstraction limits direct full-engine transfer.,M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0001,T2-A011-C01,A011,tier2,A,supports,direct_observation,strong,direct,experimental,directional_qualitative,partial,LOC-A011-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.","Optical engine had low compression ratio, cylindrical bowl, and line-of-sight imaging.",M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0001,T2-A018-C02,A018,tier2,A,supports,direct_observation,strong,direct,experimental,quantitative_or_parameterized,partial,LOC-A018-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M08;M09,verified,Candidate contribution: direct_observation; normalization=cluster.
GC-0001,T2-A018-C03,A018,tier2,A,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-A018-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M08;M09,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0001,T2-A025-C01,A025,tier2,A,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-A025-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M08;M09,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0001,T3-A006-C01,A006,tier3,A,supports,direct_observation,strong,direct,experimental,quantitative_or_parameterized,partial,LOC-A006-0002,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",Optimized at one mode; CFD did not correctly predict premixed NG ignition.,M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0001,T3-A010-C01,A010,tier3,A,supports,model_based,supporting,indirect,numerical,quantitative_or_parameterized,partial,LOC-A010-0001,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",Model-resolved engine evidence; the optimum depends on the modeled combustion mode and EGR setting.,M08;M09,verified,Candidate contribution: mechanism_support; normalization=cluster.
GC-0001,T3-A019-C01,A019,tier3,A,supports,experimental_correlation,moderate,direct,experimental,quantitative_or_parameterized,partial,LOC-A019-0001,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.","The crossover timing and performance tradeoff are specific to this engine, load, speed, and fixed combustion phasing.",M08;M09,verified,Candidate contribution: independent_support; normalization=cluster.
GC-0001,T3-A023-C01,A023,tier3,A,supports,experimental_correlation,moderate,direct,experimental,directional_qualitative,partial,LOC-A023-0001,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",Small-bore single-cylinder engine and fixed intermediate load; the roles are strategy-specific.,M08;M09,verified,Candidate contribution: additional_condition; normalization=cluster.
GC-0002,T1-A007-C01,A007,tier1,A,supports,experimental_correlation,moderate,direct,experimental,directional_qualitative,partial,LOC-A007-0005,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.","Single RCEM operating point, two separate single-hole injectors, no swirl or neighboring jets.",M08;M09,verified,Candidate contribution: primary_experimental; normalization=cluster.
GC-0002,T1-A007-C03,A007,tier1,A,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-A007-0007,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.","Design transfer to engines remains contingent on swirl, walls, and adjacent jets.",M08;M09,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0002,PILOT-A020-C01,A020,pilot,A,supports,author_interpretation,supporting,indirect,experimental,quantitative_or_parameterized,partial,LOC-A020-0008,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",Specific to the converging CVCC configuration.,M08;M09,verified,Candidate contribution: direct_observation; normalization=cluster.
GC-0002,PILOT-A022-C01,A022,pilot,A,supports,direct,strong,direct,experimental,quantitative_or_parameterized,partial,LOC-A022-0008,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",Pilot ignition itself can be slightly delayed at larger angle.,M08;M09,verified,Candidate contribution: direct_observation; normalization=cluster.
GC-0002,T2-A009-C01,A009,tier2,A,supports,direct_observation,strong,direct,experimental,directional_qualitative,partial,LOC-A009-0002,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.","Single free-jet arrangement without wall, swirl, or neighboring-jet effects.",M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0002,T2-A012-C01,A012,tier2,A,supports,simulation_resolved,moderate,direct,numerical,qualitative,partial,LOC-A012-0003,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",Single operating point and model-dependent chemistry/turbulence representation.,M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0002,T2-A014-C02,A014,tier2,A,supports,author_interpretation,supporting,indirect,not_specified,qualitative,partial,LOC-A014-0002,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M08;M09,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0002,T2-A014-C03,A014,tier2,A,supports,author_interpretation,supporting,indirect,not_specified,quantitative_or_parameterized,partial,LOC-A014-0002,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",Claim is a paper-level candidate localized to the canonical PDF; cross-paper adjudication and final evidence verification remain pending.,M08;M09,verified,Candidate contribution: author_interpretation; normalization=cluster.
GC-0002,T3-A008-C01,A008,tier3,A,supports,simulation_resolved,moderate,direct,numerical,qualitative,partial,LOC-A008-0003,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",Model validation used an RCEM abstraction and reduced injector geometry; A008 machine metadata identity coverage was 0.9091 but PDF identity was visually verified.,M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0003,T2-A002-C01,A002,tier2,A,supports,simulation_resolved,moderate,direct,numerical,directional_qualitative,partial,LOC-A002-0003,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",Single engine architecture; transient-cycle performance was not evaluated.,M01;M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0003,T2-A002-C02,A002,tier2,A,supports,direct_observation,strong,direct,experimental,directional_qualitative,partial,LOC-A002-0003,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",Tradeoffs depend on operating point and nozzle design.,M01;M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0003,T2-A011-C02,A011,tier2,A,supports,direct_observation,strong,direct,experimental,directional_qualitative,partial,LOC-A011-0002,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",Results are bounded by the optical engine configuration.,M01;M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0003,T3-A001-C01,A001,tier3,A,supports,direct_observation,strong,direct,experimental,quantitative_or_parameterized,partial,LOC-A001-0002,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",Engineand operating-map-specific; multiple higher-order interactions were significant.,M01;M08;M09,verified,Candidate contribution: reported result; normalization=cluster.
GC-0003,T3-A003-C01,A003,tier3,A,supports,experimental_correlation,moderate,direct,experimental,directional_qualitative,partial,LOC-A003-0001,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",Engine-specific operating range; correlated parameter effects do not establish a universal optimum.,M01;M08;M09,verified,Candidate contribution: independent_support; normalization=cluster.
GC-0004,PILOT-A016-C01,A016,pilot,A,supports,author_interpretation,supporting,indirect,numerical,qualitative,partial,LOC-A016-0009,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,"Model-resolved, not directly measured in the engine.",M08;M09,verified,Candidate contribution: simulation_resolved; normalization=cluster.
GC-0004,PILOT-A016-C02,A016,pilot,A,supports,direct,supporting,direct,numerical,quantitative_or_parameterized,partial,LOC-A016-0010,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,Do not generalize the optimum beyond this operating point/model.,M08;M09,verified,Candidate contribution: simulation_resolved; normalization=cluster.
