source_record_id,paper_id,title,authors,year,journal,doi,doi_status,relevance_grade,relevance_score,relevance_reason,must_read,reading_tier,reading_priority,chapter_primary,chapter_secondary,chapter_role,topic_tags,parameter_groups,final_decision,exclusion_reason,verification_flags,notes
A-NG-01,A001,,,,,10.1115/1.2432894,unverified,,,,,tier3,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-02,A002,,,,,10.4271/2015-01-0865,unverified,,,,,tier2,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-03,A003,Experimental investigation on performance and heat release analysis of a pilot ignited direct injection natural gas engine,"Menghan Li a, Qiang Zhang a, *, Guoxiang Li a, Sidong Shao b",2015,,10.1016/j.energy.2015.06.089,verified,,,,,tier3,,,,,,,keep,,,
A-NG-04,A004,Combustion process and emissions of a heavy-duty engine fueled with directly injected natural gas and pilot diesel,"Qiang Zhang a,鈬? Menghan Li a, Sidong Shao b",2015,,10.1016/j.apenergy.2015.08.021,verified,,,,,tier3,,,,,,,keep,,,
A-NG-05,A005,,,,,10.4271/2016-01-0807,unverified,,,,,tier2,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-06,A006,,,,,10.4271/2017-01-0763,unverified,,,,,tier3,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-07,A007,,,,,10.1115/1.4039934,unverified,,,,,tier1,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-08,A008,,,,,10.1115/ICEF2018-9579,unverified,,,,,tier3,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-09,A009,,,,,10.1115/1.4043643,unverified,,,,,tier2,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-10,A010,The effects of partially premixed combustion mode on the performance and emissions of a direct injection natural gas engine,Menghan Li,2019,,10.1016/j.fuel.2019.04.009,verified,,,,,tier3,,,,,,,keep,,,
A-NG-11,A011,,,,,10.1177/1468087419836877,unverified,,,,,tier2,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-12,A012,,,,,10.1115/ICEF2021-74466,unverified,,,,,tier2,,,,,,,keep,,pdf_missing,User-supplied DOI/title retained as unverified metadata.
A-NG-13,A013,Heat release rate and emissions regimes of stratified pilot-ignited direct-injection natural gas combustion,"Jeremy Rochussen1 , Gordon McT aggart-Cowan2 and",2023,International Journal of Engine Research 2023.24:265-285,10.1177/14680874211046912,verified,,,,,tier2,,,,,,,keep,,,
A-NG-14,A014,Optical characterization of stratified-premixed natural gas direct-injection combustion regimes,"Jeremy Rochussen , Matthew Knight , Gibson Clark",2023,International Journal of Engine Research 2023.24:1892-1915,10.1177/14680874221107188,verified,,,,,tier2,,,,,,,keep,,,
A-NG-15,A015,Effects of operating parameters on combustion and soot emissions in a pilot ignited HPDI natural gas engine for different combustion modes,Guisheng Chen,2023,,10.1016/j.fuel.2022.127160,verified,,,,,tier3,,,,,,,keep,,,
A-NG-16,A016,Investigations of diesel and natural gas injection interaction on combustion characteristics of a high-pressure direct-injection dual-fuel engine based on large eddy simulation,Zifan Lian,2025,,10.1016/j.apenergy.2024.124807,verified,,,,,tier1,,,,,,,keep,,,
A-NG-17,A017,Effects of injector structural parameters coupled with injection pressure on the combustion and emission performance of commercial HPDI natural gas engine,Kaiqiang Yang,2026,,10.1016/j.fuel.2025.138211,verified,,,,,tier3,,,,,,,keep,,,
A-H2-01,A018,Performance and emissions of hydrogen-diesel dual direct injection (H2DDI) in a single-cylinder compression-ignition engine,Xinyu Liu,2021,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2020.10.006,verified,,,,,tier2,,,,,,,keep,,,
A-H2-02,A019,Direct injection of hydrogen main fuel and diesel pilot fuel in a retrofitted single-cylinder compression ignition engine,Xinyu Liu,2022,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2022.08.149,verified,,,,,tier3,,,,,,,keep,,,
A-H2-03,A020,Hydrogen-diesel dual-fuel direct-injection (H2DDI) combustion under compression-ignition engine conditions,Patrick Rorimpandey,2023,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2022.09.241,verified,,,,,tier1,,,,,,,keep,,,
A-H2-04,A021,Effects of energy-share and ambient oxygen concentration on hydrogen-diesel dual-fuel direct-injection (H2DDI) combustion in compression-ignition conditions,Patrick Rorimpandey,2024,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2023.11.106,verified,,,,,tier2,,,,,,,keep,,,
A-H2-05,A022,Effects of jet interaction angle on the ignition and combustion characteristics of hydrogen-diesel dual-fuel direct injection,Patrick Rorimpandey,2024,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2024.04.166,verified,,,,,tier1,,,,,,,keep,,,
A-H2-06,A023,Split injection strategies for a high-pressure hydrogen direct injection in a small-bore dual-fuel diesel engine,Xinyu Liu,2024,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2024.01.065,verified,,,,,tier3,,,,,,,keep,,,
A-H2-07,A024,Numerical modelling of a heavy-duty diesel-hydrogen dual-fuel engine with late high pressure hydrogen direct injection and diesel pilot,C.J. Ramsay,2024,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2023.09.019,verified,,,,,tier2,,,,,,,keep,,,
A-H2-08,A025,Modeling hydrogen鈥揹iesel dual direct injection combustion with FGM and transported PDF,Tommaso Lucchini,2024,,10.1016/j.proci.2024.105213,verified,,,,,tier2,,,,,,,keep,,,
A-H2-09,A026,The influence of hydrogen injection timing and energy proportion on flame developments in a dual direct injection optical diesel engine,Alastar Gordon Heaton,2025,,10.1016/j.jaecs.2025.100382,verified,,,,,tier1,,,,,,,keep,,,
