source_panel_id,paper_id,pdf_file,pdf_page,original_figure,original_panel,phenomenon,condition_summary,manuscript_section,new_figure_id,crop_notes,source_locator,notes
SP02-01,B009,02_PDF_Raw/B/B-H2-04_2014_Hamzehloo_LES_Underexpanded_Hydrogen_MethaneJets.pdf,11,Fig. 8,sequence,Axial-Mach evolution and Mach-disk formation,Hydrogen; NPR 10; transient LES,S06,FIG-02,Page crop retaining time labels and contour legend,LOC-B009-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP02-02,B021,02_PDF_Raw/B/B-E-01_2023_Anaclerio_Numerical_Underexpanded_HydrogenJets_ICE.pdf,11,Figs. 18-19,combined,Steady/unsteady Mach-disk and scalar-field comparison,Hydrogen; one-jet NPR 12.7 case,S06,FIG-02,Left-column crop retaining axes and legends,LOC-B021-0006,Direct crop from canonical local PDF; scientific content unaltered.
SP02-03,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,8,Figs. 9-11,combined,Injector pressure build-up and jet-field response,Hydrogen injector; transient pressure histories,S06,FIG-02,"Left-column crop retaining axes, legends, and contour scale",LOC-B029-0008,Direct crop from canonical local PDF; scientific content unaltered.
SP04-01,C012,02_PDF_Raw/C/C-SD-05_2019_BiasioriPoulanges_HighMagnification_Shadowgraphy_DropBreakup.pdf,3,Fig. 3,a-n,"High-magnification sheet, rim, ligament, and fragment evolution",Water; We 1350,S10,FIG-04,Figure crop retaining scale bar and time labels,"PDF p.3, Fig. 3",Direct crop from canonical local PDF; scientific content unaltered.
SP04-02,C013,02_PDF_Raw/C/C-SD-06_2020_Dorschner_LigamentFormation_Shedding_DropletAerobreakup.pdf,22,Fig. 15,sequence,Recurrent ligament formation and shedding,Water; We 295,S10,FIG-04,Left-column figure crop retaining annotations,"PDF p.22, Fig. 15",Direct crop from canonical local PDF; scientific content unaltered.
SP04-03,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,13,Fig. 6,a-d,SIE and RTP breakup morphologies,Water; M_s 1.12-1.45; case-specific We and Re,S10,FIG-04,Upper-right crop retaining scale bars and labels,LOC-C016-0004,Direct crop from canonical local PDF; scientific content unaltered.
SP04-04,D018,02_PDF_Raw/D/D-DW-03_2026_Yang_RP3_Droplet_DeformationBreakup_Detonation.pdf,10,Fig. 15,sequence,"KHI-dominant deformation, coupled KHI-RTI, and breakup",RP-3; d0 530 um; detonation Ma 7.03,S10,FIG-04,Top-strip crop retaining stage and time annotations,LOC-D018-0008,Direct crop from canonical local PDF; scientific content unaltered.
SP05-01,C035,02_PDF_Raw/C/C-MD-03_2021_Wang_ShockInduced_TandemDroplet_Breakup.pdf,5,Fig. 5,sequence,Tandem-droplet wake shielding and differential deformation,Water; tandem pair; S/D and We case-specific,S14,FIG-05,Right-column figure crop retaining dimensional labels,LOC-C035-0004,Direct crop from canonical local PDF; scientific content unaltered.
SP05-02,C036,02_PDF_Raw/C/C-MD-04_2026_Guo_ShockInduced_ParallelDroplets_Aerobreakup.pdf,5,Fig. 2,sequence,Parallel-droplet channel opening and closure,Parallel droplets; We 16.7; multiple L/D,S14,FIG-05,Figure crop retaining spacing labels and time sequence,LOC-C036-0003,Direct crop from canonical local PDF; scientific content unaltered.
SP05-03,C033,02_PDF_Raw/C/C-MD-01_2011_Chauvin_PlanarShock_TwoPhase_GasLiquid_Medium.pdf,5,Fig. 2,sequence,Shock propagation through a droplet cloud,Water-droplet cloud; planar shock,S14,FIG-05,Lower-right crop retaining station layout and pressure traces,"PDF p.5, Fig. 2",Direct crop from canonical local PDF; scientific content unaltered.
SP06-01,C024,02_PDF_Raw/C/C-ST-04_2023_DukeWalker_SmallDroplet_BreakupEvaporation_HighWeber.pdf,7,Fig. 7,a-d,Fragment-cloud formation and optical disappearance,Acetone droplets; M about 2.09; high We,S18,FIG-06,Top figure crop retaining time labels and flow direction,LOC-C024-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP06-02,C031,02_PDF_Raw/C/C-PC-05_2025_Song_3D_PhaseChange_ShockDroplet_Interaction.pdf,11,Fig. 7,a-c,"No-phase-change, evaporation, and condensation morphologies",n-dodecane; modeled Mach 1.47 family,S18,FIG-06,Upper figure crop retaining branch labels and times,LOC-C031-0008,Direct crop from canonical local PDF; scientific content unaltered.
SP06-03,C032,02_PDF_Raw/C/C-PC-06_2016_Strotos_NDecane_DropletBreakup_HighTemperatureGas.pdf,5,Figs. 3-4,combined,Heating-dependent deformation and breakup,n-decane; 800 and 1000 K; We 15-90,S18,FIG-06,Figure crop retaining We/Re labels and time contours,"PDF p.5, Figs. 3-4",Direct crop from canonical local PDF; scientific content unaltered.
SP06-04,C026,02_PDF_Raw/C/C-ST-06_2025_DukeWalker_SmallDroplet_DeformationAcceleration_HighSpeed.pdf,6,Fig. 2,A-E,Size- and We-dependent small-droplet evolution,Acetone; d0 about 55-200 um; case-specific Mach/We,S18,FIG-06,Right-side crop retaining row labels and image times,"PDF p.6, Fig. 2",Direct crop from canonical local PDF; scientific content unaltered.
SP07-01,A022,02_PDF_Raw/A/A-H2-05_2024_Rorimpandey_JetInteractionAngle_H2DDI.pdf,3,Fig. 2,a-c,Hydrogen-pilot jet intersection geometry,"H2/diesel DDI; 12, 15, and 19 deg arrangements",S22,FIG-07,Right-column crop retaining injector geometry dimensions,LOC-A022-0006,Direct crop from canonical local PDF; scientific content unaltered.
SP07-02,A026,02_PDF_Raw/A/A-H2-09_2025_Heaton_HydrogenInjectionTiming_EnergyProportion_Flame.pdf,10,Fig. 10,sequence,Timing-conditioned diesel-pilot and early hydrogen flame development,H2/diesel optical engine; timing sweep,S22,FIG-07,Figure crop retaining crank-angle and timing labels,LOC-A026-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP07-03,A007,02_PDF_Raw/A/A-NG-07_2018_Fink_DieselPilot_NGJet_SpatialTemporalInteraction.pdf,6,Fig. 10,map,Spatial-temporal natural-gas ignition-delay map,Diesel pilot/natural gas; RCEM,S22,FIG-07,Lower-left crop retaining axes and color scale,LOC-A007-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP08-01,D018,02_PDF_Raw/D/D-DW-03_2026_Yang_RP3_Droplet_DeformationBreakup_Detonation.pdf,5,Fig. 5,a-f,Water/RP-3 detonation-driven breakup comparison,Detonation Ma about 6-7; water and RP-3,S26,FIG-08,"Figure crop retaining flow direction, time, and case labels",LOC-D018-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP08-02,D019,02_PDF_Raw/D/D-DW-04_2026_Zou_DetonationShock_DropletInteraction_Mechanisms.pdf,11,Fig. 8,a-d,Reacting detonation versus inert-shock wave configurations,Water; d0 4.8 mm; matched incident Mach 4.8,S26,FIG-08,Upper-left crop retaining density and pressure contours,LOC-D019-0006,Direct crop from canonical local PDF; scientific content unaltered.
