paper_id,pdf_identity_ok,full_text_ok,page_mapping_ok,note_complete,chapter_role_identified,case_structure_ok,chapter_core_parameters_accounted,parameter_provenance_ok,schema_1_1_compliance,reported_derived_inferred_ok,NR_NA_NV_ok,source_locator_fk_ok,relation_fk_ok,evidence_card_complete,tier1_link_checked,blocking_schema_gap,review_status,notes
A002,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Phase 9.1 late-PDF chapter-core QC PASS; evidence remains candidate.
A005,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Phase 9.1 late-PDF chapter-core QC PASS; evidence remains candidate.
A009,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Phase 9.1 late-PDF chapter-core QC PASS; evidence remains candidate.
A011,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Phase 9.1 late-PDF chapter-core QC PASS; evidence remains candidate.
A012,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Phase 9.1 late-PDF chapter-core QC PASS; evidence remains candidate.
A013,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
A014,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
A018,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
A021,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
A024,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
A025,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
B002,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
B003,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
B005,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
B007,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Chapter-core candidate evidence; final evidence verification remains pending.
