history_id,paper_id,case_id,condition_id,variable_name,variable_role,parameter_context,time_reference_event_id,history_type,data_availability,start_time,end_time,time_unit,source_locator_id,reported_or_derived,verification_status,notes
HIST-B013-001,B013,B013-C01,B013-C01,Mach-disk axial position,simulated_output,mach_disk,EVT-B013-001,Mach_disk_position_history,figure_only,,,,LOC-B013-0006,reported,verified,Trajectory registered; figure was not digitized.
HIST-B029-001,B029,B029-C01,B029-C01,p_in(t),measured_input,injector_internal_pressure,EVT-B029-001,pressure_history,figure_only,,,,LOC-B029-0007,reported,verified,Pressure-build shape retained without curve digitization.
HIST-B029-002,B029,B029-C01,B029-C01,NPR(t)=p_in(t)/p_b,operating_condition,pressure_ratio,EVT-B029-001,NPR_history,formula_based,,,,LOC-B029-0004,reported,verified,Time-resolved ratio definition linked conceptually to HIST-B029-001; no calculated time-series points created.
HIST-B029-003,B029,B029-C01,B029-C01,Mach-disk position,measured_output,mach_disk,EVT-B029-001,Mach_disk_position_history,figure_only,,,,LOC-B029-0008,reported,verified,Dynamic trajectory registered; curve was not digitized.
HIST-B029-004,B029,B029-C02,B029-C02,p_in(t),measured_input,injector_internal_pressure,EVT-B029-003,pressure_history,figure_only,,,,LOC-B029-0007,reported,verified,Pressure-build shape retained without curve digitization.
HIST-B029-005,B029,B029-C02,B029-C02,NPR(t)=p_in(t)/p_b,operating_condition,pressure_ratio,EVT-B029-003,NPR_history,formula_based,,,,LOC-B029-0004,reported,verified,Time-resolved ratio definition linked conceptually to HIST-B029-004; no calculated time-series points created.
HIST-B029-006,B029,B029-C02,B029-C02,Mach-disk position,measured_output,mach_disk,EVT-B029-003,Mach_disk_position_history,figure_only,,,,LOC-B029-0008,reported,verified,Dynamic trajectory registered; curve was not digitized.
HIST-B029-007,B029,B029-C03,B029-C03,p_in(t),measured_input,injector_internal_pressure,EVT-B029-005,pressure_history,explicit_text_values,,,,LOC-B029-0007,reported,verified,Pressure-build shape retained without curve digitization.
HIST-B029-008,B029,B029-C03,B029-C03,NPR(t)=p_in(t)/p_b,operating_condition,pressure_ratio,EVT-B029-005,NPR_history,formula_based,,,,LOC-B029-0004,reported,verified,Time-resolved ratio definition linked conceptually to HIST-B029-007; no calculated time-series points created.
HIST-B029-009,B029,B029-C03,B029-C03,Mach-disk position,measured_output,mach_disk,EVT-B029-005,Mach_disk_position_history,figure_only,,,,LOC-B029-0008,reported,verified,Dynamic trajectory registered; curve was not digitized.
HIST-C031-001,C031,ALL,ALL,interface mass flux,simulated_output,interface_mass_flux,,mass_history,figure_only,,,,LOC-C031-0009,reported,verified,History registered without digitization; sign convention remains NV in the linked parameter record.
HIST-D017-001,D017,ALL,ALL,post-front droplet acceleration,descriptive_state,variable_acceleration,,velocity_history,qualitative_only,,,,LOC-D017-0009,reported,verified,Variable-acceleration applicability context; no numeric history was created.
HIST-B009-001,B009,B009-H2-NPR10,B009-H2-NPR10,Mach disk dimensions,simulated_output,Mach_disk_growth,EVT-B009-001,Mach_disk_position_history,figure_only,0,49.6,us,LOC-B009-0005,reported,verified,Figure-only history; no digitization.
HIST-B028-001,B028,ALL,NPR_sweep,jet penetration,measured_and_simulated_output,far_field_jet,,other,figure_only,0,1.0,ms,LOC-B028-0007,reported,verified,Figure-only curves; no digitization.
HIST-B028-002,B028,ALL,NPR_sweep,projected spray area,measured_and_simulated_output,far_field_jet,,other,figure_only,0,1.0,ms,LOC-B028-0007,reported,verified,Explicit textual values retained in note/evidence; curve not digitized.
