analysis_id,scientific_question,candidate_x,candidate_y,independent_papers,eligible_cases,definition_compatibility,condition_compatibility,normalization_validity,dominance_by_single_study,cross_paper_value,status,plot_recommendation,main_reason,notes
QSA-01,Can definition-complete NPR explain x_MD/D across compatible underexpanded-jet conditions?,contextual NPR,x_MD/D,1,5,pass within B009 only,same nozzle/ambient; gas facet retained,pass; reported x_MD divided by reported D=1.5 mm,100%,none,within_study_only,B009 H2 line plus CH4 same-NPR marker; label as within-study,B021 endpoints lack paired explicit ratio records; other candidate papers lack usable pairs,No cross-paper correlation or fit.
QSA-02,Can event-aligned p_inj(t) be related to Mach-disk formation/motion/stabilization?,p_inj(t) or NPR(t),Mach-disk state/time or x_MD(t)/D,6,0,partial,heterogeneous event zeros and pressure locations,not testable; time_series_points.csv has zero rows,NA,qualitative event sequence,qualitative_only,FIG-02 conceptual timeline and source-labelled placeholders,registered histories are figure-only and were not digitized,No curve digitization undertaken.
QSA-03,How do Mach context and definition-complete We relate to deformation/breakup response?,M_s or M_rel plus We,response metric or author breakup mode,0,0,fails strict complete-component requirement,"inert/reacting, size, liquid, and response definitions differ",not valid for pooled numeric map,NA,condition table only,qualitative_only,TAB-03 plus FIG-04 mechanism/observation layout,candidate We records are incomplete_reported or lack matched response metrics,C016 and C025 cases remain useful qualitative anchors.
QSA-04,Does typed loading duration relative to response time organize breakup?,tau_loading or tau_loading/tau_response,event-specific response,0,0,insufficient typed start/end event pairs,heterogeneous loading histories,not established,NA,hypothesis only,qualitative_only,conceptual clocks in FIG-03/FIG-09,both time definitions are not jointly complete,"No plot, fit, or universal correlation."
QSA-05,How does d0 condition breakup/evaporation response under matched wave and thermal states?,d0,extinction distance or typed response,1,21,pass within D017 model branches,same study; model branch retained,reported d0 and reported extinction distance; censored >500 values marked,100%,none,within_study_only,D017 model-branch small multiple/line; no cross-domain pooling,other studies use incompatible response endpoints or lack paired case values,"Plot demonstrates model sensitivity, not a universal diameter law."
QSA-06,How do spacing/cloud descriptors affect collective response?,S/D or typed cloud descriptor,breakup/attenuation response,0,0,descriptor types non-equivalent,"tandem, parallel, and cloud configurations differ",S/D cannot be converted to volume fraction/cloud statistic,NA,mechanism comparison,qualitative_only,FIG-05 and TAB-04,no common x/y definition across configurations,No universal critical spacing.
QSA-07,How does signed pilot/main chronology relate to mixture/ignition response?,signed ΔSOI,mixture/ignition/combustion response,0,0,"timing definitions available for selected studies, but y metrics are not paired","fuel order, geometry, event type, and operating point differ",no valid cross-engine conversion,NA,conditioned chronology table,qualitative_only,FIG-07 timeline plus TAB-06,no condition-compatible paired numeric response registry,Direct timing evidence remains distinct from shock causality.
QSA-08,Does typed L_E/L_D organize RDE behavior?,L_E/L_D,mean rotating-wave velocity,1,3,pass within D009,same case family; d0 changes; B5 lacks paired wave velocity,source-typed ratio retained,100%,none,within_study_only,D009 three-point within-study plot,typed ratios are model/device-specific and other studies lack compatible scales,Analogue only; no HPDI mapping.
QSA-09,Can generic NPR be pooled against shock metrics?,generic NPR,shock metric,0,0,fail by design,not applicable,invalid,NA,none,not_recommended,none,pressure roles/types/time basis are missing or incompatible,Use QSA-01 only.
QSA-10,Can generic Mach/We be pooled into a universal breakup map?,generic Mach/We,breakup regime,0,0,fail by design,"inert shock, detonation, continuous flow mixed",invalid,NA,none,not_recommended,none,identical numbers do not represent identical physical states,No universal regime boundary.
QSA-11,Can generic breakup time be pooled?,generic breakup time,Mach/We/d0,0,0,fail by design,onset/shedding/completion differ,invalid,NA,none,not_recommended,none,event and time normalization are not common,Retain event-specific times.
QSA-12,Can RDE L_E/L_D be mapped quantitatively to HPDI ignition?,RDE L_E/L_D,HPDI ignition/combustion response,0,0,no validated mapping,cross-domain mismatch,invalid,NA,none,not_recommended,none,"chemistry, residence, geometry, and denominator scales do not correspond",Use FIG-08/TAB-07 comparison boundary only.
