deployment_id,section_id,global_claim_id,argument_role,anchor_paper_ids,supporting_paper_ids,boundary_paper_ids,contrasting_paper_ids,review_secondary_ids,preferred_evidence_count,evidence_strength,condition_compatibility_requirement,citation_density_guidance,notes
ED-001,S21,GC-0001,cross-paper mechanism claim,A006;A011;A018,A007;A009;A019;A023;A010,A006;A007;A009;A010;A011,,A030,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-002,S22,GC-0002,cross-paper qualified mechanism claim,A009;A022;A007,A008;A012;A014;A020,A007;A008;A009;A012;A014,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-003,S23,GC-0003,cross-paper directional claim,A001;A002;A011,A003,,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-004,S21,GC-0004,cross-paper qualified mechanism claim,A005;A017;A016,,,,A030,1–2 anchors plus selected boundary evidence,moderate,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-005,S21,GC-0005,secondary synthesis claim,A027;A029,,,,A027;A029,1 anchor/context source with explicit limitation,limited,This claim is review-secondary and does not substitute for primary confirmation under a single standardized condition set.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-006,S06,GC-0006,cross-paper directional claim,B003;B009;B021,B025;B030,B003;B009;B021;B025;B030,,,1–2 anchors plus selected boundary evidence,moderate,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-007,S05,GC-0007,cross-paper mechanism claim,B014;B018;B021,B013;B029;B017,B013;B014;B017;B018;B021,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-008,S06,GC-0008,cross-paper qualified claim,B010,B009;B011,B009;B010;B011,,,1–2 anchors plus selected boundary evidence,moderate,"Species effects remain coupled to nozzle-exit turbulence, density, thermodynamics, and numerical treatment.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-009,S04,GC-0009,cross-paper qualified directional claim,B006;B009;B015,B028;B003;B024,B003;B006;B009;B015;B024,,,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-010,S04,GC-0010,cross-paper qualified claim,B021;B028;B011,,B011;B021;B028,,,1–2 anchors plus selected boundary evidence,moderate,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-011,S04,GC-0011,cross-paper mechanism claim,B022;B028,,,,,1–2 anchors plus selected boundary evidence,moderate,"Diameter, shape, spacing, and pressure ratio were not varied in a common factorial design.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-012,S06,GC-0012,cross-paper zone-framework claim,B001;B019;B020,,B001;B004;B019;B020,B020,B004,1–3 anchors plus up to 2 boundary/corroborating papers,strong,"Universal decay constants and notional-nozzle choices remain unresolved, especially for supersonic exits.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-013,S04,GC-0013,cross-paper method and definition claim,B008,,,,A028,1–2 anchors plus selected boundary evidence,moderate,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
ED-014,S07,GC-0014,cross-paper mechanism claim,B027,B016,,,,1–2 anchors plus selected boundary evidence,moderate,Evidence is numerical or correlation-based and does not directly measure pilot-spray loading.,Use 1–3 strongest primary anchors; add boundary or review context only when it changes interpretation; avoid citation dumping.,Primary source preferred; review evidence is contextual.
