"section_id","phase12_title","phase13R_reader_facing_title","reason_for_change"
"S01","Review problem and internal scientific thesis","High-pressure injection, pilot sprays, and ignition coupling","Replaced project-thesis language with the coupled physical problem."
"S02","Scope, terminology, and evidence-status discipline","Scope and physical comparison framework","Reduced internal evidence terminology and foregrounded physical comparability."
"S03","Article framework and narrative route","From injector dynamics to ignition","Expressed the article route as a physical sequence."
"S04","Definition-complete injection and ambient boundary state","Injection and ambient conditions governing underexpansion","Recast definition language around the gas-dynamic boundary."
"S05","Injector pressure build-up and developing underexpanded state","Injector opening and transient jet formation","Foregrounded valve motion, choking, and jet formation."
"S06","Mach-disk and shock-cell organization under compatible states","Mach-disk and shock-cell evolution","Removed comparison-audit wording while retaining transient physics."
"S07","Shock, vortex, and wave topology as local gas-state sources","Wave and vortex structures as sources of local forcing","Connected topology directly to pressure and velocity forcing."
"S08","The unclosed shock-topology-to-HPDI-pilot-loading bridge","From transient shock structures to pilot-spray forcing","Converted gap terminology into the reader-facing aerodynamic question."
"S09","Loading magnitude, duration, and response-time compatibility","Loading magnitude, duration, and liquid response scales","Reframed compatibility as competing physical time scales."
"S10","Multivariable compressible droplet-response state","Governing parameters of compressible droplet response","Foregrounded Mach, We, Re, Oh, size, and duration."
"S11","Internal wave dynamics and deformation topology","Internal wave motion and early deformation","Simplified the title around the physical sequence."
"S12","Instability competition and multiscale breakup cascade","Competing instabilities and the breakup cascade","Retained the mechanism while removing planning language."
"S13","Regime and model predictive limits","Predictive limits of breakup regimes and reduced models","Specified the physical/model objects being compared."
"S14","Ordered-droplet shielding, squeeze flow, and channel closure","Wake shielding, squeeze flow, and channel closure","Named the tandem mechanism directly."
"S15","Cloud-scale shock attenuation and feedback","Shock attenuation and feedback in droplet clouds","Made the physical configuration explicit."
"S16","Canonical-to-dense-spray transfer audit","From canonical droplets to dense pilot sprays","Removed audit terminology and stated the scale transition."
"S17","Fragment population state and transport","Fragment populations and downstream transport","Used natural reader-facing wording."
"S18","Overlap of breakup, evaporation, and droplet survival scales","Coupled breakup, evaporation, and droplet survival","Foregrounded the coupled processes."
"S19","Conditional direction of phase-change coupling","Thermal and phase-change control of deformation","Recast abstract coupling language as physical thermal mechanisms."
"S20","The unclosed shock-fragment-to-mixture bridge","Fragment transport, vaporization, and mixture redistribution","Converted bridge/gap terminology into the downstream physical sequence."
"S21","Injection chronology, geometry, and mixture preparation","Injection chronology, jet geometry, and mixture preparation","Specified jet geometry without changing scope."
"S22","Pilot-product interaction and ignition response","Pilot-product entrainment and ignition","Named the transport mechanism that connects products to ignition."
"S23","Heat-release mode, injection pressure, and operating response","Heat-release modes and operating-condition tradeoffs","Emphasized stage-dependent combustion behavior."
"S24","Condition-specific hydrogen heat-release behavior","Condition-specific hydrogen heat-release behavior","Retained because the existing title is already compact and reader-facing."
"S25","The unclosed shock-caused mixture-to-ignition link","From mixture preparation to ignition","Replaced closure terminology with mixture and chemistry progression."
"S26","Droplet and evaporation scales in detonation and RDE wave response","Droplet and evaporation scales in detonation-wave systems","Condensed the title while retaining the strong-wave domain."
"S27","Reacting versus inert strong-wave droplet loading","Reacting and inert strong-wave loading","Simplified comparison wording."
"S28","Bounded transfer from strong-wave analogues to HPDI","What strong-wave analogues reveal for HPDI","Foregrounded the physical insight before the domain boundary."
"S29","Closed components and unclosed cross-scale pathways","Integrated multiscale mechanism and unresolved couplings","Replaced closure-report language with physical multiscale synthesis."
"S30","Evidence-derived research priorities and diagnostic requirements","Measurements and models needed to resolve the coupling","Expressed research priorities as concrete physical diagnostics."
"S31","Conclusions and review contributions","Conclusions","Removed project-report framing."
