paper_id,source_record_id,primary_role,secondary_role_1,secondary_role_2,existing_chapter_or_section,role_basis,confidence,status,notes
A002,A-NG-02,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,medium,blocked_missing_pdf,No chapter identifier invented; role map does not change library or Tier.
A005,A-NG-05,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,medium,blocked_missing_pdf,No chapter identifier invented; role map does not change library or Tier.
A009,A-NG-09,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,medium,blocked_missing_pdf,No chapter identifier invented; role map does not change library or Tier.
A011,A-NG-11,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,medium,blocked_missing_pdf,No chapter identifier invented; role map does not change library or Tier.
A012,A-NG-12,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,medium,blocked_missing_pdf,No chapter identifier invented; role map does not change library or Tier.
A013,A-NG-13,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
A014,A-NG-14,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
A018,A-H2-01,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
A021,A-H2-04,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
A024,A-H2-07,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
A025,A-H2-08,mixing/ignition,gas-liquid direct injection,injection chronology,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B002,B-T-02,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B003,B-T-03,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B005,B-T-05,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B007,B-H2-02,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B008,B-H2-03,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,medium,blocked_missing_pdf,No chapter identifier invented; role map does not change library or Tier.
B012,B-H2-07,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B016,B-NG-01,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B017,B-NG-02,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B019,B-NG-04,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B023,B-E-03,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B024,B-E-04,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
B030,B-E-10,underexpanded jet physics,shock structure,gas-jet mixing,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C001,C-F-01,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C002,C-F-02,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C006,C-F-06,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C010,C-SD-03,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C015,C-SD-08,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C017,C-SD-10,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C020,C-SD-13,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C022,C-ST-02,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C023,C-ST-03,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C026,C-ST-06,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C030,C-PC-04,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C033,C-MD-01,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C034,C-MD-02,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
C036,C-MD-04,droplet breakup,shock loading,phase change/multi-droplet interaction,,Phase 8 review-mainline role; chapter_structure.md is empty.,medium,blocked_missing_pdf,No chapter identifier invented; role map does not change library or Tier.
D002,D-IC-02,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
D005,D-IC-05,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
D007,D-RDE-02,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
D010,D-RDE-05,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
D011,D-RDE-06,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
D013,D-RDE-08,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
D014,D-RDE-09,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
D015,D-RDE-10,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
D016,D-DW-01,RDE/detonation application,wave-droplet coupling,phase change and stability,,Phase 8 review-mainline role; chapter_structure.md is empty.,high,candidate,No chapter identifier invented; role map does not change library or Tier.
