paper_id,reading_tier,page_count,unreadable_pages,required_machine_files,per_paper_json,paper_note,evidence_card,schema_version,stable_ids_unique,source_fk_pass,other_fk_pass,status,notes
A007,tier1,8,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
B021,tier1,17,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
C029,tier1,44,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
D019,tier1,28,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
A002,tier2,16,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
A005,tier2,16,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
A009,tier2,8,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
A011,tier2,17,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
A012,tier2,9,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
B008,tier2,11,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
C036,tier2,19,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
A001,tier3,10,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
A006,tier3,14,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
A008,tier3,12,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
B006,tier3,13,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
B018,tier3,15,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
C005,tier3,25,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
C011,tier3,6,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
D001,tier3,13,0,5/5,yes,yes,yes,1.1,yes,yes,yes,PASS,Tier-conformant late-PDF processing complete.
