boundary_id,global_claim_id,mechanism_pathway_id,condition_type,condition_description,lower_or_upper_boundary,reported_or_synthesized,supporting_paper_ids,evidence_strength,outside_boundary_behavior,generalization_risk,notes
BC-001,GC-0006,MP-003,pressure_NPR,"NPR comparison requires matched numerator role, pressure type, location, time basis, and ambient denominator.",compatibility_boundary,synthesized,B003;B009;B021;B025;B030,strong,"Apparent Mach-disk scaling can reflect definition mismatch rather than physics.",high,"Mechanistic compatibility boundary, not a numeric regime boundary."
BC-002,GC-0007,MP-005,transient_state,"Formation, instantaneous, overshoot, and stabilized Mach-disk states are distinct.",stage_boundary,reported,B013;B014;B017;B018;B021;B029,strong,"A nominal or plateau NPR cannot reconstruct early-time motion.",high,"Event alignment required."
BC-003,GC-0008,MP-004,gas_properties,"Matched NPR does not match species density, sound speed, real-gas state, or exit turbulence.",compatibility_boundary,synthesized,B009;B010;B011,moderate,"Gross barrel scale may remain similar while downstream cells and mixing differ.",medium,"Apparent differences are complementary observables."
BC-004,GC-0009,MP-002,nozzle_geometry,"Penetration and entrainment trends depend on nozzle geometry and transient/spatial definition.",observed_condition_range,reported,B003;B006;B009;B015;B024;B028,strong,"Pressure-ratio increase need not produce a universal monotonic penetration trend.",high,"CON-001 resolved as an apparent condition difference."
BC-005,GC-0010,MP-002,ambient_state,"Fixed-NPR and fixed-injection-pressure ambient sweeps are not interchangeable.",compatibility_boundary,synthesized,B011;B021;B028,moderate,"Ambient pressure, density, and temperature can change timing and spreading through different paths.",high,"Keep ambient state components explicit."
BC-006,GC-0012,MP-006,spatial_zone,"Shock-dominated near field and weaker-shock far-mixing region require separate descriptions.",spatial_boundary,reported,B001;B004;B019;B020,strong,"Notional-nozzle or equivalent-jet assumptions may fail if initialized too early or with unvalidated decay.",high,"No universal decay constant is asserted."
BC-007,GC-0016,MP-009,loading_duration,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are non-equivalent intervals.",definition_boundary,synthesized,C007;C016;D003,limited,"Duration-response conclusions change with the selected start/end events.",high,"Use interval_type and event links."
BC-008,GC-0017,MP-010,We_Mach_definition,"Comparable We requires matched velocity, density, length, surface tension, Mach context, and loading history.",compatibility_boundary,reported,C014;C023;C025,strong,"Comparable We alone can yield different morphology or breakup timing.",high,"CON-010 resolved as a definition difference."
BC-009,GC-0018,MP-012,Mach_physical_stage,"Early kinematics and later morphology/spreading are different response stages.",stage_boundary,synthesized,C007;C008,moderate,"A weak early Mach effect does not negate later compressibility-dependent morphology.",medium,"CON-002 resolved as different physical stage."
BC-010,GC-0020,MP-013,phase_state_wave_ratio,"Internal wave topology depends on wave-speed ratio, phase state, shock strength, and model geometry.",observed_condition_range,reported,C011;C017;C018;C029,moderate,"Focusing, cavitation, or circulation may change or be omitted outside the modeled state.",high,"Do not transfer two-dimensional or omitted-physics results unqualified."
BC-011,GC-0022,MP-014,droplet_arrangement,"Tandem and parallel arrangements invoke wake shielding versus channel closure and cannot share one critical spacing.",mechanistic_boundary,synthesized,C001;C035;C036,strong,"Spacing can delay breakup in one arrangement and intensify it in another.",high,"CON-006 resolved as arrangement-dependent mechanism."
BC-012,GC-0028,MP-019,spray_density_loading,"Shock attenuation depends on volume fraction, exchange area, d0, shock strength, and inclusion of fragmentation.",observed_condition_range,reported,C033;C034,strong,"Neglecting fragmentation can overpredict transmitted pressure.",high,"Dilute-cloud results are not dense-spray boundaries."
BC-013,GC-0019,MP-017,breakup_stage,"First and later ligament-shedding events can have different sensitivity to We and time.",stage_boundary,reported,C007;C012;C013,strong,"A single breakup time or morphology label can hide the multistage cascade.",medium,"C004 missing limits broad taxonomy only."
BC-014,GC-0030,MP-016,regime_definition,"Critical Weber values are meaningful only within an explicit taxonomy and definition-complete forcing state.",definition_boundary,synthesized,C002;C003;C023,limited,"Thresholds shift when velocity, density, length, Mach, or loading definitions change.",high,"Tested range is not automatically a universal regime boundary."
BC-015,GC-0024,MP-020,droplet_size_phase_change,"Breakup and evaporation overlap for sufficiently small droplets or strong-wave conditions within the tested liquids and gas histories.",observed_condition_range,reported,C024;D017,strong,"Larger droplets or different thermal histories may deform/break before evaporation matters.",high,"No universal size threshold is asserted."
BC-016,GC-0025,MP-021,Stefan_volatility_density,"Vapor-layer/Stefan-flow suppression depends on Stefan number, volatility, density ratio, and model coefficients.",observed_condition_range,reported,C030;C031,limited,"Heating-induced property changes may instead promote breakup.",high,"CON-003 shows different mechanisms rather than contradiction."
BC-017,GC-0026,MP-021,thermal_state,"Heating promoted breakup in the modeled n-decane/n-heptane cases at We 15-90 and 600-1000 K.",observed_condition_range,reported,C032,limited,"Direction cannot be extended to other liquids, We, or Stefan-flow regimes.",high,"Reported study range, not universal boundary."
BC-018,GC-0027,MP-021,droplet_size_observation,"For tested droplets above 100 micrometres, evaporation negligibly affected deformation over the observation interval.",observed_condition_range,reported,C026,strong,"Smaller droplets, later breakup, or higher-Stefan conditions may show phase-change influence.",high,"CON-004 resolved by size/time/thermal differences."
BC-019,GC-0034,MP-031,reacting_wave_loading,"Detonation droplet trends depend on droplet size, wave strength, liquid, and transition from stripping to coupled KHI-RTI piercing.",observed_condition_range,reported,D016;D017;D018,strong,"Shock-derived coefficients may fail even when directional trends remain.",high,"Strong-wave domain only."
BC-020,GC-0035,MP-031,detonation_vs_inert,"Equal leading-shock Mach does not match post-wave velocity, sound speed, pressure gradient, chemistry, or duration.",compatibility_boundary,reported,D018;D019,moderate,"Later cavitation, drag, deformation, and breakup diverge.",high,"CON-005 resolved as scale/history difference."
BC-021,GC-0036,MP-007,engine_ambient,"Injector-generated spray shocks depend on exit velocity, rate ramp, ambient sound speed/density, and timing; hot dense engine conditions may suppress formation.",observed_condition_range,reported,D001;D002;D005,strong,"A visible spray shock in one vessel does not imply formation in every engine condition.",high,"Nozzle-exit velocity is not spray-tip velocity."
BC-022,GC-0037,MP-007,wave_origin,"Reflected-shock interaction and injector-generated near-nozzle shock impose different loading histories.",mechanistic_boundary,synthesized,D004;D005,strong,"Penetration and angle responses need not have the same direction.",high,"CON-007 resolved as different physical stage and wave origin."
BC-023,GC-0001,MP-025,injection_timing,"Premixing and combustion-mode shifts depend on sequence, dwell definition, fuel pair, ambient state, geometry, and operating point.",observed_condition_range,reported,A006;A007;A009;A010;A011;A018;A019;A023;A025;A030,strong,"An optimum timing or emissions response need not transfer across operating points.",high,"Direct A-library condition boundary."
BC-024,GC-0002,MP-026,overlap_geometry,"Pilot/main overlap can accelerate main-fuel ignition or disrupt/delay pilot ignition depending on chronology and geometry.",mechanistic_boundary,synthesized,A007;A008;A009;A012;A014;A020;A022,strong,"Direction reverses when interaction changes from product-assisted ignition to pilot disruption.",high,"Do not convert correlation into a universal causal direction."
BC-025,GC-0032,MP-030,RDE_scale,"Droplet/evaporation scale must be defined relative to refill, reaction, or wave scale for a specific fuel, chemistry, geometry, and wave number.",compatibility_boundary,synthesized,D006;D007;D008;D009;D010;D011;D012;D013;D015,limited,"Wave multiplicity, speed deficit, unburned pockets, or extinction vary with the chosen scale system.",high,"L_E/L_D is not a validated HPDI scale."
BC-026,GC-0052,MP-033,application_transfer,"Direct HPDI transfer requires co-located time-resolved gas shock and pilot-droplet response under matched geometry and chronology.",validation_boundary,synthesized,B009;B021;C007;C016,limited,"Without those measurements the arrow remains project-level cross-scale inference.",high,"Central M03/M11 boundary."
BC-027,GC-0053,MP-028,continuous_chain,"A closed shock-breakup-evaporation-mixture-ignition claim requires a single condition-matched chain of measurements or validated simulation.",validation_boundary,synthesized,A007;A011;C024;C031,limited,"Separate supported component relations do not establish the continuous causal chain.",high,"Central M07-M09/M11 boundary."
