paper_id,source_record_id,library,reading_tier,pdf_status,reading_status,notes
A001,A-NG-01,A,tier3,downloaded,complete,Phase 9.1 late-PDF tier3 processing complete; candidate evidence awaits global consolidation.
A002,A-NG-02,A,tier2,downloaded,complete,Phase 9.1 late-PDF tier2 processing complete; candidate evidence awaits global consolidation.
A003,A-NG-03,A,tier3,downloaded,complete,
A004,A-NG-04,A,tier3,downloaded,complete,
A005,A-NG-05,A,tier2,downloaded,complete,Phase 9.1 late-PDF tier2 processing complete; candidate evidence awaits global consolidation.
A006,A-NG-06,A,tier3,downloaded,complete,Phase 9.1 late-PDF tier3 processing complete; candidate evidence awaits global consolidation.
A007,A-NG-07,A,tier1,downloaded,complete,Phase 9.1 late-PDF tier1 processing complete; candidate evidence awaits global consolidation.
A008,A-NG-08,A,tier3,downloaded,complete,Phase 9.1 late-PDF tier3 processing complete; candidate evidence awaits global consolidation.
A009,A-NG-09,A,tier2,downloaded,complete,Phase 9.1 late-PDF tier2 processing complete; candidate evidence awaits global consolidation.
A010,A-NG-10,A,tier3,downloaded,complete,
A011,A-NG-11,A,tier2,downloaded,complete,Phase 9.1 late-PDF tier2 processing complete; candidate evidence awaits global consolidation.
A012,A-NG-12,A,tier2,downloaded,complete,Phase 9.1 late-PDF tier2 processing complete; candidate evidence awaits global consolidation.
A013,A-NG-13,A,tier2,downloaded,complete,Phase 8 Tier 2 chapter-core processing complete; candidate evidence pending consolidation.
A014,A-NG-14,A,tier2,downloaded,complete,Phase 8 Tier 2 chapter-core processing complete; candidate evidence pending consolidation.
A015,A-NG-15,A,tier3,downloaded,complete,
A016,A-NG-16,A,tier1,downloaded,complete,
A017,A-NG-17,A,tier3,downloaded,complete,
A018,A-H2-01,A,tier2,downloaded,complete,Phase 8 Tier 2 chapter-core processing complete; candidate evidence pending consolidation.
A019,A-H2-02,A,tier3,downloaded,complete,
A020,A-H2-03,A,tier1,downloaded,complete,
A021,A-H2-04,A,tier2,downloaded,complete,Phase 8 Tier 2 chapter-core processing complete; candidate evidence pending consolidation.
A022,A-H2-05,A,tier1,downloaded,complete,
A023,A-H2-06,A,tier3,downloaded,complete,
A024,A-H2-07,A,tier2,downloaded,complete,Phase 8 Tier 2 chapter-core processing complete; candidate evidence pending consolidation.
A025,A-H2-08,A,tier2,downloaded,complete,Phase 8 Tier 2 chapter-core processing complete; candidate evidence pending consolidation.
A026,A-H2-09,A,tier1,downloaded,complete,Phase 7 Tier 1 bulk full-text processing complete.
A027,A-R-01,A,tier3,downloaded,complete,
