global_claim_id,normalized_claim,claim_scope,review_mainline_role,physical_subject,relation_or_direction,response,condition_domain,boundary_conditions,claim_status,normalization_confidence,normalization_status,evidence_strength,primary_evidence_count,secondary_evidence_count,supporting_paper_count,contradiction_status,coverage_limitation,notes
GC-0001,"Within the tested pilot-ignited direct-injection configurations, relative pilot/main timing and main-fuel injection timing set the achieved premixing and shift combustion between mixing-controlled and premixed regimes, with operating-point-dependent stability and emissions tradeoffs.",cross-paper mechanism claim,M08;M09,pilot/main injection chronology and premixing,timing and dwell modify,mixture preparation and combustion mode,"HPDI/H2DDI engine, vessel, and validated-model conditions","Direction and optimum depend on injection sequence, dwell definition, ambient state, fuel pair, and engine geometry.",active,high,normalized,strong,10,1,10,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0002,Pilot/main jet overlap and dwell can accelerate main-fuel ignition through interaction with reacting pilot products while delaying or suppressing pilot ignition when the interaction disrupts the pilot; the direction therefore depends on chronology and geometry.,cross-paper qualified mechanism claim,M08;M09,pilot/main jet interaction,overlap and dwell have stage-dependent effects on,pilot and main-fuel ignition,pilot-ignited gaseous direct injection,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",active,high,normalized,strong,9,0,7,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0003,"Higher gaseous-fuel injection pressure generally intensifies post-ignition mixing and can shorten mixing-controlled combustion at higher load, while ignition sensitivity and emissions or pressure-rise penalties remain operating-point dependent.",cross-paper directional claim,M01;M08;M09,gaseous-fuel injection pressure,generally increases mixing rate and modifies,"combustion duration, emissions, and pressure rise",pilot-ignited natural-gas engine conditions,"Load, engine speed, nozzle flow area, injection timing, and pressure definition limit direct comparison.",active,high,normalized,strong,5,0,4,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0004,"Injector-hole arrangement and relative jet geometry reorganize entrainment, overlap, wall interaction, and mixture stratification, so stronger local mixing does not necessarily reduce soot or unburned-fuel emissions.",cross-paper qualified mechanism claim,M08;M09,injector and jet interaction geometry,reorganizes,"entrainment, mixture stratification, and combustion response",pilot-ignited gaseous direct injection,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,active,high,normalized,moderate,5,1,4,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0005,"Dual-fuel direct injection provides independent timing, quantity, and interval control that shapes reactivity and mixture stratification, but the resulting ignition behavior remains conditional on fuel sequence, oxygen level, and injector arrangement.",secondary synthesis claim,M08;M09,dual-fuel injection controls,shape,reactivity stratification and ignition behavior,cross-fuel dual-fuel direct injection literature,This claim is review-secondary and does not substitute for primary confirmation under a single standardized condition set.,secondary_only,high,normalized,limited,0,3,2,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0006,"For a fixed nozzle and compatible pressure-ratio definition, increasing NPR moves the Mach disk downstream and generally increases its size, while transient dimensions can overshoot quasi-steady values.",cross-paper directional claim,M02,contextual nozzle pressure ratio,increases,Mach-disk distance and dimensions,nonreacting underexpanded gas jets,"Pressure roles, absolute/gauge basis, nozzle geometry, gas species, and state qualifier must be compatible.",active,high,normalized,moderate,6,0,5,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0007,"Injector pressure build-up and valve-opening history drive a developing underexpanded-jet stage before a stable or quasi-steady stage; formation, instantaneous, overshoot, and stabilized shock positions are distinct observables.",cross-paper mechanism claim,M01;M02,injector pressure and opening history,controls the evolution of,"jet topology, penetration, and Mach-disk state",transient high-pressure gas injection,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",active,high,normalized,strong,8,0,6,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0008,"At matched NPR, gas species can leave the gross near-field barrel/Mach-disk scale similar in some configurations while materially changing downstream shock cells, instability, potential-core length, and mixing development.",cross-paper qualified claim,M02;M08,gas species at matched NPR,modifies,shock-cell development and mixing,"underexpanded hydrogen, methane, and nitrogen jets","Species effects remain coupled to nozzle-exit turbulence, density, thermodynamics, and numerical treatment.",active,high,normalized,moderate,3,0,3,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0009,"Pressure ratio strongly influences underexpanded-jet momentum, penetration, volume, and entrainment, but penetration and entrainment need not vary monotonically across nozzle geometries or transient states.",cross-paper qualified directional claim,M01;M06;M08,pressure ratio and jet momentum,strongly influences but does not universally increase,"penetration, volume, and entrainment",transient and quasi-steady underexpanded gas jets,"Nozzle geometry, ambient density, transient stage, and penetration definition prevent a universal monotonic scaling.",active,high,normalized,strong,7,0,6,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0010,"At fixed or contextualized NPR, ambient pressure, density, and temperature modify jet transient timing, diffusion, penetration, and lateral growth more consistently than they modify the settled Mach-disk position.",cross-paper qualified claim,M01;M02;M08,ambient thermodynamic state,modifies,jet transient development and mixing,underexpanded hydrogen and methane jets,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,active,medium,normalized,moderate,3,0,3,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0011,"Nozzle size, spacing, and exit shape reorganize shear-layer growth, expansion waves, coherent structures, and mixing, with nonlinear or geometry-specific effects on dispersion and jet interaction.",cross-paper mechanism claim,M01;M02;M08,nozzle geometry,reorganizes,"shock structure, shear-layer growth, and mixing",single- and multi-jet underexpanded gas injection,"Diameter, shape, spacing, and pressure ratio were not varied in a common factorial design.",active,high,normalized,moderate,2,0,2,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0012,Underexpanded jets exhibit a shock-dominated near field followed by a weaker-shock far-mixing region; equivalent-jet or notional-nozzle initialization is useful only after its location and decay assumptions are conditionally validated.,cross-paper zone-framework claim,M02;M03;M08,underexpanded-jet spatial zones,transition from,shock-dominated near field to far-field mixing,free and high-pressure underexpanded jets,"Universal decay constants and notional-nozzle choices remain unresolved, especially for supersonic exits.",active,high,normalized,strong,3,1,4,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0013,"Underexpanded-jet predictions are sensitive to pressure-ratio definition, real-gas thermodynamics, nozzle representation, and turbulence/numerical fidelity; qualitative shock topology can persist while quantitative exit and centerline states change materially.",cross-paper method and definition claim,M01;M02;M03,underexpanded-jet modelling choices,modify,quantitative shock and thermodynamic predictions,high-pressure gas-jet simulation,"Model sensitivity is not a universal ranking of RANS, LES, DNS, or equations of state.",active,high,normalized,moderate,2,2,2,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0014,"Near-field shock and vortex organization can alter cone angle and downstream mixing, but the relative contributions of pressure ratio, baroclinicity, species, and nozzle geometry remain coupled.",cross-paper mechanism claim,M02;M03;M08,shock-vortex organization,modifies,jet expansion and mixing,underexpanded high-pressure gas jets,Evidence is numerical or correlation-based and does not directly measure pilot-spray loading.,active,medium,normalized,moderate,2,0,2,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0015,"Across the reviewed underexpanded-jet literature, Mach-disk position is better constrained than Mach-disk diameter, curvature, appearance threshold, cell wavelength, or potential-core length.",secondary evidence-coverage claim,M02,underexpanded-jet correlations,show unequal constraint for,shock-structure observables,reviewed underexpanded-jet literature,Secondary synthesis across heterogeneous definitions; C004 is unrelated and does not affect this jet-specific limitation.,secondary_only,high,normalized,limited,0,1,1,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0016,Nonuniform or finite-duration shock/aerodynamic forcing changes droplet response according to the compatibility between loading duration or length scale and droplet deformation or instability time scales.,cross-paper mechanism claim,M03;M04;M05,finite and nonuniform aerodynamic loading,modifies response when compatible with,droplet deformation and instability time scales,canonical shock-droplet and short-pulse loading,"Shock-front passage, shocked-state exposure, expansion-wave-limited loading, and total forcing are not equivalent intervals.",active,high,normalized,limited,3,1,3,none_identified,,High-confidence conservative merge of compatible candidate claims.
GC-0017,"Droplet deformation and breakup timing or morphology depend jointly on aerodynamic loading, droplet size, and Mach context; comparable Weber number alone does not ensure comparable response.",cross-paper qualified mechanism claim,M04;M05,"Mach, Weber number, and droplet size",jointly control,"deformation, breakup onset, and morphology",post-shock and supersonic-flow droplet loading,"Incident-shock Mach, post-shock freestream Mach, velocity and density references, and loading histories must remain distinct.",active,high,normalized,strong,4,0,3,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0018,"Compressibility can change breakup morphology and transverse spreading at supersonic conditions, although early scaled drift, acceleration, or drag may remain similar across the sonic transition in narrower numerical conditions.",cross-paper qualified claim,M04;M05,gas-flow compressibility,can modify,"droplet deformation, breakup intensity, and spreading",supersonic/post-shock droplet loading,"The sources address different physical stages, geometries, Weber ranges, and response metrics.",active,high,normalized,moderate,1,1,2,apparent_differences_adjudicated,,High-confidence conservative merge of compatible candidate claims.
GC-0019,"Extreme aerobreakup proceeds through multiscale sheet, wave, and ligament formation, with recurrent ligament shedding and fragmentation that require high-resolution diagnostics or interface-resolved modelling to resolve.",cross-paper mechanism claim,M05;M06,multiscale breakup cascade,progresses through,"sheet rupture, ligament shedding, and fragments",high-Weber-number aerobreakup,First and later shedding events can have different Weber sensitivity; broad taxonomy is limited by missing Tier 1 source C004.,active,high,normalized,strong,2,1,3,none_identified,missing Tier 1 source C004,High-confidence conservative merge of compatible candidate claims.
GC-0020,"Early shock transmission, refraction, Mach-stem motion, expansion, and internal-flow topology can create localized pressure extrema and circulation that imprint later droplet deformation; the mechanism changes with wave-speed ratio, phase state, and shock strength.",cross-paper mechanism claim,M03;M04,internal and external wave interaction in droplets,creates and relocates,"pressure extrema, circulation, and deformation topology",shock-droplet interaction including supercritical states,"Two-dimensional models, omitted cavitation or phase transition, and different wave-speed ratios limit direct transfer.",active,high,normalized,moderate,8,0,4,none_identified,,High-confidence conservative merge of compatible candidate claims.
