"section_id","paragraph_id","argument_summary","claim_mode","SP_ids","GC_ids","MP_ids","KG_ids","paper_ids","source_locator_ids","citation_keys","boundary_ids","writing_caution_ids","evidence_status","application_directness","verification_status","notes"
"S01","S01-P01","State the internal thesis and motivate the wave–spray–mixture–ignition chain.","multi_source_synthesis","SP-002;SP-006","","MP-033;MP-032;MP-028;MP-029","KG-001;KG-002;KG-003","B009;B021;C007;A007;A011;C024","","[[CITE:B009]];[[CITE:B021]];[[CITE:C007]];[[CITE:A007]];[[CITE:A011]];[[CITE:C024]]","BC-026;BC-027","","frozen_synthesis","cross_domain_only;direct_HPDI","frozen_synthesis","Phase 12 trace TRC-001"
"S02","S02-P01","Define evidence classes, application directness, and comparison rules.","multi_source_synthesis","SP-003","","","KG-004;KG-005","B004;C002","","[[CITE:B004]];[[CITE:C002]]","","","frozen_synthesis","canonical_fundamental","frozen_synthesis","Phase 12 trace TRC-002"
"S03","S03-P01","Preview the chapter sequence and evidence-status encoding.","multi_source_synthesis","SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008","","","KG-001;KG-002;KG-003","B009;B021;C007;A007;A011;C024","","[[CITE:B009]];[[CITE:B021]];[[CITE:C007]];[[CITE:A007]];[[CITE:A011]];[[CITE:C024]]","","","frozen_synthesis","engine_relevant;cross_domain_only;canonical_fundamental;direct_HPDI;strong_wave_application_analogue","frozen_synthesis","Phase 12 trace TRC-003"
"S04","S04-P01","Pressure ratio strongly influences underexpanded-jet momentum, penetration, volume, and entrainment, but penetration and entrainment need not vary monotonically across nozzle geometries or transient states.","conditioned_generalization","SP-001","GC-0009","MP-002","KG-004","B006;B009;B015","LOC-B009-0007;LOC-B006-0002;LOC-B015-0001","[[CITE:B006]];[[CITE:B009]];[[CITE:B015]]","BC-004;BC-005","WC-002","strong","engine_relevant;vessel_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-004"
"S04","S04-P02","At fixed or contextualized NPR, ambient pressure, density, and temperature modify jet transient timing, diffusion, penetration, and lateral growth more consistently than they modify the settled Mach-disk position.","conditioned_generalization","SP-001","GC-0010","MP-002","KG-004","B021;B028;B011","LOC-B011-0007;LOC-B021-0008;LOC-B028-0009","[[CITE:B021]];[[CITE:B028]];[[CITE:B011]]","BC-004;BC-005","WC-002","moderate","engine_relevant;vessel_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-005"
"S04","S04-P03","Nozzle size, spacing, and exit shape reorganize shear-layer growth, expansion waves, coherent structures, and mixing, with nonlinear or geometry-specific effects on dispersion and jet interaction.","conditioned_generalization","","GC-0011","MP-002","KG-004","B022;B028","LOC-B028-0009;LOC-B022-0001","[[CITE:B022]];[[CITE:B028]]","BC-004;BC-005","","moderate","vessel_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-006"
"S04","S04-P04","Underexpanded-jet predictions are sensitive to pressure-ratio definition, real-gas thermodynamics, nozzle representation, and turbulence/numerical fidelity; qualitative shock topology can persist while quantitative exit and centerline states change materially.","conditioned_generalization","","GC-0013","MP-002","KG-004","B008","LOC-B008-0002;LOC-B008-0003","[[CITE:B008]]","BC-004;BC-005","","moderate","vessel_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-007"
"S05","S05-P01","Injector pressure build-up and valve-opening history drive a developing underexpanded-jet stage before a stable or quasi-steady stage; formation, instantaneous, overshoot, and stabilized shock positions are distinct observables.","conditioned_generalization","SP-001","GC-0007","MP-001;MP-005","KG-004","B014;B018;B021","LOC-B021-0006;LOC-B014-0001;LOC-B018-0002","[[CITE:B014]];[[CITE:B018]];[[CITE:B021]]","BC-002","","strong","engine_relevant;vessel_analogue","source_linked_frozen_evidence","Phase 12 trace TRC-008"
"S05","S05-P02","For releases where the storage pressure is above the critical ratio (w1.9 for hydrogen), however, the exit flow chokes and an underexpanded jet forms that is characterized by a complex shock structure and a non-uniform velocity distribution.","conditioned_generalization","","GC-0050","MP-001","KG-004","B007","LOC-B007-0002","[[CITE:B007]]","","","limited","engine_relevant","source_linked_frozen_evidence","Phase 12 trace TRC-009"
"S06","S06-P01","For a fixed nozzle and compatible pressure-ratio definition, increasing NPR moves the Mach disk downstream and generally increases its size, while transient dimensions can overshoot quasi-steady values.","conditioned_generalization","SP-001","GC-0006","MP-003","KG-004","B003;B009;B021","LOC-B009-0007;LOC-B021-0004;LOC-B003-0002","[[CITE:B003]];[[CITE:B009]];[[CITE:B021]]","BC-001","WC-002","moderate","engine_relevant;canonical_fundamental","source_linked_frozen_evidence","Phase 12 trace TRC-010"
