gap_id,priority,paper_id,original_observation,why_it_matters,original_source_linkage,resolution_status,schema_1_1_change,migration_validation,resolved_date,notes
G001,critical,B011;B013;B029,"A scalar NPR does not encode numerator/denominator pressure roles, pressure type, spatial state, and transient history.","Unsafe comparison of storage, injector-internal, sonic-inlet and stagnation pressures.",B011 pp.2–3; B013 Table 1 p.5; B029 pp.3–7,resolved,ratio_definitions.csv + pressure-role/type/location/time-basis fields,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G002,critical,B013,"Distance and time fields do not formally distinguish formation, growth, maximum excursion, instantaneous and stabilized states.",One value can silently mix different physical stages.,B013 pp.11–12,resolved,state_qualifier + events.csv + Mach-disk history registry,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G003,critical,B029,Current scalar fields cannot store p_inj(t) or a pressure-history identifier.,Starting-jet dynamics depend on the build history even at the same final pressure.,B029 Table 3 p.7,resolved,"time_history_registry.csv for p_in(t), NPR(t), and Mach-disk trajectories",pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G004,high,C014;C016,"Generic Mach lacks explicit incident-shock, post-shock freestream, local gas and droplet-relative contexts.",C014 M∞ and C016 M_s are not comparable scalars.,C014 p.5; C016 p.8,resolved,parameter_context + reference_frame + dimensionless definitions,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G005,critical,C014;C016;C031;D017,Reference velocity/density/length are optional and weakly linked to We.,Equal numeric We can represent different loading definitions.,C014 Eq.1 p.3; C016 p.8; C031 Eq.22 p.7; D017 p.1,resolved_by_convention,dimensionless_definitions.csv + linked reference components; absent values encoded as NV,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G006,high,C016,No structured way to store Stage I/II with support type and uncertainty.,Direct wave imaging and author instability interpretation must remain separated.,C016 p.29,resolved,process_relations.csv and pilot_mechanism_relations.csv with support_type,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G007,critical,D003,"Single loading_duration conflates front passage, pressure pulse, shocked-state exposure, expansion-wave termination and total forcing.",Droplet response depends on which interval is meant.,D003 pp.5–9,resolved,events.csv + typed intervals.csv with explicit endpoints,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G008,high,C031,Model coefficients and physical/material properties share the same broad phase-change group.,Calibrated inputs must not be mistaken for measured fluid properties.,C031 pp.5–8,resolved,controlled parameter_role vocabulary and migrated role assignments,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G009,medium,C031,No dedicated sign-convention field for evaporation/condensation mass flux.,Positive/negative interpretation can reverse between papers.,C031 Fig.16 p.19,resolved_by_convention,sign_convention field + explicit C031 NV sign-convention record,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G010,high,C031;D017,Breakup and phase-change records lack a coupling/sequence relation.,Concurrent feedback cannot be reconstructed from independent scalar rows.,D017 pp.8–10; C031 pp.9–20,resolved,process_relations.csv breakup–phase-change links,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G011,high,D017,Model validity context does not encode steady versus variable post-front acceleration.,Canonical shock models overpredict extinction rate in the detonation comparison.,D017 pp.9–10,resolved,forcing-history registry + model applicability relation,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G012,high,A020;A022;A016,Injection/ignition events are stored as isolated values without event relationships.,"ΔSOI, SOI-to-overlap, pilot ignition, main ignition and EOI need explicit direction and reference event.",A020 pp.4–7; A022 pp.4–5,resolved,events.csv + reference_event_id + signed offsets + SOI intervals,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G013,medium,A022,No dedicated interaction-angle/overlap field; relative momentum has no safe NR rationale field.,Geometry is causal context and should not be hidden in notes.,"A022 pp.3–4,12",resolved,dedicated interaction-angle/overlap records + NR relative-momentum ratio,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G014,high,A016,Scalar parameters cannot directly express vortex → heat/radical transport → ignition consequence with evidence type.,Simulation-resolved and interpreted links must be auditable.,A016 pp.9–13,resolved,claim-linked Pilot mechanism-relation edges,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G015,high,D009,"No native fields for evaporation distance L_E, detonation height L_D and their defined ratio.",RDE stability criterion cannot be reconstructed safely.,D009 Eq.6–10 p.3,resolved,named characteristic-scale records + explicit Δ ratio operands,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G016,high,ALL,"Free-text source_location does not separately encode PDF page, printed page, section, figure, table and equation.",Citation audits and automated validation remain fragile.,All 12 Pilot papers,resolved,source_locators.csv; legacy source_location preserved as raw_locator,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
G017,low,ALL,NR/NA/NV codes lack a required rationale/source-check field.,"Future users may not know whether a value was absent, inapplicable or unverified.",Pilot parameter records,resolved,required missing_reason for every NR/NA/NV parameter row,pass,2026-08-30,Original gap log remains unchanged. Resolution distinguishes schema capability from source-paper incompleteness.
