mechanism_node_id,node_name,node_category,physical_scale,review_mainline_role,definition,associated_global_claim_ids,associated_parameter_groups,evidence_coverage_status,notes
MN-001,Injection chronology,boundary_condition,injector_to_engine,M01;M08;M09,"Timing and sequence of pilot and main-fuel start/end events and their overlap or dwell.",GC-0001;GC-0002;GC-0004;GC-0005;GC-0038;GC-0040;GC-0041,injection_conditions;ignition_combustion,strong,"Chronology is directly supported for mixture and combustion response; it is not a shock-loading measurement."
MN-002,Injector pressure build-up and valve-opening state,injector_state,injector,M01;M02,"Time-resolved injector pressure and opening history that precede a quasi-steady discharge state.",GC-0007;GC-0036,p_inj(t);NPR(t);injection_rate;events;time_histories,strong,"Formation, instantaneous, overshoot, and stabilized states remain distinct."
MN-003,Nozzle ambient and gas boundary state,boundary_condition,nozzle_to_vessel,M01;M02;M03,"Nozzle geometry, supply and ambient thermodynamic state, gas properties, and pressure-definition basis.",GC-0006;GC-0008;GC-0009;GC-0010;GC-0011;GC-0013;GC-0050,injector_nozzle;ambient_conditions;injection_conditions;ratio_definitions,strong,"NPR is contextual and cannot replace the complete boundary state."
MN-004,Transient underexpanded-jet state,jet_state,near_nozzle_jet,M01;M02,"Developing choked or underexpanded gas-jet state before and during approach to quasi-steady behavior.",GC-0007;GC-0009;GC-0010;GC-0012;GC-0036;GC-0050,jet_global;injection_conditions;time_histories,strong,"Direct in gas-jet studies; HPDI-local resolution is less complete."
MN-005,Mach-disk state,shock_structure,near_field_jet,M02;M03,"Mach-disk formation, axial location, size, motion, overshoot, and stabilized state.",GC-0006;GC-0007;GC-0015,shock_structure;ratio_definitions;events;time_histories,strong,"Position is better constrained than diameter, curvature, or appearance threshold."
MN-006,Shock-cell and transient-wave topology,shock_structure,near_to_intermediate_jet,M02;M03,"Barrel shocks, shock cells, expansion waves, and shock-vortex organization downstream of the nozzle.",GC-0008;GC-0011;GC-0012;GC-0013;GC-0014;GC-0036,shock_structure;jet_global;dimensionless_numbers,strong,"Mach disk, shock cells, and pressure waves are retained as distinct observables."
MN-007,Local gas pressure density and velocity state,loading,local_gas_field,M03,"Spatially and temporally resolved gas state produced by shocks, expansions, vortices, or reflected waves.",GC-0012;GC-0013;GC-0014;GC-0020;GC-0035;GC-0036;GC-0037,shock_loading;shock_structure;ambient_conditions,limited,"Directly resolved in analogues; not co-located with HPDI pilot droplets in the corpus."
MN-008,Effective loading magnitude,loading,droplet_local,M03;M04,"Pressure jump, density jump, relative velocity, aerodynamic stress, and their spatial nonuniformity experienced by a droplet or spray element.",GC-0016;GC-0017;GC-0020;GC-0022;GC-0028;GC-0031;GC-0035,shock_loading;dimensionless_numbers,limited,"The B-to-C mapping is qualitative unless local state and reference frame are measured."
MN-009,Effective loading duration and history,loading,droplet_local,M03;M04;M05,"Typed exposure interval such as shock-front passage, shocked-state duration, expansion-limited loading, or total forcing.",GC-0016;GC-0017;GC-0024;GC-0035,intervals;events;time_histories;shock_loading,moderate,"Different interval types are not interchangeable."
MN-010,Droplet nondimensional response state,dimensionless_state,droplet,M04;M05,"Definition-complete Mach context, Weber, Reynolds, Ohnesorge, density ratio, size, and loading-scale descriptors.",GC-0016;GC-0017;GC-0018;GC-0021;GC-0030;GC-0034;GC-0039,dimensionless_numbers;droplet_initial;characteristic_scales,strong,"No universal single-parameter collapse is supported."
MN-011,Internal wave and circulation response,droplet_response,intra_droplet,M03;M04,"Shock transmission, refraction, focusing, pressure extrema, and circulation preceding bulk deformation.",GC-0020;GC-0035,shock_structure;droplet_response,moderate,"Phase state and wave-speed ratio limit transfer."
