source_locator_id,paper_id,source_file,pdf_page,printed_page,section,subsection,figure,figure_panel,table,equation,appendix,raw_locator,locator_status,verification_status,notes
LOC-B011-0001,B011,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,1,6544,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B011-0002,B011,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,6,6549,,,,,,,,"PDF p.6, numerical setup",partial,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B011-0003,B011,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,3,6546,definition,,,,,,,"PDF p.3, NPR definition",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B011-0004,B011,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,6,6549,case conditions,,,,,,,"PDF p.6, case conditions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B011-0005,B011,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,7,6550,validation,,,,,,,"PDF p.7, validation",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-B011-0006,B011,02_PDF_Raw/B/B-H2-06_2016_Hamzehloo_GasDynamics_Hydrogen_MethaneJets_NPR.pdf,16,6559,results,,,,,,,"PDF p.16, results",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C014-0001,C014,02_PDF_Raw/C/C-SD-07_2020_Wang_MachNumber_DropletAerobreakup_ShearStripping.pdf,1,1,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C014-0002,C014,02_PDF_Raw/C/C-SD-07_2020_Wang_MachNumber_DropletAerobreakup_ShearStripping.pdf,5,5,,,,,1,,,"PDF p.5, Table 1",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C016-0001,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,1,A27-1,Abstract,,,,,,,"PDF p.1, Abstract",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C016-0002,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,8,A27-8,definitions,,,,,,,"PDF p.8, definitions",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C016-0003,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,13,A27-13,,,6 labels,,,,,"PDF p.13, Fig. 6 labels",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
LOC-C016-0004,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,13,A27-13,,,6,,,,,"PDF p.13, Fig. 6",complete,verified,Safely parsed from the preserved Phase 6 human-readable locator; unparsed components remain blank.
