process_relation_id,paper_id,case_id,condition_id,source_process,relation_type,target_process,support_type,source_locator_id,verification_status,notes
PROC-C016-001,C016,ALL,ALL,incident_shock_wave_interaction,precedes,aerodynamic_flow_driven_breakup,author_interpretation,LOC-C016-0005,verified,Two-stage source interpretation.
PROC-C016-002,C016,ALL,ALL,KH_instability,author_attributes_to,SIE_breakup,author_interpretation,LOC-C016-0005,verified,Author mechanism attribution.
PROC-C016-003,C016,ALL,ALL,RT_instability,author_attributes_to,RTP_breakup,author_interpretation,LOC-C016-0005,verified,Author mechanism attribution.
PROC-C031-001,C031,ALL,ALL,phase_change,modifies,interfacial_thermodynamic_layer,simulation_resolved,LOC-C031-0008,verified,Resolved field relation.
PROC-C031-002,C031,ALL,ALL,interfacial_thermodynamic_layer,suppresses,KH_wave_growth,author_interpretation,LOC-C031-0008,verified,Source-supported interpretation.
PROC-C031-003,C031,ALL,ALL,phase_change,couples_with,droplet_deformation,simulation_resolved,LOC-C031-0010,verified,Coupled simulation output.
PROC-D017-001,D017,ALL,ALL,breakup,couples_with,evaporation,model_based,LOC-D017-0007,verified,Concurrent breakup–evaporation model interpretation.
PROC-D017-002,D017,ALL,ALL,variable_post_front_acceleration,modifies,shock_breakup_model_applicability,author_interpretation,LOC-D017-0009,verified,Transfer limitation retained.
PROC-A016-001,A016,ALL,ALL,vortex_entrainment,promotes,heat_and_OH_transport,simulation_resolved,LOC-A016-0009,verified,LES-resolved transport chain.
PROC-A016-002,A016,ALL,ALL,heat_and_OH_transport,promotes,methane_ignition,author_interpretation,LOC-A016-0009,verified,Author interpretation of resolved fields.
PROC-A016-003,A016,ALL,ALL,methane_ignition,precedes,combustion_response,simulation_resolved,LOC-A016-0010,verified,Application consequence.
PROC-A020-001,A020,ALL,ALL,pilot_product_interaction,author_attributes_to,hydrogen_ignition,author_interpretation,LOC-A020-0008,verified,Event-relative mechanism.
PROC-A022-001,A022,ALL,ALL,jet_overlap,correlates_with,shorter_ignition_transition,experimental_correlation,LOC-A022-0008,verified,Correlation only; no unreported causality.
PROC-D003-001,D003,D003-M01,D003-M01,expansion_wave_arrival,suppresses,shocked_state_loading_duration,model_based,LOC-D003-0006,verified,Expansion-limited loading.
PROC-D009-001,D009,ALL,ALL,increasing_L_E_over_L_D,correlates_with,larger_unburned_pockets,simulation_resolved,LOC-D009-0009,verified,Scale-ratio trend.
PROC-D009-002,D009,ALL,ALL,unburned_pockets,precedes,shock_flame_decoupling,simulation_resolved,LOC-D009-0009,verified,Reported simulated sequence.
PROC-B004-001,B004,B004-REV,B004-REV,pressure_ratio_increase,correlates_with,Mach_disk_position_increase,author_interpretation,LOC-B004-0004,verified,Review-level evidence synthesis; not a single primary case.
