paper_id,source_record_id,library_primary,library_secondary,record_status,title,authors,first_author,year,journal,volume,issue,pages_or_article_number,doi,doi_status,publication_type,language,bibtex_key,relevance_grade,relevance_score,relevance_reason,must_read,reading_tier,reading_priority,final_decision,exclusion_reason,chapter_primary,chapter_secondary,chapter_role,topic_tags,parameter_groups,pdf_status,pdf_filename,pdf_relpath,pdf_match_status,text_status,note_status,extraction_status,evidence_status,citation_status,source_database,source_url,search_batch_id,verification_flags,date_added,date_updated,notes
A001,A-NG-01,A,,retained,"The Effects of High-Pressure Injection on a Compression-Ignition, Direct Injection of Natural Gas Engine",G. P. McTaggart-Cowan; H. L. Jones; S. N. Rogak; W. K. Bushe; P. G. Hill; S. R. Munshi,McTaggart-Cowan,2007,Journal of Engineering for Gas Turbines and Power,,,,10.1115/1.2432894,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-NG-01_2007_McTaggartCowan_HighPressureInjection_NaturalGasEngine.pdf,02_PDF_Raw/A/A-NG-01_2007_McTaggartCowan_HighPressureInjection_NaturalGasEngine.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A002,A-NG-02,A,,retained,Direct Injection of Natural Gas at up to 600 Bar in a Pilot-Ignited Heavy-Duty Engine,Gordon McTaggart-Cowan; Ken Mann; Jian Huang; Ashish Singh; Bronson Patychuk; Zheng Xiong Zheng; Sandeep Munshi,McTaggart-Cowan,2015,SAE International Journal of Engines,,,,10.4271/2015-01-0865,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-NG-02_2015_McTaggartCowan_NaturalGasInjection_600Bar_HPDI.pdf,02_PDF_Raw/A/A-NG-02_2015_McTaggartCowan_NaturalGasInjection_600Bar_HPDI.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A003,A-NG-03,A,,retained,Experimental investigation on performance and heat release analysis of a pilot ignited direct injection natural gas engine,"Menghan Li a, Qiang Zhang a, *, Guoxiang Li a, Sidong Shao b",Li,2015,,,,,10.1016/j.energy.2015.06.089,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-NG-03_2015_Li_Performance_HeatRelease_PilotIgnited_NG.pdf,02_PDF_Raw/A/A-NG-03_2015_Li_Performance_HeatRelease_PilotIgnited_NG.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A004,A-NG-04,A,,retained,Combustion process and emissions of a heavy-duty engine fueled with directly injected natural gas and pilot diesel,"Qiang Zhang a,⇑, Menghan Li a, Sidong Shao b",Zhang,2015,,,,,10.1016/j.apenergy.2015.08.021,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-NG-04_2015_Zhang_Combustion_Emissions_DirectInjected_NG_PilotDiesel.pdf,02_PDF_Raw/A/A-NG-04_2015_Zhang_Combustion_Emissions_DirectInjected_NG_PilotDiesel.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
A005,A-NG-05,A,,retained,Combustion and Emissions of Paired-Nozzle Jets in a Pilot-Ignited Direct-Injection Natural Gas Engine,Christopher W. J. Mabson; Ehsan Faghani; Pooyan Kheirkhah; Patrick Kirchen; Steven N. Rogak; Gordon McTaggart-Cowan,Mabson,2016,SAE Technical Paper,,,,10.4271/2016-01-0807,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-NG-05_2016_Mabson_PairedNozzle_Jets_HPDI_NaturalGas.pdf,02_PDF_Raw/A/A-NG-05_2016_Mabson_PairedNozzle_Jets_HPDI_NaturalGas.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A006,A-NG-06,A,,retained,Effect of Injection Strategies on Emissions from a Pilot-Ignited Direct-Injection Natural-Gas Engine - Part II: Slightly Premixed Combustion,Ehsan Faghani; Pooyan Kheirkhah; Christopher W. J. Mabson; Gordon McTaggart-Cowan; Patrick Kirchen; Steve Rogak,Faghani,2017,SAE Technical Paper,,,,10.4271/2017-01-0763,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-NG-06_2017_Faghani_InjectionStrategies_SlightlyPremixed_Combustion.pdf,02_PDF_Raw/A/A-NG-06_2017_Faghani_InjectionStrategies_SlightlyPremixed_Combustion.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A007,A-NG-07,A,,retained,Influence of the Spatial and Temporal Interaction Between Diesel Pilot and Directly Injected Natural Gas Jet on Ignition and Combustion Characteristics,Georg Fink; Michael Jud; Thomas Sattelmayer,Fink,2018,Journal of Engineering for Gas Turbines and Power,,,,10.1115/1.4039934,verified,,,,,,,,tier1,,keep,,,,,,,downloaded,A-NG-07_2018_Fink_DieselPilot_NGJet_SpatialTemporalInteraction.pdf,02_PDF_Raw/A/A-NG-07_2018_Fink_DieselPilot_NGJet_SpatialTemporalInteraction.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A008,A-NG-08,A,,retained,Numerical Analysis of the Combustion Process in Dual-Fuel Engines With Direct Injection of Natural Gas,Michael Jud; Christoph Wieland; Georg Fink; Thomas Sattelmayer,Jud,2018,,,,,10.1115/ICEF2018-9579,unverified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-NG-08_2018_Jud_NumericalAnalysis_DualFuel_DirectInjection_NG.pdf,02_PDF_Raw/A/A-NG-08_2018_Jud_NumericalAnalysis_DualFuel_DirectInjection_NG.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A009,A-NG-09,A,,retained,Fundamental Study of Diesel-Piloted Natural Gas Direct Injection Under Different Operating Conditions,Georg Fink; Michael Jud; Thomas Sattelmayer,Fink,2019,Journal of Engineering for Gas Turbines and Power,,,,10.1115/1.4043643,verified,,,,,,,,tier2,,keep,,,,,,,downloaded,A-NG-09_2019_Fink_DieselPiloted_NG_DirectInjection_OperatingConditions.pdf,02_PDF_Raw/A/A-NG-09_2019_Fink_DieselPiloted_NG_DirectInjection_OperatingConditions.pdf,matched,processed,complete,complete,partial,unverified,,,,local_pdf_identity_verified,2026-08-30,2026-09-01,User-supplied DOI/title retained as unverified metadata. Phase 9.1 late PDF recovered and identity-verified from the local original PDF.; Phase 9.1 late-PDF tier-conformant processing complete; candidate evidence not globally consolidated.
A010,A-NG-10,A,,retained,The effects of partially premixed combustion mode on the performance and emissions of a direct injection natural gas engine,Menghan Li,Li,2019,,,,,10.1016/j.fuel.2019.04.009,verified,,,,,,,,tier3,,keep,,,,,,,downloaded,A-NG-10_2019_Li_PartiallyPremixed_Combustion_DirectInjection_NG.pdf,02_PDF_Raw/A/A-NG-10_2019_Li_PartiallyPremixed_Combustion_DirectInjection_NG.pdf,matched,processed,complete,complete,partial,unverified,,,,,2026-08-30,2026-08-30,
