paper_id,target_id,target_question,review_mainline_role,target_basis,core_anchor_candidate,priority,target_status,notes
A003,T3TARGET-A003-01,Does the paper independently support injection interval and pressure as controls on pilot-ignited natural-gas heat release and stability?,injection chronology -> mixing/ignition/combustion,Tier 1 A020 and A030 identify dwell and sequence as mechanism anchors; the title and abstract indicate an engine-scale operating-parameter sweep.,tier1:A020:PILOT-A020-C01,medium,complete,One evidence-driven target; full text keyword-scanned.
A004,T3TARGET-A004-01,Does the paper add a distinct mechanism beyond existing timing and pressure evidence for pilot-diesel/direct-injected natural-gas combustion?,injection timing/pressure -> combustion and emissions,Existing Tier 1/2 evidence already covers timing and injection-pressure effects; this paper is checked for independent incremental value.,,low,complete,One evidence-driven target; full text keyword-scanned.
A010,T3TARGET-A010-01,Does natural-gas pre-injection provide model-resolved support for a mixing-mediated soot/CO tradeoff?,injection strategy -> mixture preparation -> emissions,Tier 1 A030 links timing/sequence to premixed versus mixing-controlled behavior; this study tests an additional natural-gas strategy.,tier1:A030:T1-A030-C01,medium,complete,One evidence-driven target; full text keyword-scanned.
A015,T3TARGET-A015-01,Does the numerical study add a transferable mechanism for geometry-pressure control of HPDI mixture formation?,injector/chamber geometry -> mixture stratification -> efficiency/soot,Tier 1 A026/A030 already establish strong timing and interaction anchors; this paper is checked for geometry-specific boundary evidence.,,low,complete,One evidence-driven target; full text keyword-scanned.
A017,T3TARGET-A017-01,Does coordinated injector geometry and pressure provide independent application-scale evidence for mixing-performance tradeoffs?,injector geometry/pressure -> turbulence and wall interaction -> combustion,Tier 1 A030 identifies jet geometry as a preignition-interaction control; this commercial-engine experiment extends the scale and hardware.,tier1:A030:T1-A030-C02,high,complete,One evidence-driven target; full text keyword-scanned.
A019,T3TARGET-A019-01,Does hydrogen injection timing independently delimit premixed and mixing-controlled H2DDI combustion?,hydrogen timing -> mixture state -> combustion mode,Tier 1 A030 and A026 identify timing-driven combustion-mode transitions; this engine study supplies an independent hardware/scale check.,tier1:A030:T1-A030-C01,high,complete,One evidence-driven target; full text keyword-scanned.
A023,T3TARGET-A023-01,Can the two hydrogen injections independently control homogeneity and stratification in H2DDI?,split hydrogen timing/energy -> stratification -> combustion mode,Tier 1 A026 links injection timing to combustion mode; this paper separates first- and second-injection roles.,tier1:A026:T1-A026-C02,high,complete,One evidence-driven target; full text keyword-scanned.
A027,T3TARGET-A027-01,"Does the review supply terminology and secondary context for injection timing, pressure, interval, injector design, and fuel composition?",historical and definition context for HPDI controls,Tier 1 A030 is the hydrogen-diesel review anchor; this natural-gas review supplies parallel HPDI context without primary-data promotion.,tier1:A030:T1-A030-C01,medium,complete,One evidence-driven target; full text keyword-scanned.
B001,T3TARGET-B001-01,Does the simulation provide supporting evidence for near-field shock/core scales used to initialize far-field jet models?,underexpanded near field -> shock cells/potential core -> far-field modelling,Tier 1 B004 separates near-field shock structure from far-field similarity; this paper tests their modelling connection.,tier1:B004:T1-B004-C02,medium,complete,One evidence-driven target; full text keyword-scanned.
B010,T3TARGET-B010-01,"At matched NPR, do hydrogen and nitrogen retain similar initial shock geometry but differ in downstream structure and mixing?",gas species -> downstream shock/core instability -> mixing,Tier 1 B009 reports hydrogen/methane differences at matched NPR; this paper adds nitrogen as an independent species comparison.,tier1:B009:T1-B009-C02,high,complete,One evidence-driven target; full text keyword-scanned.
