contradiction_id,global_claim_id,evidence_a,paper_a,evidence_b,paper_b,apparent_conflict,definition_compatibility,condition_compatibility,method_difference,scale_difference,adjudication,possible_explanation,resolution_status,source_locator_a,source_locator_b,notes
CON-001,GC-0009,T1-B009-C03,B009,T1-B028-C01,B028,Increasing NPR was non-monotonic for penetration in one geometry but dominant for penetration/momentum in another.,partial,low,LES versus mixed experimental/numerical framework,Different nozzle geometry and transient/spatial definitions,apparent_condition_difference,"NPR range, nozzle geometry, transient state, and penetration definition differ.",resolved_apparent,LOC-B009-0007,LOC-B028-0009,Phase 10 adjudication; no source claim was rewritten.
CON-002,GC-0018,T1-C007-C02,C007,T3-C008-C01,C008,"A review reports suppressed breakup intensity/transverse spread at supersonic Mach, whereas a narrower numerical study found little change in early scaled drift, acceleration, or drag.",partial,low,review synthesis versus early-stage cylinder simulation,Different physical stages and response metrics,different_physical_stage,The statements address morphology/spreading versus early kinematics and drag.,resolved_apparent,LOC-C007-0005,LOC-C008-0001,Phase 10 adjudication; no source claim was rewritten.
CON-003,GC-0025,PILOT-C031-C01,C031,T3-C032-C01,C032,Phase change suppresses interfacial-wave growth in one model while heating promotes breakup in another.,partial,low,Different phase-change and property models,"Different liquids, Weber ranges, temperature ranges, and mechanisms",apparent_condition_difference,Vapor-layer/Stefan-flow shear reduction is not equivalent to surface-tension reduction by heating.,resolved_apparent,LOC-C031-0008,LOC-C032-0001,Phase 10 adjudication; no source claim was rewritten.
CON-004,GC-0027,T2-C026-C02,C026,T2-C030-C02,C030,Evaporation was negligible for deformation of droplets over 100 micrometres in one experiment but hindered deformation/bag breakup in a model sweep.,partial,low,Experiment versus numerical parameter sweep,"Different droplet size, Stefan number, density ratio, and observation interval",apparent_condition_difference,The experimental size/time window does not cover the modelled high-Stefan suppression domain.,resolved_apparent,LOC-C026-0002,LOC-C030-0002,Phase 10 adjudication; no source claim was rewritten.
CON-005,GC-0035,T1-D018-C02,D018,T2-D016-C02,D016,"Shock-derived breakup scaling is cautioned against for detonation loading, while a detonation experiment reports Mach/diameter breakup trends.",partial,partial,Model/correlation transfer assessment versus detonation experiment,Inert-shock and reacting post-detonation histories,scale_dependent_difference,The directional trend can hold while shock-derived coefficients fail because adverse pressure gradient and loading duration differ.,resolved_apparent,LOC-D018-0006,LOC-D016-0002,Phase 10 adjudication; no source claim was rewritten.
CON-006,GC-0022,T1-C035-C01,C035,T2-C036-C02,C036,Closer spacing delays a trailing droplet in tandem arrangement but promotes rapid closed breakup in parallel arrangement.,high,low,Different ordered multi-droplet experiments,Tandem wake shielding versus parallel channel closure,apparent_condition_difference,"Arrangement changes the mechanism, so the spacing directions are not contradictory.",resolved_apparent,LOC-C035-0006,LOC-C036-0004,Phase 10 adjudication; no source claim was rewritten.
CON-007,GC-0036,T2-D005-C01,D005,T3-D004-C01,D004,"Injector-generated shocks increased penetration and reduced angle, whereas reflected shocks suppressed angle/entrainment with little penetration effect.",partial,low,Different shock-generation and interaction experiments,Wave origin and physical interaction stage differ,different_physical_stage,An internal/near-nozzle spray shock and an externally reflected shock impose different loading histories.,resolved_apparent,LOC-D005-0002,LOC-D004-0001,Phase 10 adjudication; no source claim was rewritten.
CON-008,GC-0008,T1-B009-C02,B009,T3-B010-C01,B010,"One matched-NPR comparison reports species-dependent Mach-disk geometry, while another finds similar Mach-barrel size but different downstream structures.",partial,partial,Different LES configurations,Nozzle-exit turbulence and downstream metrics differ,complementary_not_contradictory,Both allow species-dependent downstream mixing; gross barrel size and detailed geometry are different observables.,resolved_apparent,LOC-B009-0007,LOC-B010-0001,Phase 10 adjudication; no source claim was rewritten.
CON-009,GC-0006,PILOT-B013-C02,B013,T1-B021-C01,B021,A storage-pressure-based nominal NPR does not encode the sonic-inlet boundary used in another contextual NPR correlation.,low,low,Boundary-condition bookkeeping versus contextual correlation,Storage and nozzle-inlet pressure roles differ,apparent_definition_difference,The NPR numerator role and time basis are incompatible until explicitly mapped.,resolved_definition,LOC-B013-0002,LOC-B021-0004,Phase 10 adjudication; no source claim was rewritten.
CON-010,GC-0017,PILOT-C014-C02,C014,T2-D016-C02,D016,Post-shock freestream Mach and incident/detonation-wave Mach appear in similar breakup statements.,low,low,Different experiments and Mach contexts,Post-shock flow versus propagating wave reference frame,apparent_definition_difference,Identical Mach symbols do not denote the same physical quantity or loading state.,resolved_definition,LOC-C014-0004,LOC-D016-0002,Phase 10 adjudication; no source claim was rewritten.
