dimensionless_definition_id,paper_id,case_id,condition_id,parameter_record_id,dimensionless_name,symbol,formula_reported,definition_status,reference_velocity_parameter_id,reference_density_parameter_id,reference_length_parameter_id,reference_viscosity_parameter_id,reference_surface_tension_parameter_id,other_component_ids,parameter_context,reference_frame,source_locator_id,verification_status,notes
DIM-C014-001,C014,C014-C01,C014-C01,PAR-C014-0003,We_reported,We,ρg ug²d0/σ; post-shock gas density and velocity,incomplete_reported,PAR-C014-0051,PAR-C014-0052,PAR-C014-0053,,PAR-C014-0054,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-002,C014,C014-C01,C014-C01,PAR-C014-0004,Oh_reported,Oh,μd/√(ρd d0 σ),incomplete_reported,,,PAR-C014-0053,,PAR-C014-0054,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-003,C014,C014-C01,C014-C01,PAR-C014-0005,Re_reported,Re,ρg ug d0/μg; post-shock gas properties,incomplete_reported,PAR-C014-0051,PAR-C014-0052,PAR-C014-0053,,,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-004,C014,C014-C01,C014-C01,PAR-C014-0006,Mach,M,M∞: uniform post-shock freestream gas velocity/speed of sound,complete_reported,,,,,,,post_shock_freestream,NV,LOC-C014-0002,verified,All available definition components are linked.
DIM-C014-005,C014,C014-C02,C014-C02,PAR-C014-0009,We_reported,We,ρg ug²d0/σ; post-shock gas density and velocity,incomplete_reported,PAR-C014-0055,PAR-C014-0056,PAR-C014-0057,,PAR-C014-0058,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-006,C014,C014-C02,C014-C02,PAR-C014-0010,Oh_reported,Oh,μd/√(ρd d0 σ),incomplete_reported,,,PAR-C014-0057,,PAR-C014-0058,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-007,C014,C014-C02,C014-C02,PAR-C014-0011,Re_reported,Re,ρg ug d0/μg; post-shock gas properties,incomplete_reported,PAR-C014-0055,PAR-C014-0056,PAR-C014-0057,,,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-008,C014,C014-C02,C014-C02,PAR-C014-0012,Mach,M,M∞: uniform post-shock freestream gas velocity/speed of sound,complete_reported,,,,,,,post_shock_freestream,NV,LOC-C014-0002,verified,All available definition components are linked.
DIM-C014-009,C014,C014-C03,C014-C03,PAR-C014-0015,We_reported,We,ρg ug²d0/σ; post-shock gas density and velocity,incomplete_reported,PAR-C014-0059,PAR-C014-0060,PAR-C014-0061,,PAR-C014-0062,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-010,C014,C014-C03,C014-C03,PAR-C014-0016,Oh_reported,Oh,μd/√(ρd d0 σ),incomplete_reported,,,PAR-C014-0061,,PAR-C014-0062,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-011,C014,C014-C03,C014-C03,PAR-C014-0017,Re_reported,Re,ρg ug d0/μg; post-shock gas properties,incomplete_reported,PAR-C014-0059,PAR-C014-0060,PAR-C014-0061,,,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-012,C014,C014-C03,C014-C03,PAR-C014-0018,Mach,M,M∞: uniform post-shock freestream gas velocity/speed of sound,complete_reported,,,,,,,post_shock_freestream,NV,LOC-C014-0002,verified,All available definition components are linked.
DIM-C014-013,C014,C014-C04,C014-C04,PAR-C014-0021,We_reported,We,ρg ug²d0/σ; post-shock gas density and velocity,incomplete_reported,PAR-C014-0063,PAR-C014-0064,PAR-C014-0065,,PAR-C014-0066,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-014,C014,C014-C04,C014-C04,PAR-C014-0022,Oh_reported,Oh,μd/√(ρd d0 σ),incomplete_reported,,,PAR-C014-0065,,PAR-C014-0066,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-015,C014,C014-C04,C014-C04,PAR-C014-0023,Re_reported,Re,ρg ug d0/μg; post-shock gas properties,incomplete_reported,PAR-C014-0063,PAR-C014-0064,PAR-C014-0065,,,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-016,C014,C014-C04,C014-C04,PAR-C014-0024,Mach,M,M∞: uniform post-shock freestream gas velocity/speed of sound,complete_reported,,,,,,,post_shock_freestream,NV,LOC-C014-0002,verified,All available definition components are linked.
DIM-C014-017,C014,C014-C05,C014-C05,PAR-C014-0027,We_reported,We,ρg ug²d0/σ; post-shock gas density and velocity,incomplete_reported,PAR-C014-0067,PAR-C014-0068,PAR-C014-0069,,PAR-C014-0070,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-018,C014,C014-C05,C014-C05,PAR-C014-0028,Oh_reported,Oh,μd/√(ρd d0 σ),incomplete_reported,,,PAR-C014-0069,,PAR-C014-0070,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
DIM-C014-019,C014,C014-C05,C014-C05,PAR-C014-0029,Re_reported,Re,ρg ug d0/μg; post-shock gas properties,incomplete_reported,PAR-C014-0067,PAR-C014-0068,PAR-C014-0069,,,,shock_droplet_loading,,LOC-C014-0002,verified,Missing or unverified components are preserved as source limitations; no property was supplied from memory.
