coverage_id,mechanism_segment,upstream_node,downstream_node,direct_primary_evidence_count,indirect_primary_evidence_count,secondary_evidence_count,strong_evidence_count,moderate_evidence_count,method_coverage,scale_coverage,condition_coverage,application_directness,coverage_status,main_limitation,key_global_claim_ids,notes
M01,high-pressure injection -> underexpanded-jet formation,high-pressure injection,underexpanded-jet formation,22,12,2,7,12,numerical;experimental;not_specified;mixed;review,A;B;D,partial;not_applicable,direct in gas-jet studies; indirect for engine-local transfer,moderate,Direct HPDI-resolved formation evidence is less complete than vessel/free-jet evidence.,GC-0007;GC-0009;GC-0036;GC-0003;GC-0010;GC-0011;GC-0013;GC-0050,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M02,underexpanded jet -> Mach disk / shock-cell structure,underexpanded jet,Mach disk / shock-cell structure,20,16,4,4,13,numerical;not_specified;experimental;mixed;review,B;A;D,high;partial;not_applicable,direct primary gas-jet evidence,strong,"NPR definition, nozzle geometry, gas species, and transient state require explicit compatibility.",GC-0007;GC-0036;GC-0012;GC-0006;GC-0008;GC-0010;GC-0011;GC-0013,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M03,shock structure -> local pressure / velocity loading,shock structure,local pressure / velocity loading,23,20,4,7,14,review;numerical;experimental;not_specified,B;A;C;D,partial;low;not_applicable,direct in canonical or spray-shock analogues; indirect for HPDI pilot droplets,limited,No direct time-resolved mapping from an HPDI gas-jet shock field to pilot-spray droplet loading.,GC-0022;GC-0036;GC-0028;GC-0012;GC-0037;GC-0020;GC-0035;GC-0013,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M04,local loading -> droplet deformation,local loading,droplet deformation,26,31,3,7,16,review;not_specified;numerical;experimental,C;D,partial;not_applicable,direct canonical shock-droplet evidence,strong,Most evidence concerns isolated or ordered droplets rather than dense pilot sprays.,GC-0022;GC-0017;GC-0034;GC-0027;GC-0039;GC-0021;GC-0020;GC-0029,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M05,deformation / instability -> secondary breakup,deformation / instability,secondary breakup,29,30,4,10,15,review;not_specified;numerical;experimental,C;D,partial;not_applicable,direct experiments and resolved simulations,strong,Regime boundaries depend on We/Mach/loading definitions; C004 remains missing.,GC-0022;GC-0028;GC-0017;GC-0034;GC-0019;GC-0024;GC-0039;GC-0021,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M06,breakup -> fragment transport / dispersion,breakup,fragment transport / dispersion,18,20,2,8,10,numerical;mixed;not_specified;experimental;review,B;C;D,partial;not_applicable,direct but diagnostically sparse,moderate,"Fragment distributions, cloud transport, and dense-spray interactions are not uniformly measured.",GC-0009;GC-0022;GC-0036;GC-0028;GC-0019;GC-0037;GC-0029;GC-0023,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M07,breakup / thermal loading -> evaporation / phase change,breakup / thermal loading,evaporation / phase change,6,26,0,1,1,experimental;numerical;not_specified,C;D;A,low;partial;not_applicable,direct in selected small-droplet/RDE conditions; model-heavy elsewhere,moderate,"Heating, Stefan flow, volatility, and size can reverse the apparent phase-change effect on breakup.",GC-0024;GC-0027;GC-0029;GC-0032;GC-0025;GC-0053;GC-0033;GC-0026,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M08,transport / evaporation -> mixture formation,transport / evaporation,mixture formation,33,28,6,11,20,experimental;review;not_specified;numerical;mixed,A;B;C,low;partial;not_applicable,mainly indirect or separate-domain evidence,limited,The shock-breakup/evaporation contribution to actual HPDI mixture fields is not directly isolated.,GC-0001;GC-0002;GC-0009;GC-0003;GC-0012;GC-0038;GC-0040;GC-0004,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M09,mixture formation -> ignition / combustion,mixture formation,ignition / combustion,21,20,5,9,11,experimental;review;not_specified;numerical,A;C,low;partial;not_applicable,direct HPDI/H2DDI evidence for timing and overlap; indirect for shock-mediated path,moderate,"Injection chronology is well supported, but the upstream shock-droplet causal path is not closed.",GC-0001;GC-0002;GC-0003;GC-0038;GC-0040;GC-0004;GC-0041;GC-0053,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M10,droplet response <-> detonation / RDE wave behavior,droplet response,detonation / RDE wave behavior,8,18,0,2,3,experimental;numerical;not_specified,C;D,partial;not_applicable,direct within strong-wave application studies,moderate,"Mostly numerical and application-scale; chemistry, geometry, and characteristic scales vary.",GC-0034;GC-0024;GC-0035;GC-0032;GC-0033,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
M11,canonical shock-droplet physics -> HPDI application transfer,canonical shock-droplet physics,HPDI application transfer,0,7,1,0,0,numerical;review;not_specified;experimental,B;C;A,low,cross-scale inference only,indirect_only,No direct HPDI experiment closes shock structure -> pilot loading -> breakup -> ignition.,GC-0053;GC-0052,Counts are candidate-evidence links assigned to this segment; review sources remain secondary.
