source_panel_id,paper_id,pdf_file,pdf_page,original_figure,original_panel,phenomenon,condition_summary,manuscript_section,new_figure_id,crop_notes,source_locator,notes
SP02-01,B009,02_PDF_Raw/B/B-H2-04_2014_Hamzehloo_LES_Underexpanded_Hydrogen_MethaneJets.pdf,11,Fig. 8,sequence,Axial-Mach evolution and Mach-disk formation,Hydrogen; NPR 10; transient LES,S06,FIG-02,Exact figure crop; time labels and contour scale retained,LOC-B009-0005,Direct crop from canonical local PDF; scientific content unaltered.
SP02-02,B021,02_PDF_Raw/B/B-E-01_2023_Anaclerio_Numerical_Underexpanded_HydrogenJets_ICE.pdf,11,Fig. 18,plot,Steady/unsteady Mach-disk comparison,Hydrogen; representative NPR 12.7 case,S06,FIG-02,Fig. 18 plot only; caption and body text excluded,LOC-B021-0006,Direct crop from canonical local PDF; scientific content unaltered.
SP02-03,B029,02_PDF_Raw/B/B-E-09_2026_Sang_InjectorPressureBuildUp_Underexpanded_HydrogenJet.pdf,8,Fig. 11,velocity contours,Velocity-contour and shock-cell evolution during injector build-up,Hydrogen injector; transient pressure-build case,S06,FIG-02,Fig. 11 image sequence; time labels and color bar retained,LOC-B029-0008,Direct crop from canonical local PDF; scientific content unaltered.
SP04-01,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,13,Fig. 6,d,Acceleration-dominated RTP morphology,Water; M_s 1.45; We 795; d0 0.5 mm,S10,FIG-04,Fig. 6(d) pair only; scale bars retained,LOC-C016-0004,Direct crop from canonical local PDF; scientific content unaltered.
SP04-02,C016,02_PDF_Raw/C/C-SD-09_2021_Sharma_ShockInduced_DropletAerobreakup.pdf,13,Fig. 6,b,Shear-induced entrainment morphology,Water; M_s 1.30; We 1600; d0 2.9 mm,S10,FIG-04,Fig. 6(b) pair only; scale bars retained,LOC-C016-0004,Direct crop from canonical local PDF; scientific content unaltered.
SP04-03,C013,02_PDF_Raw/C/C-SD-06_2020_Dorschner_LigamentFormation_Shedding_DropletAerobreakup.pdf,22,Fig. 15,sequence,Recurrent ligament formation and shedding,Water; We 295,S10,FIG-04,Exact figure sequence; annotations retained; caption excluded,"PDF p.22, Fig. 15",Direct crop from canonical local PDF; scientific content unaltered.
SP04-04,D018,02_PDF_Raw/D/D-DW-03_2026_Yang_RP3_Droplet_DeformationBreakup_Detonation.pdf,10,Fig. 15,sequence,KHI-dominant to coupled KHI-RTI fragmentation,RP-3; d0 530 um; detonation Ma 7.03,S10,FIG-04,Fig. 15 strip only; times and stage brackets retained,LOC-D018-0008,Direct crop from canonical local PDF; scientific content unaltered.
SP04A-01,C029,02_PDF_Raw/C/C-PC-03_2021_Boyd_Transcritical_ShockDroplet_Interaction.pdf,14,Fig. 9,a-f,Diverging and converging refracted-wave histories,n-dodecane in nitrogen; 500 K n=0.78 vs 650 K n=1.8,S11,FIG-04A,Full Fig. 9 comparison; annotations and axes retained; caption excluded,"PDF p.14, Fig. 9",Direct crop from canonical local PDF; scientific content unaltered.
SP05-01,C035,02_PDF_Raw/C/C-MD-03_2021_Wang_ShockInduced_TandemDroplet_Breakup.pdf,5,Fig. 5,sequence,Tandem-droplet wake shielding and differential deformation,Water; tandem pair; S/D and We case-specific,S14,FIG-05,Exact sequence; dimensional labels retained,LOC-C035-0004,Direct crop from canonical local PDF; scientific content unaltered.
SP05-02,C036,02_PDF_Raw/C/C-MD-04_2026_Guo_ShockInduced_ParallelDroplets_Aerobreakup.pdf,5,Fig. 2,sequence,Parallel-droplet channel opening and closure,Parallel droplets; We 16.7; multiple L/D,S14,FIG-05,Exact image sequence; spacing labels retained,LOC-C036-0003,Direct crop from canonical local PDF; scientific content unaltered.
