migration_id,paper_id,old_record_type,old_record_id_or_locator,new_record_type,new_record_id,migration_action,confidence,needs_review,notes
MIG-00001,B011,parameter_master_row,legacy-row-0001,parameter_record,PAR-B011-0001,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00002,B011,parameter_master_row,legacy-row-0002,parameter_record,PAR-B011-0002,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00003,B011,parameter_master_row,legacy-row-0003,parameter_record,PAR-B011-0003,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, numerical setup"
MIG-00004,B011,parameter_master_row,legacy-row-0004,parameter_record,PAR-B011-0004,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, NPR definition"
MIG-00005,B011,parameter_master_row,legacy-row-0005,parameter_record,PAR-B011-0005,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00006,B011,parameter_master_row,legacy-row-0006,parameter_record,PAR-B011-0006,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00007,B011,parameter_master_row,legacy-row-0007,parameter_record,PAR-B011-0007,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, NPR definition"
MIG-00008,B011,parameter_master_row,legacy-row-0008,parameter_record,PAR-B011-0008,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00009,B011,parameter_master_row,legacy-row-0009,parameter_record,PAR-B011-0009,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00010,B011,parameter_master_row,legacy-row-0010,parameter_record,PAR-B011-0010,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, NPR definition"
MIG-00011,B011,parameter_master_row,legacy-row-0011,parameter_record,PAR-B011-0011,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00012,B011,parameter_master_row,legacy-row-0012,parameter_record,PAR-B011-0012,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00013,B011,parameter_master_row,legacy-row-0013,parameter_record,PAR-B011-0013,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, NPR definition"
MIG-00014,B011,parameter_master_row,legacy-row-0014,parameter_record,PAR-B011-0014,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00015,B011,parameter_master_row,legacy-row-0015,parameter_record,PAR-B011-0015,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00016,B011,parameter_master_row,legacy-row-0016,parameter_record,PAR-B011-0016,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.3, NPR definition"
MIG-00017,B011,parameter_master_row,legacy-row-0017,parameter_record,PAR-B011-0017,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00018,B011,parameter_master_row,legacy-row-0018,parameter_record,PAR-B011-0018,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.6, case conditions"
MIG-00019,B011,parameter_master_row,legacy-row-0019,parameter_record,PAR-B011-0019,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.7, validation"
MIG-00020,B011,parameter_master_row,legacy-row-0020,parameter_record,PAR-B011-0020,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.7, validation"
MIG-00021,B011,parameter_master_row,legacy-row-0021,parameter_record,PAR-B011-0021,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.16, results"
MIG-00022,C014,parameter_master_row,legacy-row-0022,parameter_record,PAR-C014-0001,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00023,C014,parameter_master_row,legacy-row-0023,parameter_record,PAR-C014-0002,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.1, Abstract"
MIG-00024,C014,parameter_master_row,legacy-row-0024,parameter_record,PAR-C014-0003,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00025,C014,parameter_master_row,legacy-row-0025,parameter_record,PAR-C014-0004,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00026,C014,parameter_master_row,legacy-row-0026,parameter_record,PAR-C014-0005,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00027,C014,parameter_master_row,legacy-row-0027,parameter_record,PAR-C014-0006,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00028,C014,parameter_master_row,legacy-row-0028,parameter_record,PAR-C014-0007,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00029,C014,parameter_master_row,legacy-row-0029,parameter_record,PAR-C014-0008,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00030,C014,parameter_master_row,legacy-row-0030,parameter_record,PAR-C014-0009,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00031,C014,parameter_master_row,legacy-row-0031,parameter_record,PAR-C014-0010,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00032,C014,parameter_master_row,legacy-row-0032,parameter_record,PAR-C014-0011,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00033,C014,parameter_master_row,legacy-row-0033,parameter_record,PAR-C014-0012,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00034,C014,parameter_master_row,legacy-row-0034,parameter_record,PAR-C014-0013,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00035,C014,parameter_master_row,legacy-row-0035,parameter_record,PAR-C014-0014,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
MIG-00036,C014,parameter_master_row,legacy-row-0036,parameter_record,PAR-C014-0015,preserved_and_contextualized,high,no,"Legacy source locator preserved: PDF p.5, Table 1"
