candidate_claim_id,paper_id,source_record_id,reading_tier,library,claim_text,support_type,evidence_contribution_type,review_mainline_role,source_locator_id,relevant_parameter_ids,relevant_event_ids,relevant_process_relation_ids,existing_core_link,retained_for_global_consolidation,candidate_status,notes
PILOT-A016-C01,A016,A-NG-16,pilot,A,"In the LES, jet intersection organizes vortex entrainment that transports heat and diesel-derived active radicals into the methane jet.",author_interpretation,simulation_resolved,Tests how mechanism support and multi-link transport chains should be structured.,LOC-A016-0009,,,,,yes,active_candidate,"Evidence summary: DMD, temperature and OH fields show increased overlap/entrainment as β decreases. | Limitations: Model-resolved, not directly measured in the engine."
PILOT-A016-C02,A016,A-NG-16,pilot,A,"For the studied full-load point, β=2° gives the best reported combustion response and 44.9% lower CO.",direct,simulation_resolved,Tests how mechanism support and multi-link transport chains should be structured.,LOC-A016-0010,,,,,yes,active_candidate,"Evidence summary: Angle sweep links overlap, combustion phasing and emissions. | Limitations: Do not generalize the optimum beyond this operating point/model."
PILOT-A020-C01,A020,A-H2-03,pilot,A,"Main-fuel ignition follows a finite interaction with reacting/burnt pilot products, and the required interaction duration depends on dwell and charge temperature.",author_interpretation,direct_observation,Tests chronology from injection through interaction to ignition/combustion consequence.,LOC-A020-0008,,,,,yes,active_candidate,Evidence summary: Schlieren and AHRR align ignition with jet overlap under each actual-SOI sequence. | Limitations: Specific to the converging CVCC configuration.
PILOT-A020-C02,A020,A-H2-03,pilot,A,Ignition after H2 end of injection produces slower propagation and persistent lean unburned zones.,direct,direct_observation,Tests chronology from injection through interaction to ignition/combustion consequence.,LOC-A020-0009,,,,,yes,active_candidate,"Evidence summary: Long-delay sequences show post-EOI ignition, slow flame spread and high AHRR variability. | Limitations: Depends on the tested injection duration and ambient state."
PILOT-A022-C01,A022,A-H2-05,pilot,A,"Within the tested converging configurations, greater jet overlap generally shortens the pilot-to-main ignition transition.",direct,direct_observation,"Requires structured jet-geometry, overlap, event timing, and evidence-support fields.",LOC-A022-0008,,,,,yes,active_candidate,Evidence summary: Angle-dependent ignition maps show shorter transition at larger interaction angles under matched ambient conditions. | Limitations: Pilot ignition itself can be slightly delayed at larger angle.
PILOT-A022-C02,A022,A-H2-05,pilot,A,A numeric relative-momentum ratio is not reported and should not be created from incomplete inputs.,project_inference,project_inference,"Requires structured jet-geometry, overlap, event timing, and evidence-support fields.",LOC-A022-0004,,,,,no,inventory_only_schema_observation_only,"Evidence summary: The authors discuss relative momentum qualitatively and test pilot duration, but do not provide a complete ratio definition and inputs. | Limitations: Recorded as NR, not derived. | Phase 10 inventory-only reason: schema_observation_only; original candidate is unchanged."
PILOT-B011-C01,B011,B-H2-06,pilot,B,"At fixed NPR, changing ambient pressure primarily alters starting-transient timing, not the settled near-nozzle shock geometry.",direct,simulation_resolved,Defines the reference pressure roles needed before comparing underexpanded H2-jet papers.,LOC-B011-0007,,,,,yes,active_candidate,"Evidence summary: Mach-disk dimensions, reflected-shock angle, and shock-cell spacing are reported as essentially unchanged across ambient pressures. | Limitations: Applies to the simulated H2 NPR-10 cases."
PILOT-B011-C02,B011,B-H2-06,pilot,B,Hydrogen exhibits upstream tip-vortex mixing behavior that differs from methane at the same NPR.,author_interpretation,author_interpretation,Defines the reference pressure roles needed before comparing underexpanded H2-jet papers.,LOC-B011-0007,,,,,yes,active_candidate,Evidence summary: Resolved vortical structures and mixture fields support earlier mixing upstream of the Mach reflection for H2. | Limitations: Gas properties and modeled conditions are coupled.
PILOT-B013-C01,B013,B-H2-08,pilot,B,"Mach-disk formation time, later instantaneous position, and stabilized position are distinct observables.",direct,simulation_resolved,Requires state-tagged Mach-disk time and position fields.,LOC-B013-0006,,,,,yes,active_candidate,Evidence summary: The study reports formation near 20 μs and later positions near 3.8 mm with small oscillation. | Limitations: Exact time symbols in extracted text were visually checked against the μs-scale figure context.
PILOT-B013-C02,B013,B-H2-08,pilot,B,The nominal NPR based on 82 MPa storage pressure does not uniquely encode the 43.2 MPa sonic-inlet boundary.,project_inference,project_inference,Requires state-tagged Mach-disk time and position fields.,LOC-B013-0002,,,,,no,inventory_only_schema_observation_only,"Evidence summary: Table 1 reports both storage and inlet states, while NPR is quoted from storage/ambient. | Limitations: This is a schema observation, not a scientific conclusion of the paper. | Phase 10 inventory-only reason: schema_observation_only; original candidate is unchanged."
