table_id,row_id,paper_id,case_id,source_location,parameter_group,reported_value_or_category,definition_status,condition_summary,reader_role,notes
TAB-01,TAB-01-R01,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,"Rail/chamber; plenum/ambient; instantaneous/nominal; gauge/absolute; Both pressures plus nozzle state, gas, ambient state, and transient stage; Only definition-complete, condition-faceted jet comparisons",explicit or limitation stated,"NPR; Upstream-to-downstream pressure ratio controlling underexpansion; Numerator and denominator roles, locations, total/static type, absolute/gauge basis, and time/stage",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-01,TAB-01-R02,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,"Incident-shock M_s; post-shock M; droplet-relative M_rel; detonation-front Mach; Velocity, sound-speed state, frame, location, and time; Keep separate axes/facets for different frames",explicit or limitation stated,"Mach number; Speed relative to a specified acoustic state; Object (jet, incident shock, post-wave flow, relative flow, detonation front), reference frame, and sound-speed state",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-01,TAB-01-R03,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,Pre/post-wave density; gas/droplet-relative velocity; parent/fragment diameter; All four components and loading stage; Conditioned response map; never a universal threshold alone,explicit or limitation stated,"Weber number; Aerodynamic/inertial stress relative to surface tension; Density, velocity, length, and surface tension with state and frame",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-01,TAB-01-R04,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,"Gas or liquid viscosity; post-wave or freestream state; All components and thermodynamic state; Companion condition, not a substitute for the load history",explicit or limitation stated,"Reynolds number; Inertial transport relative to viscous transport; Density, velocity, length, viscosity, phase, state, and frame",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-01,TAB-01-R05,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,"Parent versus fragment scale; temperature-dependent properties; Liquid identity, temperature/state, and d definition; Material/scale facet for breakup comparisons",explicit or limitation stated,"Ohnesorge number; Liquid viscous resistance relative to capillary–inertial response; Liquid viscosity/density, surface tension, and length scale",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-01,TAB-01-R06,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,"Shock transit; compressed-gas residence; time to expansion arrival; Both events, time reference, and load variable; Conceptual or within-compatible-case only",explicit or limitation stated,"Loading duration; Time over which a specified pressure/slip load acts; Start/end events and whether interval is front passage, post-wave residence, or full forcing",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-01,TAB-01-R07,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,"Onset versus completion; dimensional time versus t*; Event definition, scale, imaging/model criterion; Event-specific values only",explicit or limitation stated,"Breakup time; Interval to a specified deformation or fragmentation event; Onset, first shedding, sheet rupture, or complete breakup plus normalization",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-01,TAB-01-R08,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,"Opposite sign; crank angle versus time; command versus actual SOI; Both named events, sign convention, engine speed for conversions, operating point; Condition-faceted chronology tables/plots",explicit or limitation stated,"Signed ΔSOI; Ordered separation between pilot and main-fuel injection events; Target SOI minus reference SOI, fuel order, actual/electronic/hydraulic event, and unit",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-01,TAB-01-R09,NA,grouped_or_named_in_row,author synthesis from project definitions,definition,"Front height, cell width, induction length, refill length; Both lengths, chemistry, geometry, wave number, and residence definition; Within the reported strong-wave domain only",explicit or limitation stated,L_E/L_D; Evaporation distance relative to a named detonation/reaction/refill scale; Evaporation endpoint and denominator physical length,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-02,TAB-02-R01,B009,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,"semi-steady; 1.85, 2.06, 3.77, 5.81 (derived from reported x_MD and D); Only numeric series retained for the QSA-01 within-study plot",explicit or limitation stated,[[CITE:B009]] H2 semi-steady sweep; H2; converging exit D=1.5 mm; Nozzle total pressure / ambient static pressure,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-02,TAB-02-R02,B009,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,semi-steady; 1.90 (derived); Gas-species contrast within one setup,explicit or limitation stated,[[CITE:B009]] CH4 case; CH4; same D=1.5 mm nozzle; Same total/static definition,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-02,TAB-02-R03,B021,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,steady; 1.299 and 5.362 reported mm for named endpoint cases; Table context only; excluded from QSA-01 because paired ratio records are missing,explicit or limitation stated,[[CITE:B021]] steady NPR endpoints; H2; convergent exit D=1 mm; Plenum total / chamber static is verified for validation case,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-02,TAB-02-R04,B029,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,opening → formation → motion → stabilization; figure-only history; FIG-02 event alignment; no pooled numeric entry,explicit or limitation stated,[[CITE:B029]] pressure-build history; H2 injector; case-specific internal volume and restriction; Injector-internal p_in(t); location must be retained,representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
TAB-03,TAB-03-R01,C016,grouped_or_named_in_row,see figure/table row citations and 05_Data_Extraction/master_tables/source_locators.csv,cross-study comparison,NR; SIE; Author taxonomy; We definition record remains incomplete at component-ID level,explicit or limitation stated,"[[CITE:C016]] C01; incident shock + post-shock airflow; M_s=1.12, incident shock / preshock sound speed",representative comparison; not inventory,Derived values are labelled in the reader row; missing values use NR/NV/NA.
