section_id,chapter_id,section_title,section_level,scientific_question,section_objective,opening_problem,mechanism_logic,primary_synthesis_proposition_ids,primary_global_claim_ids,supporting_global_claim_ids,mechanism_pathway_ids,key_parameters,required_boundary_conditions,strongest_evidence_paper_ids,supporting_evidence_paper_ids,secondary_context_paper_ids,knowledge_gap_ids,figure_ids,table_ids,required_caution,key_takeaway,transition_to_next,writing_priority,status,notes
S01,CH01,Review problem and internal scientific thesis,2,Why does this literature require an evidence-weighted mechanism review rather than parallel topical summaries?,State the internal thesis and motivate the wave–spray–mixture–ignition chain.,Local component physics is much better resolved than its end-to-end HPDI coupling.,separately supported domains → explicit transfer audit → review thesis,SP-002;SP-006,,GC-0052;GC-0053,MP-033;MP-032;MP-028;MP-029,contextual NPR; Mach context; We; loading duration; ΔSOI,evidence directness and application distance,,B009;B021;C007;A007;A011;C024,,KG-001;KG-002;KG-003,FIG-01,,Do not present the complete chain as observed.,The review contribution is to distinguish strong component closures from four explicit cross-scale discontinuities.,"Define scope, terminology, and evidence hierarchy.",late,planned,Background/framing section; draft after mechanism chapters.
S02,CH01,"Scope, terminology, and evidence-status discipline",2,"What counts as comparable evidence across injection, shock, droplet, spray, and combustion domains?","Define evidence classes, application directness, and comparison rules.",Identical symbols often represent different physical states and source roles.,source hierarchy → definition matching → direct/mixed/cross-scale/gap labels,SP-003,,GC-0015;GC-0030,,NPR; Mach; We; Re; Oh; loading duration; breakup time,pressure role/type; reference frame; event definition,,B004;C002,C003,KG-004;KG-005,,TAB-01,Do not normalize incompatible definitions into apparent comparability.,"Definition compatibility is a scientific boundary, not a formatting detail.",Introduce the article-level mechanism framework.,late,planned,Terminology/background role.
S03,CH01,Article framework and narrative route,2,How will the article progress from injection boundary to combustion while preserving open arrows?,Preview the chapter sequence and evidence-status encoding.,A linear narrative can falsely imply every arrow has equal support.,injection → wave → loading → droplet → fragments → mixture → ignition; plus bounded RDE analogue,SP-001;SP-002;SP-003;SP-004;SP-005;SP-006;SP-007;SP-008,,GC-0052;GC-0053,,cross-scale parameter bridge,direct/indirect/cross-scale/gap encoding,,B009;B021;C007;A007;A011;C024,,KG-001;KG-002;KG-003,FIG-01,,Preview gaps without resolving them rhetorically.,The article follows mechanism progression and revisits gaps at their first physical location.,Begin with the time-dependent injection boundary.,late,planned,Framework overview.
S04,CH02,Definition-complete injection and ambient boundary state,2,"Which injector, nozzle, ambient, gas, and pressure definitions are required before underexpanded-jet comparisons are meaningful?",Establish the complete upstream state and comparability filters.,Nominal injection pressure and generic NPR collapse non-equivalent physical boundaries.,pressure role/type + nozzle + ambient + gas state → contextual underexpansion boundary,SP-001,GC-0009;GC-0010;GC-0011;GC-0013,GC-0006;GC-0008,MP-002,p_inj; ambient p/T/ρ; nozzle D/L/D/shape; gas properties; contextual NPR,fixed NPR versus fixed injection pressure; geometry and species matching,B006;B009;B015;B021;B028;B011,B003;B024;B010,A028,KG-004,FIG-02,TAB-01;TAB-02,Do not claim monotonic penetration or mixing trends across unmatched geometries.,The injection boundary is multivariable and must be typed before scaling.,Add time-resolved valve and pressure development to this boundary.,high,planned,Primary GCs limited to four.
S05,CH02,Injector pressure build-up and developing underexpanded state,2,How do pressure build-up and valve opening distinguish developing from quasi-steady jet states?,Describe event-aligned jet formation without replacing it with a plateau NPR.,"Steady boundary values cannot reconstruct formation, overshoot, or stabilization.",p_inj(t) + valve opening → choking/underexpansion onset → evolving jet state → shock motion,SP-001,GC-0007;GC-0050,GC-0036,MP-001;MP-005,p_inj(t); NPR(t); valve state; formation time; shock position history,pressure location/type and time reference; event alignment,B014;B018;B021;B007,B013;B029;B017;D001,,KG-004,FIG-02,TAB-02,A paper-conditioned choking threshold is not a universal value.,Mach-disk state is an evolving observable tied to injector history.,Resolve which shock-topology observables are comparison-ready.,high,planned,Anchor on transient studies.
S06,CH02,Mach-disk and shock-cell organization under compatible states,2,"Which shock-structure trends are robust when NPR, state, geometry, and gas species are compatible?",Separate well-constrained Mach-disk position from less mature topology metrics.,The same NPR label can hide different pressure roles and gas states.,compatible underexpanded state → Mach-disk formation/location → shock-cell topology → near/far-field structure,SP-001,GC-0006;GC-0008;GC-0012;GC-0015,GC-0011;GC-0013,MP-003;MP-004,NPR; x_MD/D; Mach-disk diameter; shock-cell spacing; gas species,state qualifier; D basis; feature definition; near/far field,B003;B009;B021;B010;B001;B019,B025;B030;B011;B022;B028;B008,B004;A028,KG-004,FIG-02,TAB-02,"Do not imply universal diameter, cell-spacing, or potential-core correlations.",Mach-disk position is the most comparison-ready topology observable when definitions match.,Ask how this topology changes the local gas state around liquid.,high,planned,Keep review-secondary GC-0015 as evidence-coverage context.
S07,CH03,"Shock, vortex, and wave topology as local gas-state sources",2,"How can near-field shocks, spray-generated waves, and reflected shocks change local pressure, velocity, and spray response?",Establish the gas-state side of the loading bridge and distinguish wave origins.,Observed topology or cone-angle changes do not directly specify droplet-level forcing.,shock/vortex topology → local p/ρ/u variation → spray-scale response under wave-specific histories,SP-002,GC-0014;GC-0036;GC-0037,GC-0012;GC-0013,MP-006;MP-007,"p(x,t); ρ(x,t); u(x,t); local Mach; wave origin; spray angle/penetration",injector-generated versus reflected wave; hot dense ambient; location and stage,B027;D001;D004,B016;D002;D005;B001;B019;B020;B008,B004;A028,KG-001,FIG-03,TAB-02,Do not equate reflected-shock spray response with injector-generated near-nozzle shocks.,"Gas-state variation is supported, but its droplet exposure must be measured locally.",Audit the missing topology-to-pilot-loading transfer directly.,high,planned,First deployment of wave-origin caution.
S08,CH03,The unclosed shock-topology-to-HPDI-pilot-loading bridge,2,Does underexpanded-jet shock topology map to the local loading history of actual HPDI pilot droplets?,Make MP-033 and KG-001 explicit and specify closure evidence.,B-library topology and C-library loading are independently supported but not co-located in HPDI.,Mach disk/shock cells → local state candidate → [MP-033 evidence gap] → pilot-droplet loading,SP-002,GC-0052,GC-0012;GC-0013;GC-0014;GC-0036,MP-008;MP-009;MP-033,local pressure/velocity jumps; M_rel; loading duration; pilot d0 distribution,"synchronized geometry, chronology, frame, and gas/liquid diagnostics",B009;B021;C007,C016;B001;B019;B020;B008;B027;D001,B004;A028,KG-001;KG-004,FIG-03;FIG-09,TAB-08,Plausible component relations do not validate the application arrow.,MP-033 is the first major discontinuity in the HPDI mechanism chain.,Define magnitude and duration variables usable in canonical droplet response.,critical,planned,Primary full discussion location for GC-0052.
S09,CH03,"Loading magnitude, duration, and response-time compatibility",2,Which local variables and typed intervals are required to describe finite compressible loading?,Build the gas-state-to-droplet parameter bridge without proposing a universal new group.,"Shock-front passage, shocked-state exposure, and total forcing are not interchangeable.",Δp + Δu + local gas state + typed duration → nondimensional response state; τ_loading/τ_response remains hypothesis,SP-003,GC-0016,GC-0017;GC-0035,MP-008;MP-009;MP-011,Δp; Δu; M_s; M_rel; typed loading duration; τ_loading/τ_response candidate,state pair; frame; interval start/end events; response-time definition,D003,C016;C014;C025;D019,C007,KG-005,FIG-03,TAB-01,Do not present τ_loading/τ_response as literature-established.,Droplet loading requires both magnitude and a typed forcing history.,Use that multivariable state to organize deformation and breakup.,high,planned,Candidate metric stays project hypothesis only.
S10,CH04,Multivariable compressible droplet-response state,2,Why can Weber number alone not collapse compressible droplet response?,Define the comparison-ready response state and condition-specific regime evidence.,"Equal reported We can coexist with different Mach frames, sizes, liquids, and loading histories.",M_s/M_rel + definition-complete We/Re/Oh + d0 + duration → deformation/breakup tendency,SP-003,GC-0017;GC-0018;GC-0030;GC-0039,GC-0016;GC-0034,MP-010;MP-011;MP-012,M_s; M_rel; We; Re; Oh; density ratio; d0; loading duration,component references; physical stage; liquid state; observation window,C014;C025;C008;C007;C002;C016,C023;D003;D018,C003,KG-005,FIG-04,TAB-01;TAB-03,Do not convert reported ranges into universal critical-We boundaries.,Comparable We does not guarantee comparable response when Mach context and forcing history differ.,Examine how external loading generates internal wave and deformation structure.,critical,planned,GC-0039 remains paper-conditioned.
