interval_id,paper_id,case_id,condition_id,interval_type,start_event_id,end_event_id,reported_duration,reported_unit,normalized_duration,normalized_unit,value_status,definition,source_locator_id,verification_status,notes
INT-A020-001,A020,A020-C01,A020-C01,SOI_separation,EVT-A020-001,EVT-A020-002,0.07,ms,,,reported,Actual-SOI separation; sequence=H2 then pilot,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A020-002,A020,A020-C02,A020-C02,SOI_separation,EVT-A020-003,EVT-A020-004,0.93,ms,,,reported,Actual-SOI separation; sequence=pilot then H2,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A020-003,A020,A020-C03,A020-C03,SOI_separation,EVT-A020-005,EVT-A020-006,1.93,ms,,,reported,Actual-SOI separation; sequence=pilot then H2,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A020-004,A020,A020-C04,A020-C04,SOI_separation,EVT-A020-007,EVT-A020-008,2.93,ms,,,reported,Actual-SOI separation; sequence=pilot then H2,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A020-005,A020,A020-C05,A020-C05,SOI_separation,EVT-A020-009,EVT-A020-010,1.07,ms,,,reported,Actual-SOI separation; sequence=H2 then pilot,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A020-006,A020,A020-C06,A020-C06,SOI_separation,EVT-A020-011,EVT-A020-012,2.07,ms,,,reported,Actual-SOI separation; sequence=H2 then pilot,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A020-007,A020,A020-C07,A020-C07,SOI_separation,EVT-A020-013,EVT-A020-014,3.07,ms,,,reported,Actual-SOI separation; sequence=H2 then pilot,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A020-008,A020,A020-C08,A020-C08,SOI_separation,EVT-A020-015,EVT-A020-016,0.07,ms,,,reported,Actual-SOI separation; sequence=H2 then pilot,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A020-009,A020,A020-C09,A020-C09,SOI_separation,EVT-A020-017,EVT-A020-018,0.07,ms,,,reported,Actual-SOI separation; sequence=H2 then pilot,LOC-A020-0006,verified,Direction is encoded by typed start/end events.
INT-A022-001,A022,ALL,ALL,SOI_separation,EVT-A022-001,EVT-A022-002,0.6,ms,,,reported,Pilot SOI after H2 SOI,LOC-A022-0003,verified,Positive offset means pilot SOI occurs after H2 SOI.
INT-D003-001,D003,D003-M01,D003-M01,shock_front_passage,EVT-D003-001,EVT-D003-002,NV,,,,NV,Shock-front passage interval,LOC-D003-0004,verified,Source does not separately report a front-passage duration.
INT-D003-002,D003,D003-M01,D003-M01,shocked_state,EVT-D003-001,EVT-D003-003,60,μs,,,reported,Shocked-gas-state duration terminated by the following expansion wave,LOC-D003-0004,verified,
INT-D003-003,D003,D003-M01,D003-M01,post_shock_aerodynamic_exposure,EVT-D003-001,EVT-D003-003,NV,,,,NV,Post-shock aerodynamic exposure interval,LOC-D003-0004,verified,A distinct aerodynamic-exposure duration is not separately reported.
INT-D003-004,D003,D003-M01,D003-M01,total_forcing,EVT-D003-001,EVT-D003-003,NV,,,,NV,Total effective forcing interval,LOC-D003-0004,verified,The source supports expansion-limited forcing but does not report a separate total-forcing duration.
INT-C024-001,C024,ALL,ALL,breakup_interval,EVT-C024-001,EVT-C024-002,0.4-8.4,us,,,reported,Textual interval assigned to parent-droplet breakup.,LOC-C024-0005,verified,Range preserved exactly; no single duration derived.
INT-C024-002,C024,ALL,ALL,other_reported,EVT-C024-002,EVT-C024-003,8.4-98,us,,,reported,Child-droplet-cloud growth interval.,LOC-C024-0005,verified,Typed as other reported rather than conflated with breakup.
INT-C035-001,C035,ALL,ALL,shocked_state,EVT-C035-001,,4.5,ms,,,reported,Approximately steady post-shock test-point flow before expansion-wave arrival.,LOC-C035-0002,verified,Low-We bag rupture can extend beyond this interval.
INT-D018-001,D018,D018-B,B4,breakup_interval,EVT-D018-001,EVT-D018-002,35-40,us,,,reported,Observed interval containing complete breakup of the 530 um RP-3 B4 droplet.,LOC-D018-0008,verified,Representative 37.5+/-3.0 us retained separately as event.
