source_panel_id,figure_id,paper_id,source_figure_number,license_status,copyright_notice_found,reuse_action,attribution_required,permission_status,final_use_allowed_now,recommended_alternative,notes
FSP-02-01,FIG-02,B009,5–8,all_rights_reserved,yes,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,Use exact source only with permission; otherwise retain labelled placeholder and cite physical facts.
FSP-02-02,FIG-02,B021,18–19,unknown,not_confirmed,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,License not confirmed in frozen project files.
FSP-02-03,FIG-02,B029,8–12,CC BY-NC-ND 4.0,yes,internal_preview_only,yes,venue_or_permission_check_pending,no,retain provenance-labelled placeholder; use author synthesis for mechanism,ND and NC restrictions make journal reuse conditional; do not crop or adapt until venue and rights route are confirmed.
FSP-04-01,FIG-04,C016,6,CC BY 4.0,yes,reuse_open_license,yes,license_confirmed,yes_with_attribution,use with exact attribution and unaltered data meaning,"Preserve image meaning, time labels, and scale information; attribution required."
FSP-04-02,FIG-04,C025,4–6,unknown,not_confirmed,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,Use only after permission or replace by fact-based mechanism redraw.
FSP-04-03,FIG-04,D018,15–16,all_rights_reserved,yes,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,"Strong-wave analogue, not HPDI evidence."
FSP-05-01,FIG-05,C035,4,publisher_license_unknown,not_confirmed,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,AIP publication; reuse permission not established.
FSP-05-02,FIG-05,C036,5–7,all_rights_reserved,yes,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,Do not generalize the phase boundary to dense sprays.
FSP-06-01,FIG-06,C024,7–8,all_rights_reserved,yes,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,Observation cannot by itself establish HPDI mixture improvement.
FSP-07-01,FIG-07,A022,2,CC BY 4.0,yes,redraw_from_scientific_facts,yes,not_required_for_new_visual_expression,yes_as_original_redraw,use with exact attribution and unaltered data meaning,Prefer an original geometry redraw even though reuse is licensed; cite A022.
FSP-07-02,FIG-07,A026,9–13,CC BY-NC,yes,internal_preview_only,yes,venue_or_permission_check_pending,no,retain provenance-labelled placeholder; use author synthesis for mechanism,Noncommercial restriction requires venue check before final reuse.
FSP-07-03,FIG-07,A007,10,all_rights_reserved,yes,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,Graph is a data expression; do not imitate visually without permission or independent replot data.
FSP-08-01,FIG-08,D018,4–6,all_rights_reserved,yes,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,Comparison domain only.
FSP-08-02,FIG-08,D019,8–15,all_rights_reserved,yes,reuse_permission_required,yes,not_requested_phase14,no,retain provenance-labelled placeholder; use author synthesis for mechanism,"Use to emphasize post-wave state, not leading Mach equivalence."
AUTH-FIG-01,FIG-01,NA,NA,author_generated,NA,author_synthesis,cite scientific sources in caption,not_required,yes,NA,Original Phase 14 vector schematic; no literature image copied.
AUTH-FIG-03,FIG-03,NA,NA,author_generated,NA,author_synthesis,cite scientific sources in caption,not_required,yes,NA,Original Phase 14 vector schematic; no literature image copied.
AUTH-FIG-06,FIG-06,NA,NA,author_generated,NA,author_synthesis,cite scientific sources in caption,not_required,yes,NA,Original Phase 14 vector schematic; no literature image copied.
AUTH-FIG-09,FIG-09,NA,NA,author_generated,NA,author_synthesis,cite scientific sources in caption,not_required,yes,NA,Original Phase 14 vector schematic; no literature image copied.
