caution_id,section_id,risk_type,unsafe_statement_pattern,why_unsafe,safe_statement_boundary,relevant_SP_ids,relevant_GC_ids,relevant_MP_ids,knowledge_gap_ids,notes
WC-001,S08;S29,cross_scale_overclaim,Underexpanded-jet shock topology determines the loading of HPDI pilot droplets.,MP-033 has no co-located time-resolved HPDI validation.,Topology is a physically plausible source of gas-state variation; actual pilot-droplet loading remains unvalidated.,SP-002,GC-0052,MP-033,KG-001,Central upstream caution.
WC-002,S04;S06,NPR_definition_mismatch,NPR comparison shows a universal shock or penetration trend.,"Numerator role, pressure type/location/time basis, ambient state, geometry, and transient stage may differ.",Compare only definition-complete contextual NPR under compatible boundary and state qualifiers.,SP-001,GC-0006;GC-0009;GC-0010,MP-002;MP-003;MP-004,KG-004,Applies to figures and tables.
WC-003,S09;S10;S12,We_Mach_comparison_mismatch,We determines breakup regime.,"Mach context, We components, loading duration, d0, Oh, and liquid state jointly organize response.",Use definition-complete We as one component of a condition-matched multivariable response state.,SP-003,GC-0016;GC-0017;GC-0021;GC-0030,MP-010;MP-011;MP-012;MP-016,KG-005,No universal critical-We map.
WC-004,S16,single_droplet_to_spray_transfer,Single-droplet breakup results apply to HPDI pilot sprays.,"MP-032 is unvalidated and collective, thermal, turbulent, polydisperse, and reacting effects can alter response.",Canonical results establish mechanisms and required variables; dense-spray transfer requires explicit collective-state correction and validation.,SP-004,GC-0022;GC-0028;GC-0052,MP-032,KG-002,Central scale-transfer caution.
WC-005,S18;S19,phase_change_direction_overclaim,Evaporation suppresses breakup or evaporation promotes breakup.,"Opposite mechanisms dominate in different size, thermal, volatility, Stefan, and observation domains.",State the observed direction only within the matched thermal/interfacial condition domain.,SP-005,GC-0024;GC-0025;GC-0026;GC-0027,MP-020;MP-021;MP-022,KG-007,Direction is conditional.
WC-006,S20;S25;S29,shock_to_ignition_causal_overclosure,Shock improves HPDI ignition through enhanced atomization.,MP-028 and MP-029 are evidence gaps; component evidence does not close shock→mixture→ignition causality.,Shock-mediated breakup is a plausible upstream hypothesis; direct timing/mixture/ignition evidence is separate.,SP-006,GC-0053,MP-028;MP-029,KG-003;KG-009,Most important downstream caution.
WC-007,S21;S22;S23,timing_generalization,A specific ΔSOI or overlap universally optimizes ignition and emissions.,"Fuel order, sign, geometry, oxygen/T, load, and event definitions condition direction and optimum.",Report timing effects within matched chronology and operating conditions; compare signed events only.,SP-006,GC-0001;GC-0002;GC-0003;GC-0004;GC-0041,MP-025;MP-026;MP-027,KG-009,Avoid universal optimum claims.
WC-008,S26;S27;S28,RDE_to_HPDI_transfer,RDE or detonation results prove HPDI strong-wave behavior.,"Reacting history, geometry, repeated waves, chemistry, and characteristic scales differ; MP-034 is analogue-only.",Use strong-wave studies as bounded analogues and state the missing HPDI mapping.,SP-007,GC-0032;GC-0034;GC-0035,MP-030;MP-031;MP-034,KG-008,No substitute application evidence.
WC-009,S27,Mach_context_mismatch,Equal Mach implies equal droplet loading or breakup.,"Incident, post-shock, local-relative, and detonation Mach differ; reacting post-wave histories can diverge.","Match the Mach definition and retain post-wave velocity, sound speed, pressure gradient, chemistry, and duration.",SP-003;SP-007,GC-0017;GC-0035,MP-010;MP-031,KG-005;KG-008,Especially important for inert/detonation comparisons.
WC-010,S12;S13,source_coverage_overclaim,The review provides complete aerobreakup taxonomy coverage.,C004/C-F-04 remains missing and cannot be reconstructed from secondary material.,State that broad taxonomy is supported by the available corpus but retains the explicit C004 source limitation.,SP-003;SP-008,GC-0019;GC-0021;GC-0029;GC-0030,MP-015;MP-016;MP-017,KG-010,C004 remains missing.
WC-011,S13;S17,model_scope_overclaim,"A reduced breakup model predicts downstream fragment, cloud, and evaporation behavior.",Validation targets and condition ranges differ; no single model covers all listed observables.,State exactly which response and condition range each model supports.,SP-008,GC-0029;GC-0051,MP-017;MP-018;MP-022,KG-006;KG-010,A paper-conditioned TAB claim is not universal validation.
WC-012,S17;S20,fragment_metric_reduction,Mean fragment diameter determines transport and evaporation.,"Fragment PDFs, velocities, spacing, weighting, detection threshold, and time evolve and are sparse.","Use a typed, time-resolved population state where available and state diagnostic limits.",SP-008,GC-0023;GC-0029,MP-017;MP-018;MP-022;MP-024,KG-006,Avoid single-mean closure.
