ratio_id,paper_id,case_id,condition_id,ratio_name,ratio_symbol,reported_ratio_value,normalized_ratio_value,value_status,numerator_parameter_record_id,numerator_name,numerator_role,numerator_type,numerator_location,numerator_time_basis,denominator_parameter_record_id,denominator_name,denominator_role,denominator_type,denominator_location,denominator_time_basis,ratio_definition,source_locator_id,verification_status,notes,numerator_thermodynamic_pressure_type,numerator_pressure_reference_type,denominator_thermodynamic_pressure_type,denominator_pressure_reference_type
RATIO-B011-001,B011,B011-C01,B011-C01,NPR,NPR,10,,reported,,P0,total_pressure,total,upstream/nozzle supply,quasi_steady,PAR-B011-0005,P∞,ambient_pressure,static,ambient,quasi_steady,P0/P∞: upstream/nozzle total pressure over ambient static pressure,LOC-B011-0003,verified,Numerator magnitude is not a standalone Pilot parameter row; role and definition are source-supported.,total,reported_unspecified,static,reported_unspecified
RATIO-B011-002,B011,B011-C02,B011-C02,NPR,NPR,10,,reported,,P0,total_pressure,total,upstream/nozzle supply,quasi_steady,PAR-B011-0008,P∞,ambient_pressure,static,ambient,quasi_steady,P0/P∞: upstream/nozzle total pressure over ambient static pressure,LOC-B011-0003,verified,Numerator magnitude is not a standalone Pilot parameter row; role and definition are source-supported.,total,reported_unspecified,static,reported_unspecified
RATIO-B011-003,B011,B011-C03,B011-C03,NPR,NPR,10,,reported,,P0,total_pressure,total,upstream/nozzle supply,quasi_steady,PAR-B011-0011,P∞,ambient_pressure,static,ambient,quasi_steady,P0/P∞: upstream/nozzle total pressure over ambient static pressure,LOC-B011-0003,verified,Numerator magnitude is not a standalone Pilot parameter row; role and definition are source-supported.,total,reported_unspecified,static,reported_unspecified
RATIO-B011-004,B011,B011-C04,B011-C04,NPR,NPR,8.5,,reported,,P0,total_pressure,total,upstream/nozzle supply,quasi_steady,PAR-B011-0014,P∞,ambient_pressure,static,ambient,quasi_steady,P0/P∞: upstream/nozzle total pressure over ambient static pressure,LOC-B011-0003,verified,Numerator magnitude is not a standalone Pilot parameter row; role and definition are source-supported.,total,reported_unspecified,static,reported_unspecified
RATIO-B011-005,B011,B011-C05,B011-C05,NPR,NPR,8.5,,reported,,P0,total_pressure,total,upstream/nozzle supply,quasi_steady,PAR-B011-0017,P∞,ambient_pressure,static,ambient,quasi_steady,P0/P∞: upstream/nozzle total pressure over ambient static pressure,LOC-B011-0003,verified,Numerator magnitude is not a standalone Pilot parameter row; role and definition are source-supported.,total,reported_unspecified,static,reported_unspecified
RATIO-B013-001,B013,B013-C01,B013-C01,NPR,NPR,809.3,,reported,PAR-B013-0004,storage pressure p0,storage_pressure,reported_unspecified,storage,storage_based,,ambient pressure,ambient_pressure,reported_unspecified,ambient,quasi_steady,Reported storage-pressure/ambient ratio,LOC-B013-0003,verified,The distinct 43.2 MPa sonic-inlet pressure remains a separate parameter and is not substituted into the reported storage-based NPR.,reported_unspecified,reported_unspecified,reported_unspecified,reported_unspecified
RATIO-B029-001,B029,ALL,ALL,NPR,NPR,,,reported,,p_in(t),injector_internal_pressure,reported_unspecified,injector internal,time_resolved,PAR-B029-0004,p_b,back_pressure,reported_unspecified,background,quasi_steady,Internal injector pressure divided by background pressure; time dependent,LOC-B029-0004,verified,Time-resolved NPR histories are registered as HIST-B029-004 through HIST-B029-006.,reported_unspecified,reported_unspecified,reported_unspecified,reported_unspecified
RATIO-D009-001,D009,D009-B2,D009-B2,evaporation-to-detonation characteristic length ratio,Δ,0.13,,reported,PAR-D009-0030,L_E,evaporation_length,characteristic_length,droplet evaporation path,reported_unspecified,PAR-D009-0031,L_D,detonation_characteristic_length,characteristic_length,detonation-front height,quasi_steady,Droplet evaporation distance divided by detonation height,LOC-D009-0006,verified,Ratio is reported; standalone operand values are explicit NV records because Phase 6 extraction did not verify them.,,,,
RATIO-D009-002,D009,D009-B3,D009-B3,evaporation-to-detonation characteristic length ratio,Δ,0.31,,reported,PAR-D009-0032,L_E,evaporation_length,characteristic_length,droplet evaporation path,reported_unspecified,PAR-D009-0033,L_D,detonation_characteristic_length,characteristic_length,detonation-front height,quasi_steady,Droplet evaporation distance divided by detonation height,LOC-D009-0006,verified,Ratio is reported; standalone operand values are explicit NV records because Phase 6 extraction did not verify them.,,,,
RATIO-D009-003,D009,D009-B4,D009-B4,evaporation-to-detonation characteristic length ratio,Δ,0.55,,reported,PAR-D009-0034,L_E,evaporation_length,characteristic_length,droplet evaporation path,reported_unspecified,PAR-D009-0035,L_D,detonation_characteristic_length,characteristic_length,detonation-front height,quasi_steady,Droplet evaporation distance divided by detonation height,LOC-D009-0006,verified,Ratio is reported; standalone operand values are explicit NV records because Phase 6 extraction did not verify them.,,,,
RATIO-D009-004,D009,D009-B5,D009-B5,evaporation-to-detonation characteristic length ratio,Δ,0.84,,reported,PAR-D009-0036,L_E,evaporation_length,characteristic_length,droplet evaporation path,reported_unspecified,PAR-D009-0037,L_D,detonation_characteristic_length,characteristic_length,detonation-front height,quasi_steady,Droplet evaporation distance divided by detonation height,LOC-D009-0006,verified,Ratio is reported; standalone operand values are explicit NV records because Phase 6 extraction did not verify them.,,,,
RATIO-B009-001,B009,B009-H2-NPR8.5,B009-H2-NPR8.5,nozzle_pressure_ratio,NPR,8.5,8.5,reported,,P0,stagnation_pressure,total,high-pressure tank/nozzle supply,initial,,P_infinity,ambient_pressure,static,low-pressure chamber,initial,P0/P_infinity,LOC-B009-0002,verified,Both pressures treated as absolute source pressures.,total,absolute,static,absolute
