link_id,tier3_paper_id,tier3_candidate_claim_id,core_tier,core_paper_id,core_candidate_claim_id_or_anchor,link_type,shared_parameter_or_mechanism,tier3_source_locator_id,confidence,retain_for_global_consolidation,status,notes
T3LINK-0001,A003,T3-A003-C01,tier1,A020,PILOT-A020-C01,corroborates,injection interval and pilot-main interaction chronology,LOC-A003-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0002,A010,T3-A010-C01,tier1,A030,T1-A030-C01,supports_mechanism,injection sequence controls premixed versus mixing-controlled combustion,LOC-A010-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0003,A017,T3-A017-C01,tier1,A030,T1-A030-C02,extends_scale,jet geometry and mixture-formation control,LOC-A017-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0004,A019,T3-A019-C01,tier1,A030,T1-A030-C01,corroborates,timing-driven premixed/mixing-controlled transition,LOC-A019-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0005,A023,T3-A023-C01,tier1,A026,T1-A026-C02,extends_condition,hydrogen timing controls premixed/mixing-controlled balance,LOC-A023-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0006,A027,T3-A027-C01,tier1,A030,T1-A030-C01,review_secondary_support,injection-strategy control of dual-fuel combustion,LOC-A027-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0007,B001,T3-B001-C01,tier1,B004,T1-B004-C02,extends_method,near-field shock structure to far-field similarity,LOC-B001-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0008,B010,T3-B010-C01,tier1,B009,T1-B009-C02,extends_fuel_or_species,matched-NPR gas-species effects on shock structure and mixing,LOC-B010-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0009,B014,T3-B014-C01,tier1,B029,PILOT-B029-C01,extends_condition,injector transient history controls jet development,LOC-B014-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0010,B015,T3-B015-C01,tier1,B028,T1-B028-C01,extends_condition,pressure-ratio control of hydrogen-jet development,LOC-B015-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0011,B020,T3-B020-C01,tier1,B004,T1-B004-C01,provides_boundary_condition,near-field shock structure and mixing boundary,LOC-B020-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0012,B022,T3-B022-C01,tier1,B028,T1-B028-C02,extends_condition,nozzle geometry controls shear-layer growth and mixing,LOC-B022-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0013,B025,T3-B025-C01,tier1,B009,T1-B009-C01,corroborates,pressure-ratio-dependent Mach-disk dimensions,LOC-B025-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0014,B027,T3-B027-C01,tier1,B028,T1-B028-C01,supports_mechanism,shock-vortex organization of hydrogen-jet mixing,LOC-B027-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0015,C003,T3-C003-C01,tier1,C007,T1-C007-C03,historical_context,secondary-atomization mechanism and terminology,LOC-C003-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0016,C008,T3-C008-C01,tier1,C007,T1-C007-C02,provides_boundary_condition,compressibility effects on droplet breakup response,LOC-C008-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0017,C009,T3-C009-C01,tier1,C025,T1-C025-C01,supports_mechanism,shock/supersonic loading controls piercing and breakup morphology,LOC-C009-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
T3LINK-0018,C012,T3-C012-C01,tier1,C016,PILOT-C016-C01,extends_method,visual separation of early wave and later aerodynamic breakup stages,LOC-C012-0001,high,YES,candidate,Strong candidate link only; global consolidation deferred to Phase 10.
