source_record_id,source_library,canonical_paper_id,mapping_status,mapping_basis,doi,title,notes
A-NG-01,A,A001,canonical,direct_assignment,10.1115/1.2432894,,Paper ID assigned and locked on 2026-08-30.
A-NG-02,A,A002,canonical,direct_assignment,10.4271/2015-01-0865,,Paper ID assigned and locked on 2026-08-30.
A-NG-03,A,A003,canonical,direct_assignment,10.1016/j.energy.2015.06.089,Experimental investigation on performance and heat release analysis of a pilot ignited direct injection natural gas engine,Paper ID assigned and locked on 2026-08-30.
A-NG-04,A,A004,canonical,direct_assignment,10.1016/j.apenergy.2015.08.021,Combustion process and emissions of a heavy-duty engine fueled with directly injected natural gas and pilot diesel,Paper ID assigned and locked on 2026-08-30.
A-NG-05,A,A005,canonical,direct_assignment,10.4271/2016-01-0807,,Paper ID assigned and locked on 2026-08-30.
A-NG-06,A,A006,canonical,direct_assignment,10.4271/2017-01-0763,,Paper ID assigned and locked on 2026-08-30.
A-NG-07,A,A007,canonical,direct_assignment,10.1115/1.4039934,,Paper ID assigned and locked on 2026-08-30.
A-NG-08,A,A008,canonical,direct_assignment,10.1115/ICEF2018-9579,,Paper ID assigned and locked on 2026-08-30.
A-NG-09,A,A009,canonical,direct_assignment,10.1115/1.4043643,,Paper ID assigned and locked on 2026-08-30.
A-NG-10,A,A010,canonical,direct_assignment,10.1016/j.fuel.2019.04.009,The effects of partially premixed combustion mode on the performance and emissions of a direct injection natural gas engine,Paper ID assigned and locked on 2026-08-30.
A-NG-11,A,A011,canonical,direct_assignment,10.1177/1468087419836877,,Paper ID assigned and locked on 2026-08-30.
A-NG-12,A,A012,canonical,direct_assignment,10.1115/ICEF2021-74466,,Paper ID assigned and locked on 2026-08-30.
A-NG-13,A,A013,canonical,direct_assignment,10.1177/14680874211046912,Heat release rate and emissions regimes of stratified pilot-ignited direct-injection natural gas combustion,Paper ID assigned and locked on 2026-08-30.
A-NG-14,A,A014,canonical,direct_assignment,10.1177/14680874221107188,Optical characterization of stratified-premixed natural gas direct-injection combustion regimes,Paper ID assigned and locked on 2026-08-30.
A-NG-15,A,A015,canonical,direct_assignment,10.1016/j.fuel.2022.127160,Effects of operating parameters on combustion and soot emissions in a pilot ignited HPDI natural gas engine for different combustion modes,Paper ID assigned and locked on 2026-08-30.
A-NG-16,A,A016,canonical,direct_assignment,10.1016/j.apenergy.2024.124807,Investigations of diesel and natural gas injection interaction on combustion characteristics of a high-pressure direct-injection dual-fuel engine based on large eddy simulation,Paper ID assigned and locked on 2026-08-30.
A-NG-17,A,A017,canonical,direct_assignment,10.1016/j.fuel.2025.138211,Effects of injector structural parameters coupled with injection pressure on the combustion and emission performance of commercial HPDI natural gas engine,Paper ID assigned and locked on 2026-08-30.
A-H2-01,A,A018,canonical,direct_assignment,10.1016/j.ijhydene.2020.10.006,Performance and emissions of hydrogen-diesel dual direct injection (H2DDI) in a single-cylinder compression-ignition engine,Paper ID assigned and locked on 2026-08-30.
A-H2-02,A,A019,canonical,direct_assignment,10.1016/j.ijhydene.2022.08.149,Direct injection of hydrogen main fuel and diesel pilot fuel in a retrofitted single-cylinder compression ignition engine,Paper ID assigned and locked on 2026-08-30.
A-H2-03,A,A020,canonical,direct_assignment,10.1016/j.ijhydene.2022.09.241,Hydrogen-diesel dual-fuel direct-injection (H2DDI) combustion under compression-ignition engine conditions,Paper ID assigned and locked on 2026-08-30.
