"paper_id","bib_key","resolution_status","notes"
"A001","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A001]]"
"A002","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A002]]"
"A003","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A003]]"
"A004","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A004]]"
"A005","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A005]]"
"A006","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A006]]"
"A007","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A007]]"
"A008","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A008]]"
"A009","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A009]]"
"A010","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A010]]"
"A011","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A011]]"
"A012","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A012]]"
"A013","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A013]]"
"A014","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A014]]"
"A015","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A015]]"
"A016","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A016]]"
"A017","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A017]]"
"A018","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A018]]"
"A019","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A019]]"
"A020","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A020]]"
"A021","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A021]]"
"A022","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A022]]"
"A023","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A023]]"
"A024","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A024]]"
"A025","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A025]]"
"A026","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A026]]"
"A027","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A027]]"
"A028","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A028]]"
"A029","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A029]]"
"A030","","unresolved","library_master.bib is empty at Phase 13 start; use [[CITE:A030]]"
