pathway_edge_id,source_node_id,target_node_id,relation,support_level,evidence_directness,condition_domain,associated_global_claim_ids,supporting_paper_count,strong_evidence_count,moderate_evidence_count,application_directness,cross_scale_status,boundary_conditions,main_limitation,knowledge_gap_ids,notes
MP-001,MN-002,MN-004,"pressure build-up and valve opening establish a developing underexpanded-jet state",strong,direct,transient high-pressure gas injection,GC-0007;GC-0036;GC-0050,10,3,2,engine_relevant,within_domain,"Use time-resolved upstream pressure, opening state, ambient pressure, and nozzle geometry.",Direct HPDI-resolved gas-state measurements remain incomplete.,KG-004,"Retained as M01 mainline link."
MP-002,MN-003,MN-004,"nozzle, ambient, gas, and pressure-definition boundaries condition underexpanded-jet formation",moderate,mixed,underexpanded gas jets,GC-0008;GC-0009;GC-0010;GC-0011;GC-0013,16,2,8,vessel_analogue,within_domain,"Fixed NPR and fixed injection pressure are not interchangeable; real-gas and species effects remain coupled.",No common factorial condition set spans the boundary variables.,KG-004,"M01 supporting link."
MP-003,MN-004,MN-005,"underexpanded state establishes Mach-disk formation and dimensions",strong,direct,nonreacting underexpanded jets,GC-0006;GC-0007;GC-0015,11,2,5,canonical_fundamental,within_domain,"NPR numerator role, absolute/gauge basis, nozzle geometry, gas, and transient state must match.",Diameter and transient appearance thresholds are less constrained than position.,KG-004,"M02 closed within compatible gas-jet conditions."
MP-004,MN-004,MN-006,"underexpanded expansion and recompression organize shock cells and transient wave topology",strong,direct,underexpanded jets,GC-0008;GC-0011;GC-0012;GC-0014,11,2,4,canonical_fundamental,within_domain,"Gas species, exit turbulence, nozzle shape, and near/far-field location must be retained.",Quantitative topology is model- and condition-sensitive.,KG-004,"M02 closed at topology level, not as a universal correlation."
MP-005,MN-002,MN-005,"injector transient drives Mach-disk motion, overshoot, and stabilization",strong,direct,transient high-pressure gas injection,GC-0007,6,2,1,vessel_analogue,within_domain,"Formation, instantaneous, overshoot, and quasi-steady observables require event alignment.",A scalar nominal NPR cannot encode the transient.,KG-004,"Direct time-history support."
MP-006,MN-005,MN-007,"Mach-disk motion changes the downstream local gas pressure, density, and velocity state",limited,indirect,underexpanded jet near field,GC-0012;GC-0013;GC-0014,8,1,3,canonical_fundamental,qualitative_bridge,"The observation location and shock-decay or notional-nozzle assumptions must be validated.",No direct co-located HPDI pilot-droplet forcing measurement.,KG-001;KG-004,"M03 becomes indirect before application transfer."
MP-007,MN-006,MN-007,"shock-cell, expansion-wave, and vortex topology redistributes local gas state",limited,mixed,underexpanded and spray-shock analogues,GC-0012;GC-0014;GC-0036;GC-0037,10,3,2,engine_relevant,analogue_only,"Wave origin, near/far field, ambient sound speed, density, and interaction stage must match.",Gas-state-to-pilot-droplet mapping is absent.,KG-001,"Includes injector-generated and reflected-shock analogues without equating them."
MP-008,MN-007,MN-008,"local gas-state jumps determine instantaneous aerodynamic and pressure loading magnitude",moderate,direct,canonical shock-droplet conditions,GC-0017;GC-0020;GC-0031;GC-0035,10,4,5,canonical_fundamental,within_domain,"Keep incident-shock, post-shock freestream, local relative, and reacting post-wave states distinct.",The local state is not measured for HPDI pilot droplets.,KG-001;KG-005,"Direct in canonical loading; application edge remains open."
MP-009,MN-006,MN-009,"finite shock and expansion topology limits the effective loading duration",limited,indirect,short-pulse and strong-wave loading,GC-0016;GC-0035,5,0,3,canonical_fundamental,qualitative_bridge,"Shock-front passage, shocked-state exposure, expansion-limited interval, and total forcing are separate.",B-library wave history is not converted to a pilot-droplet exposure history.,KG-001;KG-005,"Qualitative B-to-C bridge only."
MP-010,MN-008,MN-010,"loading magnitude and material/size references define the droplet nondimensional response state",strong,direct,canonical shock-droplet loading,GC-0017;GC-0030;GC-0034;GC-0039,10,4,3,canonical_fundamental,within_domain,"Every We, Re, Oh, and Mach comparison requires definition-complete references.",Many records remain incomplete-reported despite verified source extraction.,KG-005,"No universal We-only state is asserted."
