paper_id,source_record_id,library,pdf_status,processing_batch,processing_status,reading_status,text_status,note_status,extraction_status,evidence_card_status,supporting_role,unique_contribution_class,blocking_issue,notes
A001,A-NG-01,A,downloaded,Phase9.1-LatePDF-T3,complete,complete,processed,complete,complete,complete,pressure/load context,contextual_support;boundary_condition,,Phase 9.1 claim-targeted late-PDF protocol complete.
A003,A-NG-03,A,downloaded,T3-Batch-A,complete,complete,processed,complete,complete,complete,injection-sequence and combustion-response support,independent_corroboration;boundary_condition,,Claim-targeted protocol complete.
A004,A-NG-04,A,downloaded,T3-Batch-A,complete,complete,processed,complete,complete,complete,engine-scale injection-setting context,mostly_redundant;boundary_condition,,Claim-targeted protocol complete.
A006,A-NG-06,A,downloaded,Phase9.1-LatePDF-T3,complete,complete,processed,complete,complete,complete,premixing/emissions context,contextual_support;boundary_condition,,Phase 9.1 claim-targeted late-PDF protocol complete.
A008,A-NG-08,A,downloaded,Phase9.1-LatePDF-T3,complete,complete,processed,complete,complete,complete,mixing-versus-chemistry context,contextual_support;boundary_condition,,Phase 9.1 claim-targeted late-PDF protocol complete.
A010,A-NG-10,A,downloaded,T3-Batch-A,complete,complete,processed,complete,complete,complete,partially premixed combustion and mixing support,independent_corroboration;boundary_condition,,Claim-targeted protocol complete.
A015,A-NG-15,A,downloaded,T3-Batch-A,complete,complete,processed,complete,complete,complete,combustion-chamber and spray-angle optimization context,methodological_context;mostly_redundant,,Claim-targeted protocol complete.
A017,A-NG-17,A,downloaded,T3-Batch-A,complete,complete,processed,complete,complete,complete,commercial-engine injector-geometry boundary evidence,unique_support;boundary_condition,,Claim-targeted protocol complete.
A019,A-H2-02,A,downloaded,T3-Batch-A,complete,complete,processed,complete,complete,complete,hydrogen timing and combustion-mode corroboration,independent_corroboration;boundary_condition,,Claim-targeted protocol complete.
A023,A-H2-06,A,downloaded,T3-Batch-A,complete,complete,processed,complete,complete,complete,split-injection chronology evidence,unique_support;boundary_condition,,Claim-targeted protocol complete.
A027,A-R-01,A,downloaded,T3-Batch-A,complete,complete,processed,complete,complete,complete,HPDI natural-gas review context,historical_context;definition_context,,Claim-targeted protocol complete.
B001,B-T-01,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,near-field/far-field modelling boundary context,methodological_context;boundary_condition,,Claim-targeted protocol complete.
B006,B-H2-01,B,downloaded,Phase9.1-LatePDF-T3,complete,complete,processed,complete,complete,complete,transient hydrogen-jet scaling,contextual_support;boundary_condition,,Phase 9.1 claim-targeted late-PDF protocol complete.
B010,B-H2-05,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,gas-species comparison at matched NPR,independent_corroboration;boundary_condition,,Claim-targeted protocol complete.
B014,B-H2-09,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,transient microscopic hydrogen-jet context,unique_support;methodological_context,,Claim-targeted protocol complete.
B015,B-H2-10,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,outward-opening injector pressure-ratio boundary evidence,boundary_condition;independent_corroboration,,Claim-targeted protocol complete.
B018,B-NG-03,B,downloaded,Phase9.1-LatePDF-T3,complete,complete,processed,complete,complete,complete,transient methane-jet topology,contextual_support;boundary_condition,,Phase 9.1 claim-targeted late-PDF protocol complete.
B020,B-NG-05,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,near-nozzle methane forcing and mixing boundary evidence,unique_support;boundary_condition,,Claim-targeted protocol complete.
B022,B-E-02,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,non-axisymmetric nozzle-shape evidence,unique_support;boundary_condition,,Claim-targeted protocol complete.
B025,B-E-05,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,hydrogen/methane transitional-jet corroboration,independent_corroboration;methodological_context,,Claim-targeted protocol complete.
B026,B-E-06,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,engineering URANS method context,methodological_context;mostly_redundant,,Claim-targeted protocol complete.
B027,B-E-07,B,downloaded,T3-Batch-B,complete,complete,processed,complete,complete,complete,high-fidelity hydrogen mixing and geometry evidence,unique_support;methodological_context,,Claim-targeted protocol complete.
C003,C-F-03,C,downloaded,T3-Batch-C1,complete,complete,processed,complete,complete,complete,secondary-atomization terminology and historical context,historical_context;definition_context,,Claim-targeted protocol complete.
C005,C-F-05,C,downloaded,Phase9.1-LatePDF-T3,complete,complete,processed,complete,complete,complete,moderate-We breakup context,contextual_support;boundary_condition,,Phase 9.1 claim-targeted late-PDF protocol complete.
C008,C-SD-01,C,downloaded,T3-Batch-C1,complete,complete,processed,complete,complete,complete,early-stage compressibility boundary evidence,boundary_condition;independent_corroboration,,Claim-targeted protocol complete.
C009,C-SD-02,C,downloaded,T3-Batch-C1,complete,complete,processed,complete,complete,complete,supersonic breakup-regime mechanism support,independent_corroboration;mechanism_support,,Claim-targeted protocol complete.
C011,C-SD-04,C,downloaded,Phase9.1-LatePDF-T3,complete,complete,processed,complete,complete,complete,shock-imprinted internal flow,contextual_support;boundary_condition,,Phase 9.1 claim-targeted late-PDF protocol complete.
C012,C-SD-05,C,downloaded,T3-Batch-C1,complete,complete,processed,complete,complete,complete,high-resolution optical-method context,methodological_context;unique_support,,Claim-targeted protocol complete.
C013,C-SD-06,C,downloaded,T3-Batch-C1,complete,complete,processed,complete,complete,complete,ligament-formation mechanism support,unique_support;mechanism_support,,Claim-targeted protocol complete.
C021,C-ST-01,C,downloaded,T3-Batch-C2,complete,complete,processed,complete,complete,complete,multiscale SIE modelling context,methodological_context;mostly_redundant,,Claim-targeted protocol complete.
C027,C-PC-01,C,downloaded,T3-Batch-C2,complete,complete,processed,complete,complete,complete,locally supersonic vaporization boundary evidence,boundary_condition;unique_support,,Claim-targeted protocol complete.
C028,C-PC-02,C,downloaded,T3-Batch-C2,complete,complete,processed,complete,complete,complete,sharp-interface phase-change method support,methodological_context;independent_corroboration,,Claim-targeted protocol complete.
C032,C-PC-06,C,downloaded,T3-Batch-C2,complete,complete,processed,complete,complete,complete,real-hydrocarbon heating/volatility boundary evidence,boundary_condition;unique_support,,Claim-targeted protocol complete.
D001,D-IC-01,D,downloaded,Phase9.1-LatePDF-T3,complete,complete,processed,complete,complete,complete,engine spray-shock boundary,contextual_support;boundary_condition,,Phase 9.1 claim-targeted late-PDF protocol complete.
D004,D-IC-04,D,downloaded,T3-Batch-D,complete,complete,processed,complete,complete,complete,engine-scale reflected-shock/spray boundary evidence,unique_support;boundary_condition,,Claim-targeted protocol complete.
D006,D-RDE-01,D,downloaded,T3-Batch-D,complete,complete,processed,complete,complete,complete,partially prevaporized two-phase RDC evidence,unique_support;additional_fuel_or_species;boundary_condition,,Claim-targeted protocol complete.
D008,D-RDE-03,D,downloaded,T3-Batch-D,complete,complete,processed,complete,complete,complete,bidisperse spray stability evidence,unique_support;boundary_condition,,Claim-targeted protocol complete.
D012,D-RDE-07,D,downloaded,T3-Batch-D,complete,complete,processed,complete,complete,complete,multi-stage ethanol evaporation and wave-multiplicity evidence,unique_support;additional_fuel_or_species;boundary_condition,,Claim-targeted protocol complete.
