global_claim_id,primary_section_id,secondary_section_ids,claim_role,first_introduction_location,full_discussion_location,cross_reference_locations,repeat_policy,notes
GC-0001,S21,S22;S23;S25,application,S21,S21,S22;S23;S25,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0002,S22,S21;S25,application,S22,S22,S21;S25,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0003,S23,,application,S23,S23,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0004,S21,,application,S21,S21,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0005,S21,,foundation,S21,S21,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0006,S06,S04,boundary,S06,S06,S04,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0007,S05,,mechanism_core,S05,S05,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0008,S06,S04,mechanism_core,S06,S06,S04,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0009,S04,,mechanism_core,S04,S04,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0010,S04,,mechanism_core,S04,S04,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0011,S04,S06,mechanism_core,S04,S04,S06,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0012,S06,S07;S08,mechanism_core,S06,S06,S07;S08,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0013,S04,S06;S07;S08,mechanism_core,S04,S04,S06;S07;S08,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0014,S07,S08,mechanism_core,S07,S07,S08,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0015,S06,S02,foundation,S06,S06,S02,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0016,S09,S10,boundary,S09,S09,S10,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0017,S10,S09;S14;S27,mechanism_core,S10,S10,S09;S14;S27,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0018,S10,,mechanism_core,S10,S10,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0019,S12,S17,mechanism_core,S12,S12,S17,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0020,S11,,mechanism_core,S11,S11,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0021,S12,,mechanism_core,S12,S12,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0022,S14,S15;S16,mechanism_core,S14,S14,S15;S16,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0023,S17,S15;S20,mechanism_core,S17,S17,S15;S20,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0024,S18,S20;S26;S27,mechanism_core,S18,S18,S20;S26;S27,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
GC-0025,S19,,mechanism_core,S19,S19,,full evidence discussion once in primary section; later sections use conceptual cross-reference only,Frozen claim text and ID unchanged.
