"section_id","chapter_id","draft_status","word_count","primary_GCs_expected","primary_GCs_deployed","unique_primary_papers_cited","total_unique_papers_cited","figure_placeholders","table_placeholders","ledger_status","unresolved_issue_count","coherence_pass_status","notes"
"S01","CH01","compiled","339","","","4","5","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S02","CH01","compiled","322","","","1","3","","[TAB-01 ABOUT HERE]","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S03","CH01","compiled","294","","","0","0","[FIG-01 ABOUT HERE]","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S04","CH02","compiled","515","GC-0009;GC-0010;GC-0011;GC-0013","GC-0009;GC-0010;GC-0011;GC-0013","8","9","","[TAB-02 ABOUT HERE]","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S05","CH02","compiled","488","GC-0007;GC-0050","GC-0007;GC-0050","7","7","[FIG-02 ABOUT HERE]","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S06","CH02","compiled","446","GC-0006;GC-0008;GC-0012;GC-0015","GC-0006;GC-0008;GC-0012;GC-0015","8","9","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S07","CH03","compiled","418","GC-0014;GC-0036;GC-0037","GC-0014;GC-0036;GC-0037","5","5","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S08","CH03","compiled","420","GC-0052","GC-0052","3","4","[FIG-03 ABOUT HERE]","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S09","CH03","compiled","376","GC-0016","GC-0016","1","1","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S10","CH04","compiled","381","GC-0017;GC-0018;GC-0030;GC-0039","GC-0017;GC-0018;GC-0030;GC-0039","5","7","[FIG-04 ABOUT HERE]","[TAB-03 ABOUT HERE]","complete","2","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S11","CH04","compiled","362","GC-0020;GC-0042","GC-0020;GC-0042","3","3","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S12","CH04","compiled","352","GC-0019;GC-0021","GC-0019;GC-0021","4","4","","","complete","2","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S13","CH04","compiled","349","GC-0029;GC-0051","GC-0029;GC-0051","2","2","","","complete","2","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S14","CH05","compiled","355","GC-0022","GC-0022","2","2","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S15","CH05","compiled","327","GC-0028","GC-0028","2","2","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S16","CH05","compiled","353","","","6","7","[FIG-05 ABOUT HERE]","[TAB-04 ABOUT HERE]","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S17","CH06","compiled","308","GC-0023","GC-0023","4","4","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S18","CH06","compiled","336","GC-0024;GC-0027;GC-0031","GC-0024;GC-0027;GC-0031","4","4","","[TAB-05 ABOUT HERE]","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S19","CH06","compiled","314","GC-0025;GC-0026","GC-0025;GC-0026","2","2","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S20","CH06","compiled","357","GC-0053","GC-0053","4","4","[FIG-06 ABOUT HERE]","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S21","CH07","compiled","383","GC-0001;GC-0004;GC-0005;GC-0045","GC-0001;GC-0004;GC-0005;GC-0045","7","9","[FIG-07 ABOUT HERE]","[TAB-06 ABOUT HERE]","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S22","CH07","compiled","356","GC-0002;GC-0038;GC-0041;GC-0043","GC-0002;GC-0038;GC-0041;GC-0043","6","6","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S23","CH07","compiled","318","GC-0003;GC-0040;GC-0044;GC-0046","GC-0003;GC-0040;GC-0044;GC-0046","6","6","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S24","CH07","compiled","231","GC-0047;GC-0048;GC-0049","GC-0047;GC-0048;GC-0049","2","2","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S25","CH07","compiled","303","","","6","6","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S26","CH08","compiled","319","GC-0032;GC-0033","GC-0032;GC-0033","2","2","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S27","CH08","compiled","291","GC-0034;GC-0035","GC-0034;GC-0035","2","2","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S28","CH08","compiled","300","","","3","3","[FIG-08 ABOUT HERE]","[TAB-07 ABOUT HERE]","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S29","CH09","compiled","366","","","5","6","[FIG-09 ABOUT HERE]","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S30","CH09","compiled","448","","","0","0","","[TAB-08 ABOUT HERE]","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
"S31","CH09","compiled","367","","","0","0","","","complete","1","chapter_and_global_passed","Section check complete; citation identities use canonical Paper IDs."
