link_id,tier2_paper_id,tier2_candidate_claim_id,tier1_paper_id,tier1_candidate_claim_id_or_anchor,link_type,shared_parameter_or_mechanism,tier2_source_locator_id,confidence,status,notes
T2LINK-0001,A013,T2-A013-C01,A020,paper-level Tier 1 anchor,extends_application_context,mixing/ignition,LOC-A013-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0002,A014,T2-A014-C01,A020,paper-level Tier 1 anchor,extends_application_context,mixing/ignition,LOC-A014-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0003,A018,T2-A018-C01,A020,paper-level Tier 1 anchor,extends_application_context,mixing/ignition,LOC-A018-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0004,A021,T2-A021-C01,A020,paper-level Tier 1 anchor,extends_application_context,mixing/ignition,LOC-A021-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0005,A024,T2-A024-C01,A030,T1-A030-C01,extends_application_context,mixing/ignition,LOC-A024-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0006,A025,T2-A025-C01,A026,T1-A026-C01,extends_application_context,mixing/ignition,LOC-A025-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0007,B002,T2-B002-C01,B009,T1-B009-C01,extends_application_context,underexpanded jet physics,LOC-B002-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0008,B003,T2-B003-C01,B009,T1-B009-C01,extends_application_context,underexpanded jet physics,LOC-B003-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0009,B005,T2-B005-C01,B004,T1-B004-C01,review_secondary_support,underexpanded jet physics,LOC-B005-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0010,B007,T2-B007-C01,B004,T1-B004-C01,extends_application_context,underexpanded jet physics,LOC-B007-0001,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0011,B012,T2-B012-C01,B011,paper-level Tier 1 anchor,extends_application_context,underexpanded jet physics,LOC-B012-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0012,B016,T2-B016-C01,B029,paper-level Tier 1 anchor,extends_application_context,underexpanded jet physics,LOC-B016-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0013,B017,T2-B017-C01,B009,T1-B009-C01,extends_application_context,underexpanded jet physics,LOC-B017-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0014,B019,T2-B019-C01,B004,T1-B004-C01,extends_application_context,underexpanded jet physics,LOC-B019-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
T2LINK-0015,B023,T2-B023-C01,B009,T1-B009-C01,extends_application_context,underexpanded jet physics,LOC-B023-0002,medium,candidate,Lexical/mechanism overlap checked against existing Tier 1 note/evidence card; final cross-paper adjudication pending.
