mechanism_edge_id,source_node,relation_type,target_node,global_claim_id,candidate_claim_id,paper_id,reading_tier,support_type,evidence_grade,condition_domain,source_locator_id,boundary_conditions,status,notes
GME-0001,vortex_entrainment,promotes,heat_and_OH_transport,GC-0004,PILOT-A016-C01,A016,pilot,author_interpretation,supporting,pilot-ignited gaseous direct injection,LOC-A016-0009,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,indirectly_supported,Source mechanism relation MECH-A016-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0002,interaction_angle_2deg,correlates_with,best_tested_combustion_response,GC-0004,PILOT-A016-C02,A016,pilot,direct_observation,supporting,pilot-ignited gaseous direct injection,LOC-A016-0010,Geometry effects are chamber- and operating-point-specific and include both measured and model-resolved evidence.,directly_supported,Source mechanism relation MECH-A016-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0003,pilot_product_interaction,author_attributes_to,hydrogen_ignition,GC-0002,PILOT-A020-C01,A020,pilot,author_interpretation,supporting,pilot-ignited gaseous direct injection,LOC-A020-0008,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",indirectly_supported,Source mechanism relation MECH-A020-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0004,ignition_after_hydrogen_EOI,correlates_with,slower_propagation_and_lean_unburned_zones,GC-0038,PILOT-A020-C02,A020,pilot,direct_observation,strong,A-library source condition,LOC-A020-0009,Depends on the tested injection duration and ambient state.,directly_supported,Source mechanism relation MECH-A020-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0005,greater_jet_overlap,correlates_with,shorter_ignition_transition,GC-0002,PILOT-A022-C01,A022,pilot,direct_observation,strong,pilot-ignited gaseous direct injection,LOC-A022-0008,"Evidence spans RCEM, vessel, engine, and CFD configurations; overlap metrics and ambient reactivity are not uniform.",directly_supported,Source mechanism relation MECH-A022-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0006,ambient_pressure_at_fixed_NPR,modifies,starting_transient_timing,GC-0010,PILOT-B011-C01,B011,pilot,direct_observation,supporting,underexpanded hydrogen and methane jets,LOC-B011-0007,Fixed-NPR and fixed-injection-pressure comparisons are not interchangeable; gas species and chamber states vary.,directly_supported,Source mechanism relation MECH-B011-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0007,gas_species,modifies,tip_vortex_mixing,GC-0008,PILOT-B011-C02,B011,pilot,author_interpretation,supporting,"underexpanded hydrogen, methane, and nitrogen jets",LOC-B011-0007,"Species effects remain coupled to nozzle-exit turbulence, density, thermodynamics, and numerical treatment.",indirectly_supported,Source mechanism relation MECH-B011-002; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0008,Mach_disk_formation,precedes,stabilized_position,GC-0007,PILOT-B013-C01,B013,pilot,direct_observation,supporting,transient high-pressure gas injection,LOC-B013-0006,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",directly_supported,Source mechanism relation MECH-B013-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0009,injector_pressure_history,modifies,Mach_disk_evolution,GC-0007,PILOT-B029-C01,B029,pilot,direct_observation,supporting,transient high-pressure gas injection,LOC-B029-0008,"Transient histories, injector types, and chamber-pressure ranges differ; a scalar NPR cannot represent every case.",directly_supported,Source mechanism relation MECH-B029-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
GME-0010,post_shock_Mach_at_similar_We,modifies,breakup_morphology_and_timing,GC-0017,PILOT-C014-C01,C014,pilot,direct_observation,strong,post-shock and supersonic-flow droplet loading,LOC-C014-0003,"Incident-shock Mach, post-shock freestream Mach, velocity and density references, and loading histories must remain distinct.",directly_supported,Source mechanism relation MECH-C014-001; Migrated from the existing Phase 6 candidate evidence card without changing claim meaning.
