paper_id,pdf_identity_ok,text_extraction_ok,page_mapping_ok,note_complete,parameter_provenance_ok,definitions_checked,reported_derived_inferred_separated,evidence_card_complete,critical_schema_gap,review_status,notes
B011,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
C014,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
C016,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
D003,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
B013,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
B029,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
C031,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
D017,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
A020,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
A022,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
A016,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
D009,yes,yes,yes,yes,yes,yes,yes,yes,no,pass,Pilot self-QC passed; final human/ChatGPT verification not yet performed.
